Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Tatum, Jayson",4,0,8800,bos,was,home, 90-96,NA,0,0,0,0,0,0,0,0,0,0,0
"Kuzma, Kyle",4,0,6600,lal,sac,home, 122-136,NA,0,0,0,0,0,0,0,0,0,0,0
"Gordon, Aaron",4,0,6300,orl,nor,home, 133-127,NA,0,0,0,0,0,0,0,0,0,0,0
"Davis, Anthony",4,0,10200,lal,sac,home, 122-136,NA,0,0,0,0,0,0,0,0,0,0,0
"Ilyasova, Ersan",4,0,4000,mil,mem,away, 106-119,NA,0,0,0,0,0,0,0,0,0,0,0
"Porzingis, Kristaps",4,0,9200,dal,pho,away, 102-128,NA,0,0,0,0,0,0,0,0,0,0,0
"Bagley, Marvin",4,0,3500,sac,lal,away, 136-122,NA,0,0,0,0,0,0,0,0,0,0,0
"Winslow, Justise",3,0,3500,mem,mil,home, 119-106,NA,0,0,0,0,0,0,0,0,0,0,0
"Ingram, Brandon",3,0,7300,nor,orl,away, 127-133,NA,0,0,0,0,0,0,0,0,0,0,0
"Bazemore, Kent",3,0,4000,sac,lal,away, 136-122,NA,0,0,0,0,0,0,0,0,0,0,0
"Holmes, Richaun",4,0,5100,sac,lal,away, 136-122,NA,0,0,0,0,0,0,0,0,0,0,0
"Fournier, Evan",3,0,5300,orl,nor,home, 133-127,NA,0,0,0,0,0,0,0,0,0,0,0
"Williamson, Zion",4,0,6800,nor,orl,away, 127-133,NA,0,0,0,0,0,0,0,0,0,0,0
"Isaac, Jonathan",3,0,3500,orl,nor,home, 133-127,NA,0,0,0,0,0,0,0,0,0,0,0
"Little, Nassir",3,0,3500,por,bkn,away, 134-133,NA,0,0,0,0,0,0,0,0,0,0,0
"Brown, Jaylen",3,0,6700,bos,was,home, 90-96,NA,0,0,0,0,0,0,0,0,0,0,0
"Lyles, Trey",4,0,3500,sas,uta,away, 112-118,NA,0,0,0,0,0,0,0,0,0,0,0
"Porter, Jontay",3,0,3500,mem,mil,home, 119-106,NA,0,0,0,0,0,0,0,0,0,0,0
"Theis, Daniel",4,0,5700,bos,was,home, 90-96,NA,0,0,0,0,0,0,0,0,0,0,0
