Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Felicio, Cristiano",5,1.2,3500,chi,det,home, 104-112,7:38,0,1,0,0,0,0,0,0,1,0,0
"Bell, Jordan",5,0.2,3800,gsw,den,home, 122-105,6:35,0,1,0,0,0,1,0,0,1,0,0
"Marjanovic, Boban",5,0,5000,phi,hou,away, 91-107,DNP,0,0,0,0,0,0,0,0,0,0,0
"Mahinmi, Ian",5,0,3500,was,cha,away, 111-112,DNP,0,0,0,0,0,0,0,0,0,0,0
"Udoh, Ekpe",5,0,3500,uta,mem,away, 104-114,DNP,0,0,0,0,0,0,0,0,0,0,0
"Welsh, Thomas",5,0,3500,den,gsw,away, 105-122,DNP,0,0,0,0,0,0,0,0,0,0,0
"Pachulia, Zaza",5,0,3500,det,chi,away, 112-104,DNP,0,0,0,0,0,0,0,0,0,0,0
"Jones, Damian",5,0,3500,gsw,den,home, 122-105,NA,0,0,0,0,0,0,0,0,0,0,0
"Biyombo, Bismack",5,0,3500,cha,was,home, 112-111,NA,0,0,0,0,0,0,0,0,0,0,0
"Bradley, Tony",5,0,3500,uta,mem,away, 104-114,NA,0,0,0,0,0,0,0,0,0,0,0
"Thompson, Tristan",5,0,4300,cle,mia,away, 110-126,NA,0,0,0,0,0,0,0,0,0,0,0
"Howard, Dwight",5,0,6200,was,cha,away, 111-112,NA,0,0,0,0,0,0,0,0,0,0,0
"Bogut, Andrew",5,0,3500,gsw,den,home, 122-105,NA,0,0,0,0,0,0,0,0,0,0,0
"Mozgov, Timofey",5,0,3500,orl,dal,home, 111-106,NA,0,0,0,0,0,0,0,0,0,0,0
"Embiid, Joel",5,0,10100,phi,hou,away, 91-107,NA,0,0,0,0,0,0,0,0,0,0,0
"Delgado, Angel",5,0,3500,lac,okc,home, 118-110,NA,0,0,0,0,0,0,0,0,0,0,0
"Bamba, Mohamed",5,0,3500,orl,dal,home, 111-106,NA,0,0,0,0,0,0,0,0,0,0,0
