Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Rozier, Terry",1,47.9,8400,bos,phi,home, 108-103,38:04,20,7,9,1,1,0,4,6,15,4,4
"Smart, Marcus",2,35.5,6200,bos,phi,home, 108-103,39:29,19,5,3,2,1,3,4,6,13,3,5
"Lowry, Kyle",1,33.8,8200,tor,cle,home, 110-128,33:47,21,4,8,0,0,4,3,7,10,4,5
"Redick, J.J.",2,32.6,5400,phi,bos,away, 103-108,36:00,23,3,2,1,0,0,5,9,17,0,0
"DeRozan, DeMar",2,27.5,8700,tor,cle,home, 110-128,35:05,24,0,3,0,0,1,0,11,23,2,2
"McConnell, T.J.",1,22.7,3000,phi,bos,away, 103-108,17:12,8,1,5,2,0,0,0,4,4,0,0
"Brown, Jaylen",2,21.3,6400,bos,phi,home, 108-103,24:41,13,4,1,1,0,1,2,5,12,1,2
"Smith, J.R.",2,20.7,4500,cle,tor,away, 128-110,35:05,15,1,1,1,0,0,2,5,8,3,3
"VanVleet, Fred",1,20,3800,tor,cle,home, 110-128,23:55,14,0,4,0,0,0,4,5,10,0,0
"Hill, George",1,19.6,3800,cle,tor,away, 128-110,35:20,13,3,2,0,0,0,0,5,8,3,3
"Korver, Kyle",2,16.4,4200,cle,tor,away, 128-110,27:47,5,2,2,2,0,0,1,2,3,0,0
"Belinelli, Marco",2,14.7,4200,phi,bos,away, 103-108,19:34,11,1,3,0,0,2,1,5,11,0,0
"Wright, Delon",1,13.8,4800,tor,cle,home, 110-128,23:39,5,4,4,0,0,2,1,2,4,0,0
"Hood, Rodney",2,8.3,2500,cle,tor,away, 128-110,11:55,0,4,3,0,0,1,0,0,2,0,0
"Clarkson, Jordan",2,6.2,3000,cle,tor,away, 128-110,13:40,5,1,0,0,0,0,1,2,5,0,0
"Brown, Lorenzo",1,4.5,2000,tor,cle,home, 110-128,2:34,3,0,1,0,0,0,1,1,2,0,0
"Powell, Norman",2,3.2,2000,tor,cle,home, 110-128,3:12,2,1,0,0,0,0,0,1,2,0,0
"Larkin, Shane",1,1,2500,bos,phi,home, 108-103,9:56,2,0,0,0,0,1,0,1,1,0,0
"Nader, Abdel",2,0,2000,bos,phi,home, 108-103,DNP,0,0,0,0,0,0,0,0,0,0,0
"Calderon, Jose",1,0,2000,cle,tor,away, 128-110,DNP,0,0,0,0,0,0,0,0,0,0,0
"Fultz, Markelle",1,0,3500,phi,bos,away, 103-108,DNP,0,0,0,0,0,0,0,0,0,0,0
"Bayless, Jerryd",1,0,2000,phi,bos,away, 103-108,DNP,0,0,0,0,0,0,0,0,0,0,0
"Korkmaz, Furkan",2,0,2000,phi,bos,away, 103-108,NA,0,0,0,0,0,0,0,0,0,0,0
"Luwawu, Timothe",2,0,2000,phi,bos,away, 103-108,NA,0,0,0,0,0,0,0,0,0,0,0
"Richardson, Malachi",2,0,2000,tor,cle,home, 110-128,NA,0,0,0,0,0,0,0,0,0,0,0
"James, LeBron",3,75.6,13500,cle,tor,away, 128-110,40:31,43,8,14,1,0,1,1,19,28,4,8
"Love, Kevin",4,52.2,6500,cle,tor,away, 128-110,35:15,31,11,2,1,1,1,2,11,21,7,7
"Covington, Robert",3,47.8,6000,phi,bos,away, 103-108,40:26,22,9,2,2,2,0,4,8,15,2,2
"Tatum, Jayson",3,30.4,6800,bos,phi,home, 108-103,33:20,21,2,2,1,1,2,2,7,14,5,6
"Saric, Dario",4,27.3,6300,phi,bos,away, 103-108,34:02,14,9,3,0,0,2,2,4,13,4,4
"Morris, Marcus",4,25.7,4500,bos,phi,home, 108-103,28:23,11,6,3,0,1,0,2,3,8,3,4
"Green, Jeff",4,22.7,4000,cle,tor,away, 128-110,20:10,14,1,1,0,2,0,4,5,8,0,2
"Ilyasova, Ersan",4,15.7,5000,phi,bos,away, 103-108,16:00,4,6,1,1,0,0,0,2,6,0,0
"Simmons, Ben",4,15.5,9900,phi,bos,away, 103-108,30:50,1,5,7,0,1,5,0,0,4,1,2
"Miles, C.J.",3,12.5,3500,tor,cle,home, 110-128,20:05,8,0,1,0,1,0,2,3,5,0,0
"Ibaka, Serge",4,9.7,4600,tor,cle,home, 110-128,12:12,2,6,1,0,0,1,0,0,5,2,2
"Anunoby, OG",3,8.5,3500,tor,cle,home, 110-128,23:09,5,0,1,1,0,1,1,2,5,0,0
"Siakam, Pascal",4,8.2,3800,tor,cle,home, 110-128,18:15,2,6,0,0,0,1,0,1,1,0,0
"Johnson, Amir",4,4.2,2500,phi,bos,away, 103-108,9:03,0,1,2,0,0,0,0,0,0,0,0
