Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"McConnell, T.J.",1,34.9,3000,phi,bos,home, 103-92,38:57,19,7,5,0,0,0,1,9,12,0,1
"Smart, Marcus",2,33.5,6200,bos,phi,away, 92-103,30:31,14,5,3,2,2,3,1,5,12,3,4
"Smith, J.R.",2,27.9,4500,cle,tor,home, 128-93,28:30,15,2,3,2,0,0,3,6,6,0,0
"Lowry, Kyle",1,24.8,8300,tor,cle,away, 93-128,29:30,5,4,10,0,0,0,1,2,7,0,0
"Korver, Kyle",2,23.4,4600,cle,tor,home, 128-93,27:29,16,2,2,1,0,1,4,6,8,0,0
"Rozier, Terry",1,22.6,8900,bos,phi,away, 92-103,39:06,11,8,2,0,0,1,1,4,11,2,4
"Hill, George",1,22.1,4300,cle,tor,home, 128-93,29:01,12,3,5,0,0,1,0,5,8,2,2
"DeRozan, DeMar",2,18.5,8700,tor,cle,away, 93-128,33:04,13,5,1,0,0,2,0,5,11,3,4
"Wright, Delon",1,16.9,4000,tor,cle,away, 93-128,17:59,10,2,1,1,0,0,0,4,7,2,2
"Redick, J.J.",2,15.7,5900,phi,bos,home, 103-92,32:38,7,1,3,1,0,0,1,3,11,0,2
"Belinelli, Marco",2,14.7,4000,phi,bos,home, 103-92,24:31,9,1,1,1,0,0,1,2,10,4,4
"Clarkson, Jordan",2,13.6,3000,cle,tor,home, 128-93,18:59,5,3,2,2,0,4,0,2,8,1,1
"Brown, Jaylen",2,13.6,5400,bos,phi,away, 92-103,23:00,8,3,2,0,0,1,2,2,6,2,2
"VanVleet, Fred",1,7.9,3800,tor,cle,away, 93-128,20:30,5,2,1,0,0,1,1,2,5,0,0
"Powell, Norman",2,6.2,2000,tor,cle,away, 93-128,12:23,5,1,0,0,0,0,0,2,5,1,2
"Calderon, Jose",1,4.7,2000,cle,tor,home, 128-93,7:38,2,1,1,0,0,0,0,0,0,2,2
"Brown, Lorenzo",1,4.6,2000,tor,cle,away, 93-128,7:38,1,3,0,0,0,0,0,0,1,1,2
"Nader, Abdel",2,1.5,2000,bos,phi,away, 92-103,1:12,0,0,1,0,0,0,0,0,0,0,2
"Larkin, Shane",1,0,2500,bos,phi,away, 92-103,1:45,0,0,0,0,0,0,0,0,0,0,0
"Fultz, Markelle",1,0,3500,phi,bos,home, 103-92,DNP,0,0,0,0,0,0,0,0,0,0,0
"Bayless, Jerryd",1,0,2000,phi,bos,home, 103-92,DNP,0,0,0,0,0,0,0,0,0,0,0
"Hood, Rodney",2,0,2500,cle,tor,home, 128-93,DNP,0,0,0,0,0,0,0,0,0,0,0
"Korkmaz, Furkan",2,0,2000,phi,bos,home, 103-92,NA,0,0,0,0,0,0,0,0,0,0,0
"Luwawu, Timothe",2,0,2000,phi,bos,home, 103-92,NA,0,0,0,0,0,0,0,0,0,0,0
"Richardson, Malachi",2,0,2000,tor,cle,away, 93-128,NA,0,0,0,0,0,0,0,0,0,0,0
