Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Wall, John",1,44.2,10800,was,bos,home, 116-89,33:39,24,1,8,3,1,1,1,7,19,9,10
"Curry, Stephen",1,39.3,10000,gsw,uta,home, 115-104,38:10,23,4,7,2,0,3,5,8,15,2,2
"Thompson, Klay",2,33.2,7200,gsw,uta,home, 115-104,35:57,14,6,6,2,0,1,2,6,13,0,0
"Mack, Shelvin",1,24.6,2700,uta,gsw,away, 104-115,30:39,14,3,4,2,0,3,3,4,11,3,4
"Beal, Bradley",2,21.1,7600,was,bos,home, 116-89,25:44,11,3,3,0,1,0,1,4,12,2,2
"Thomas, Isaiah",1,20.6,9600,bos,was,away, 89-116,29:13,13,3,4,0,0,2,0,3,8,7,11
"Hood, Rodney",2,14.6,4000,uta,gsw,away, 104-115,35:00,8,3,2,1,0,2,0,4,13,0,0
"Bradley, Avery",2,13.9,6300,bos,was,away, 89-116,28:25,7,2,3,0,0,0,1,3,8,0,0
"Smart, Marcus",2,12.8,5900,bos,was,away, 89-116,24:31,9,4,2,1,1,8,1,2,9,4,5
"Green, Gerald",2,11.6,2100,bos,was,away, 89-116,25:39,8,3,0,0,0,0,1,3,8,1,1
"Exum, Dante",1,11.2,1600,uta,gsw,away, 104-115,13:59,7,1,2,1,0,2,1,2,6,2,2
"Neto, Raul",1,10,1500,uta,gsw,away, 104-115,8:57,5,0,2,1,0,0,1,1,2,2,2
"Satoransky, Tomas",2,8.6,2300,was,bos,home, 116-89,12:00,2,3,2,0,0,0,0,1,3,0,0
"Jennings, Brandon",1,8.4,2200,was,bos,home, 116-89,14:43,4,2,2,0,0,1,0,2,5,0,0
"McClellan, Sheldon",2,8,1500,was,bos,home, 116-89,5:03,8,0,0,0,0,0,2,3,3,0,0
"Clark, Ian",2,7.2,2600,gsw,uta,home, 115-104,9:10,8,1,0,0,0,2,2,3,6,0,0
"Livingston, Shaun",1,5.4,2100,gsw,uta,home, 115-104,15:00,2,2,2,0,0,2,0,1,3,0,0
"Rozier, Terry",1,5.2,2600,bos,was,away, 89-116,8:59,2,1,2,0,0,1,0,1,2,0,0
"Burke, Trey",1,4.5,1500,was,bos,home, 116-89,9:54,0,0,3,0,0,0,0,0,2,0,0
"McCaw, Patrick",2,0,1500,gsw,uta,home, 115-104,1:56,0,0,0,0,0,0,0,0,0,0,0
"Jackson, Demetrius",1,0,1500,bos,was,away, 89-116,NA,0,0,0,0,0,0,0,0,0,0,0
"Burks, Alec",2,0,1500,uta,gsw,away, 104-115,NA,0,0,0,0,0,0,0,0,0,0,0
"Hill, George",1,0,5800,uta,gsw,away, 104-115,NA,0,0,0,0,0,0,0,0,0,0,0
"Durant, Kevin",3,51.7,9600,gsw,uta,home, 115-104,36:00,25,11,7,1,1,1,0,6,13,13,15
"Hayward, Gordon",3,45,8400,uta,gsw,away, 104-115,40:09,33,5,4,1,0,2,3,11,21,8,9
"Green, Draymond",4,44.4,8800,gsw,uta,home, 115-104,35:32,21,7,6,4,1,4,5,7,13,2,3
"Porter, Otto",3,36.6,5600,was,bos,home, 116-89,37:47,19,8,2,3,0,1,0,8,13,3,4
"Bogdanovic, Bojan",3,34,4000,was,bos,home, 116-89,29:26,19,10,2,0,0,0,4,6,12,3,4
"Crowder, Jae",3,27.9,6300,bos,was,away, 89-116,25:31,14,7,1,2,0,0,2,4,10,4,4
"Iguodala, Andre",3,23,5100,gsw,uta,home, 115-104,34:09,10,5,4,1,1,3,0,5,12,0,0
"Morris, Markieff",4,18.5,6100,was,bos,home, 116-89,18:34,10,5,1,1,0,1,0,3,7,4,4
"West, David",4,16.4,3400,gsw,uta,home, 115-104,14:43,4,7,0,1,1,0,0,2,5,0,0
"Johnson, Joe",3,11.5,5600,uta,gsw,away, 104-115,30:05,8,0,3,0,0,1,2,3,8,0,0
"Favors, Derrick",4,11,5300,uta,gsw,away, 104-115,10:47,3,5,0,0,1,0,0,1,1,1,2
"Diaw, Boris",4,10.9,3200,uta,gsw,away, 104-115,12:28,7,2,1,0,0,0,1,3,5,0,0
"Ingles, Joe",3,10.3,4700,uta,gsw,away, 104-115,21:04,3,4,1,2,0,3,1,1,5,0,0
"Brown, Jaylen",3,10.1,2200,bos,was,away, 89-116,18:41,6,3,1,0,0,1,0,3,9,0,1
"Johnson, Amir",4,9.3,2300,bos,was,away, 89-116,9:54,3,4,1,0,0,0,0,1,2,1,1
"Jerebko, Jonas",4,7.6,1600,bos,was,away, 89-116,9:07,4,3,0,0,0,0,0,1,3,2,2
"Young, James",3,4.7,1700,bos,was,away, 89-116,9:54,3,1,1,0,0,1,1,1,4,0,0
"Barnes, Matt",3,3.5,1500,gsw,uta,home, 115-104,1:02,2,0,1,0,0,0,0,1,1,0,0
"Smith, Jason",4,3.2,3300,was,bos,home, 116-89,7:20,2,1,0,0,0,0,0,1,1,0,0
"Oubre, Kelly",3,1,3100,was,bos,home, 116-89,5:10,2,0,0,0,0,1,0,1,2,0,0
"McAdoo, James Michael",4,0,1900,gsw,uta,home, 115-104,00:12,0,0,0,0,0,0,0,0,0,0,0
"Lyles, Trey",4,0,2500,uta,gsw,away, 104-115,DNP,0,0,0,0,0,0,0,0,0,0,0
"Bolomboy, Joel",4,0,1600,uta,gsw,away, 104-115,DNP,0,0,0,0,0,0,0,0,0,0,0
"Mickey, Jordan",4,0,1500,bos,was,away, 89-116,NA,0,0,0,0,0,0,0,0,0,0,0
"Ochefu, Daniel",4,0,1500,was,bos,home, 116-89,NA,0,0,0,0,0,0,0,0,0,0,0
"McCullough, Chris",4,0,1500,was,bos,home, 116-89,NA,0,0,0,0,0,0,0,0,0,0,0
"Looney, Kevon",4,0,1500,gsw,uta,home, 115-104,NA,0,0,0,0,0,0,0,0,0,0,0
"Gobert, Rudy",5,38.2,9400,uta,gsw,away, 104-115,36:52,16,16,0,1,1,1,0,8,12,0,1
"Gortat, Marcin",5,34.2,6200,was,bos,home, 116-89,31:02,13,16,2,0,1,3,0,6,12,1,1
"Horford, Al",5,24.9,8300,bos,was,away, 89-116,27:33,16,2,3,1,1,2,4,5,8,2,2
"Zeller, Tyler",5,9.3,1500,bos,was,away, 89-116,10:34,3,4,1,0,0,0,0,0,3,3,4
"Mahinmi, Ian",5,7.7,1500,was,bos,home, 116-89,9:38,2,1,1,0,2,1,0,1,1,0,0
"McGee, JaVale",5,5.4,3400,gsw,uta,home, 115-104,9:11,4,2,0,0,0,1,0,2,3,0,0
"Pachulia, Zaza",5,4.4,3700,gsw,uta,home, 115-104,8:58,2,2,0,0,0,0,0,1,1,0,0
"Olynyk, Kelly",5,2.7,4800,bos,was,away, 89-116,11:59,1,1,1,0,0,1,0,0,3,1,2
"Withey, Jeff",5,0,2600,uta,gsw,away, 104-115,DNP,0,0,0,0,0,0,0,0,0,0,0
"Jones, Damian",5,0,1500,gsw,uta,home, 115-104,NA,0,0,0,0,0,0,0,0,0,0,0
