Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"O'Neale, Royce",3,6.7,3500,uta,phi,away, 107-113,16:37,2,1,1,1,0,1,0,1,1,0,0
"Giles, Harry",4,6.6,3600,sac,mem,away, 104-112,7:08,4,3,0,0,0,1,0,2,2,0,0
"Chandler, Wilson",3,6,3800,phi,uta,home, 113-107,21:37,2,5,0,0,0,2,0,1,3,0,0
"Wood, Christian",4,5.8,3500,mil,chi,home, 123-104,3:29,2,4,0,0,0,1,0,1,4,0,0
"Layman, Jake",3,5.2,3500,por,min,away, 96-112,15:22,4,1,0,0,0,0,0,1,5,2,4
"Swanigan, Caleb",4,4.5,3500,por,min,away, 96-112,5:44,0,0,1,1,0,0,0,0,1,0,0
"Ilyasova, Ersan",4,4.2,4000,mil,chi,home, 123-104,8:50,1,1,0,0,1,1,0,0,1,1,2
"Anunoby, OG",3,3,4200,tor,bos,away, 116-123,9:21,5,0,0,0,0,2,1,2,3,0,0
"McDermott, Doug",3,2.5,3500,ind,mia,home, 99-91,18:29,3,0,1,0,0,2,1,1,3,0,0
"Brown Jr., Troy",3,1.2,3500,was,bkn,home, 104-115,1:18,0,1,0,0,0,0,0,0,1,0,0
"Nunnally, James",3,0,3500,min,por,home, 112-96,00:38,0,0,0,0,0,0,0,0,0,0,0
"Musa, Dzanan",3,0,3500,bkn,was,away, 115-104,00:59,0,0,0,0,0,0,0,0,1,0,0
"Leaf, TJ",4,0,3500,ind,mia,home, 99-91,DNP,0,0,0,0,0,0,0,0,0,0,0
"Jackson, Justin",3,0,3500,sac,mem,away, 104-112,DNP,0,0,0,0,0,0,0,0,0,0,0
"Tolliver, Anthony",4,0,3500,min,por,home, 112-96,DNP,0,0,0,0,0,0,0,0,0,0,0
"Stephens, D.J.",3,0,3500,mem,sac,home, 112-104,DNP,0,0,0,0,0,0,0,0,0,0,0
"Rabb, Ivan",4,0,3500,mem,sac,home, 112-104,DNP,0,0,0,0,0,0,0,0,0,0,0
"Yabusele, Guerschon",4,0,3500,bos,tor,home, 123-116,DNP,0,0,0,0,0,0,0,0,0,0,0
"Theis, Daniel",4,0,3500,bos,tor,home, 123-116,DNP,0,0,0,0,0,0,0,0,0,0,0
"Watanabe, Yuta",3,0,3500,mem,sac,home, 112-104,DNP,0,0,0,0,0,0,0,0,0,0,0
"Hill, Solomon",3,0,3500,nor,nyk,home, 129-124,DNP,0,0,0,0,0,0,0,0,0,0,0
"Diallo, Cheick",4,0,3500,nor,nyk,home, 129-124,DNP,0,0,0,0,0,0,0,0,0,0,0
"Ojeleye, Semi",3,0,3500,bos,tor,home, 123-116,DNP,0,0,0,0,0,0,0,0,0,0,0
"Faried, Kenneth",4,0,3500,bkn,was,away, 115-104,DNP,0,0,0,0,0,0,0,0,0,0,0
"Jones, Derrick",3,0,3500,mia,ind,away, 91-99,DNP,0,0,0,0,0,0,0,0,0,0,0
"Haslem, Udonis",4,0,3500,mia,ind,away, 91-99,DNP,0,0,0,0,0,0,0,0,0,0,0
"Labissiere, Skal",4,0,3500,sac,mem,away, 104-112,DNP,0,0,0,0,0,0,0,0,0,0,0
"Smith, Jason",4,0,3500,was,bkn,home, 104-115,DNP,0,0,0,0,0,0,0,0,0,0,0
"Deng, Luol",3,0,3500,min,por,home, 112-96,DNP,0,0,0,0,0,0,0,0,0,0,0
"Niang, Georges",4,0,3500,uta,phi,away, 107-113,DNP,0,0,0,0,0,0,0,0,0,0,0
"Hezonja, Mario",3,0,3800,nyk,nor,away, 124-129,DNP,0,0,0,0,0,0,0,0,0,0,0
"Robinson, Devin",3,0,3500,was,bkn,home, 104-115,NA,0,0,0,0,0,0,0,0,0,0,0
"Williams, Kenrich",4,0,3500,nor,nyk,home, 129-124,NA,0,0,0,0,0,0,0,0,0,0,0
"Portis, Bobby",4,0,6600,chi,mil,away, 104-123,NA,0,0,0,0,0,0,0,0,0,0,0
"Thomas, Lance",3,0,3500,nyk,nor,away, 124-129,NA,0,0,0,0,0,0,0,0,0,0,0
"Boucher, Chris",4,0,3500,tor,bos,away, 116-123,NA,0,0,0,0,0,0,0,0,0,0,0
"Hollis-Jefferson, Rondae",4,0,6400,bkn,was,away, 115-104,NA,0,0,0,0,0,0,0,0,0,0,0
"Gabriel, Wenyen",4,0,3500,sac,mem,away, 104-112,NA,0,0,0,0,0,0,0,0,0,0,0
"Wilson, D.J.",4,0,3500,mil,chi,home, 123-104,NA,0,0,0,0,0,0,0,0,0,0,0
"Parsons, Chandler",3,0,3500,mem,sac,home, 112-104,NA,0,0,0,0,0,0,0,0,0,0,0
"Markkanen, Lauri",4,0,3500,chi,mil,away, 104-123,NA,0,0,0,0,0,0,0,0,0,0,0
"Johnson, James",4,0,5600,mia,ind,away, 91-99,NA,0,0,0,0,0,0,0,0,0,0,0
"Harkless, Maurice",3,0,3600,por,min,away, 96-112,NA,0,0,0,0,0,0,0,0,0,0,0
"Valentine, Denzel",3,0,4300,chi,mil,away, 104-123,NA,0,0,0,0,0,0,0,0,0,0,0
"Williams, Alan",4,0,3800,bkn,was,away, 115-104,NA,0,0,0,0,0,0,0,0,0,0,0
"Bolden, Jonah",4,0,4000,phi,uta,home, 113-107,NA,0,0,0,0,0,0,0,0,0,0,0
"Bates-Diop, Keita",3,0,3500,min,por,home, 112-96,NA,0,0,0,0,0,0,0,0,0,0,0
"Randolph, Zach",4,0,3500,sac,mem,away, 104-112,NA,0,0,0,0,0,0,0,0,0,0,0
"Kornet, Luke",4,0,3500,nyk,nor,away, 124-129,NA,0,0,0,0,0,0,0,0,0,0,0
"Miles, C.J.",3,0,3500,tor,bos,away, 116-123,NA,0,0,0,0,0,0,0,0,0,0,0
