Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Harden, James",2,73.7,11600,hou,dal,home, 108-128,37:21,25,11,17,6,0,8,4,7,15,7,9
"Westbrook, Russell",1,71.3,11100,okc,cle,home, 100-83,37:15,23,19,15,2,0,3,2,10,17,1,2
"Lillard, Damian",1,62.6,9500,por,orl,home, 115-112,37:22,41,8,4,2,1,3,10,13,22,5,7
"Arcidiacono, Ryan",1,48,4200,chi,mil,away, 113-116,37:53,22,5,4,5,0,1,5,6,12,5,5
"Holiday, Jrue",2,47.9,9000,nor,was,home, 125-104,36:05,29,7,5,1,1,3,3,12,19,2,4
"LaVine, Zach",2,47.3,8700,chi,mil,away, 113-116,36:27,24,9,7,0,1,1,2,8,18,6,6
"Mitchell, Donovan",2,44.5,7900,uta,bkn,away, 101-91,36:26,29,5,1,4,0,4,2,12,24,3,4
"Beal, Bradley",2,43.5,8200,was,nor,away, 104-125,34:48,16,5,11,2,1,4,1,7,15,1,1
"Walker, Kemba",1,40.3,9700,cha,atl,home, 108-94,33:58,19,4,3,4,1,3,1,6,19,6,10
"Frazier, Tim",1,40.2,3500,nor,was,home, 125-104,36:46,12,6,12,2,0,3,2,4,8,2,2
"Brogdon, Malcolm",2,40,5600,mil,chi,home, 116-113,29:18,24,5,6,0,1,2,6,8,11,2,2
"Sexton, Collin",1,38.5,5900,cle,okc,away, 83-100,37:57,21,10,3,1,0,2,1,9,20,2,2
"Barea, Jose",1,36.6,4700,dal,hou,away, 128-108,17:56,13,3,12,1,0,1,1,5,9,2,2
"Russell, D'Angelo",2,35.5,7700,bkn,uta,home, 91-101,35:23,14,5,7,3,0,4,2,6,25,0,0
"Smith Jr., Dennis",1,35.5,5900,dal,hou,away, 128-108,31:07,10,5,5,4,1,3,1,4,8,1,2
"Simmons, Ben",1,35.1,9500,phi,nyk,home, 117-91,24:01,14,8,7,1,0,2,0,5,9,4,7
"Clarkson, Jordan",2,34.6,5100,cle,okc,away, 83-100,31:39,25,3,2,1,0,0,4,10,22,1,3
"Booker, Devin",2,33.8,8800,pho,lac,away, 99-115,35:06,23,4,4,1,0,3,1,9,21,4,4
"Okobo, Elie",1,33.4,3500,pho,lac,away, 99-115,31:52,19,2,4,3,0,3,3,8,12,0,0
"Harris, Devin",1,33.2,3900,dal,hou,away, 128-108,14:59,20,1,4,0,2,0,5,6,8,3,3
"Dotson, Damyean",2,32.8,3500,nyk,phi,away, 91-117,23:37,16,4,0,3,1,0,2,6,11,2,2
"Gilgeous-Alexander, Shai",1,32.4,5600,lac,pho,home, 115-99,28:55,13,7,6,1,1,4,2,5,11,1,2
"Ross, Terrence",2,31.9,4800,orl,por,away, 112-115,26:08,10,7,1,3,1,0,0,5,16,0,0
"Young, Trae",1,31.6,7000,atl,cha,away, 94-108,28:27,18,3,4,2,1,5,3,7,19,1,1
"Teague, Jeff",1,31.5,6900,min,sas,home, 128-89,23:59,7,0,9,3,1,1,0,3,5,1,1
"Williams, Louis",2,31.3,6200,lac,pho,home, 115-99,22:14,20,4,3,2,0,4,2,6,14,6,7
"Lamb, Jeremy",2,31,6600,cha,atl,home, 108-94,31:33,22,5,0,1,0,0,1,6,12,9,9
"Middleton, Khris",2,30.2,7400,mil,chi,home, 116-113,31:09,17,6,4,0,0,0,3,6,13,2,3
"Fournier, Evan",2,29.6,5800,orl,por,away, 112-115,35:40,17,3,4,0,2,3,3,7,13,0,0
"Bazemore, Kent",2,29.5,5800,atl,cha,away, 94-108,24:59,8,5,3,1,3,1,0,0,10,8,10
"Wall, John",1,29.5,9300,was,nor,away, 104-125,25:50,17,5,7,0,0,4,1,6,13,4,6
"Doncic, Luka",2,29.2,7800,dal,hou,away, 128-108,24:17,20,6,2,1,0,4,3,6,11,5,5
"Redick, J.J.",2,28.4,5600,phi,nyk,home, 117-91,26:24,24,2,2,0,0,1,4,10,14,0,0
"Jones, Tyus",1,27.4,3600,min,sas,home, 128-89,24:01,7,2,8,2,0,0,1,3,8,0,0
"McCollum, C.J.",2,27.2,6800,por,orl,home, 115-112,34:47,15,6,2,1,0,1,1,6,17,2,4
"Gordon, Eric",2,25.7,5500,hou,dal,home, 108-128,33:58,17,1,3,0,2,3,3,6,15,2,3
"Dinwiddie, Spencer",1,25.6,6500,bkn,uta,home, 91-101,21:52,18,3,0,0,2,2,2,5,11,6,7
"McConnell, T.J.",1,25.4,3500,phi,nyk,home, 117-91,25:23,6,2,6,2,1,1,0,3,6,0,0
"Holiday, Justin",2,25.2,6500,chi,mil,away, 113-116,40:59,8,6,4,2,0,2,2,2,10,2,4
"Bledsoe, Eric",1,24.2,7400,mil,chi,home, 116-113,28:42,7,6,4,1,1,2,0,2,3,3,4
"Anderson, Justin",2,24.1,3500,atl,cha,away, 94-108,16:46,10,8,1,1,0,0,0,5,11,0,0
