Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Fox, De'Aaron",1,65.5,8200,sac,atl,away, 146-115,33:55,31,10,15,1,0,3,3,9,13,10,11
"Westbrook, Russell",1,59.6,12000,okc,cha,away, 111-107,37:08,29,8,10,3,0,3,0,12,24,5,7
"Irving, Kyrie",1,49.1,7600,bos,mil,home, 117-113,33:17,28,3,7,1,2,2,6,10,20,2,2
"Hield, Buddy",2,48,8000,sac,atl,away, 146-115,33:10,27,5,6,2,1,3,5,10,17,2,3
"Lillard, Damian",1,42.4,9600,por,nor,home, 132-119,30:59,26,7,6,1,0,4,4,7,16,8,8
"Holiday, Jrue",2,40.4,8300,nor,por,away, 119-132,35:19,17,2,10,3,0,3,1,5,14,6,8
"Walker, Kemba",1,37,9200,cha,okc,home, 107-111,31:10,21,5,6,1,0,2,2,7,16,5,5
"Simmons, Ben",1,35.1,9800,phi,lac,home, 122-113,34:41,14,3,11,1,0,2,0,6,11,2,2
"Schroder, Dennis",2,33.1,5100,okc,cha,away, 111-107,30:16,21,3,5,1,0,2,2,7,15,5,8
"Fultz, Markelle",2,32.3,5200,phi,lac,home, 122-113,21:01,12,9,5,1,0,1,0,5,10,2,4
"Middleton, Khris",2,31.3,7600,mil,bos,away, 113-117,34:17,16,4,5,2,0,3,3,6,18,1,1
"Harris, Gary",2,30.1,7700,den,cle,away, 110-91,27:56,14,3,3,1,2,1,1,4,12,5,5
"Lamb, Jeremy",2,29.8,5400,cha,okc,home, 107-111,25:05,13,9,2,1,0,0,1,5,12,2,2
"Williams, Louis",2,29.2,5000,lac,phi,away, 113-122,24:24,26,1,2,1,0,4,2,9,19,6,7
"Bazemore, Kent",2,28.1,6900,atl,sac,home, 115-146,25:20,14,3,3,1,1,0,2,6,12,0,0
"Hood, Rodney",2,27.8,5700,cle,den,home, 91-110,27:32,8,4,4,2,1,0,0,1,9,6,6
"Lin, Jeremy",1,27.7,3700,atl,sac,home, 115-146,23:11,23,1,1,1,1,4,2,8,13,5,7
"Abrines, Alex",2,27.4,3500,okc,cha,away, 111-107,30:17,25,2,0,0,0,0,5,9,15,2,2
"Brogdon, Malcolm",2,27.2,5500,mil,bos,away, 113-117,28:59,16,6,2,0,1,2,2,6,10,2,2
"Bledsoe, Eric",1,25.7,7800,mil,bos,away, 113-117,32:51,13,1,7,1,0,2,1,3,9,6,9
"Rozier, Terry",1,24.9,4400,bos,mil,home, 117-113,26:08,7,7,3,0,2,1,1,3,11,0,0
"Clarkson, Jordan",2,24.8,4300,cle,den,home, 91-110,19:43,17,4,0,0,1,0,0,7,14,3,3
"Young, Trae",1,24.6,7300,atl,sac,home, 115-146,27:02,14,3,10,0,0,8,0,6,13,2,3
"Monk, Malik",2,24,4300,cha,okc,home, 107-111,23:00,21,0,2,1,0,3,4,7,15,3,3
"Shumpert, Iman",2,23.3,3600,sac,atl,away, 146-115,24:28,8,4,3,1,1,0,2,3,8,0,0
"Parker, Tony",1,23.2,4200,cha,okc,home, 107-111,23:25,17,1,4,0,0,1,1,5,12,6,7
"Redick, J.J.",2,22.4,5200,phi,lac,home, 122-113,34:38,18,2,4,0,0,4,3,4,12,7,8
"Morris, Monte",2,20.1,4900,den,cle,away, 110-91,22:11,7,3,3,2,0,1,1,3,7,0,0
"Beverley, Patrick",1,18.8,4600,lac,phi,away, 113-122,30:23,4,4,4,2,0,2,0,1,7,2,4
"Stauskas, Nik",2,17.5,3600,por,nor,home, 132-119,20:52,10,0,3,1,0,0,2,4,6,0,0
"Shamet, Landry",1,17.2,3500,phi,lac,home, 122-113,23:14,13,1,0,1,0,0,3,5,8,0,1
"DiVincenzo, Donte",2,17,3700,mil,bos,away, 113-117,24:24,8,5,2,0,0,0,1,3,6,1,1
"Hill, George",1,16.7,5100,cle,den,home, 91-110,23:49,10,1,3,1,0,2,2,4,7,0,0
"Sexton, Collin",1,16.4,5000,cle,den,home, 91-110,25:04,12,2,2,1,0,4,1,5,11,1,1
"Frazier, Tim",1,15.9,3600,nor,por,away, 119-132,30:11,8,2,5,0,0,2,1,3,7,1,2
"Mason III, Frank",2,15.7,3800,sac,atl,away, 146-115,12:39,4,1,5,1,0,0,0,0,6,4,6
"Clark, Ian",2,15.4,3500,nor,por,away, 119-132,23:21,10,2,0,1,0,0,2,3,6,2,2
"McCollum, C.J.",2,15.4,6900,por,nor,home, 132-119,29:47,8,2,4,1,0,4,0,2,8,4,6
"Dorsey, Tyler",2,15.4,3500,atl,sac,home, 115-146,16:43,10,2,0,1,0,0,0,4,8,2,4
"Craig, Torrey",2,14.7,3500,den,cle,away, 110-91,18:12,7,6,1,0,0,1,1,3,5,0,0
"Murray, Jamal",1,14.7,7800,den,cle,away, 110-91,22:44,10,1,3,0,0,1,0,5,8,0,0
"Curry, Seth",1,14.4,3700,por,nor,home, 132-119,18:38,9,2,2,0,0,0,3,3,5,0,0
"Gilgeous-Alexander, Shai",1,14.4,4200,lac,phi,away, 113-122,17:31,7,2,2,0,1,1,0,3,8,1,1
