Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Payton, Elfrid",PG,0,"$4,300",nyk,bkn,home, 101-103,NA,   ,0,0,0,0,0,0,0
"Irving, Kyrie",PG,0,"$9,900",bkn,nyk,away, 103-101,NA,   ,0,0,0,0,0,0,0
"LeVert, Caris",SG,0,"$6,200",bkn,nyk,away, 103-101,NA,   ,0,0,0,0,0,0,0
"Dozier, PJ",SG,0,"$3,500",den,pho,home, 116-104,NA,   ,0,0,0,0,0,0,0
"Walton Jr., Derrick",PG,0,"$3,500",lac,nor,home, 134-109,NA,   ,0,0,0,0,0,0,0
"Bullock, Reggie",SG,0,"$3,900",nyk,bkn,home, 101-103,NA,   ,0,0,0,0,0,0,0
"Cleveland, Antonius",SG,0,"$3,500",dal,hou,away, 137-123,NA,   ,0,0,0,0,0,0,0
"Reaves, Josh",SG,0,"$3,500",dal,hou,away, 137-123,NA,   ,0,0,0,0,0,0,0
"Shamet, Landry",PG,0,"$3,800",lac,nor,home, 134-109,NA,   ,0,0,0,0,0,0,0
"Chiozza, Chris",PG,0,"$3,500",was,sac,home, 106-113,NA,   ,0,0,0,0,0,0,0
"Jerome, Ty",SG,0,"$3,500",pho,den,away, 104-116,NA,   ,0,0,0,0,0,0,0
"Luwawu, Timothe",SG,0,"$3,500",bkn,nyk,away, 103-101,NA,   ,0,0,0,0,0,0,0
"Fox, De'Aaron",PG,0,"$8,000",sac,was,away, 113-106,NA,   ,0,0,0,0,0,0,0
"Gray, Josh",PG,0,"$3,500",nor,lac,away, 109-134,NA,   ,0,0,0,0,0,0,0
"Lecque, Jalen",PG,0,"$3,500",pho,den,away, 104-116,NA,   ,0,0,0,0,0,0,0
"Allen, Kadeem",SG,0,"$3,500",nyk,bkn,home, 101-103,NA,   ,0,0,0,0,0,0,0
"Harper, Jared",PG,0,"$3,500",pho,den,away, 104-116,NA,   ,0,0,0,0,0,0,0
"Mathews, Garrison",SG,0,"$3,500",was,sac,home, 106-113,NA,   ,0,0,0,0,0,0,0
