Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Doncic, Luka",1,60.9,11300,dal,por,home, 118-121,36:21,44,7,9,0,0,5,5,14,20,11,12
"Murray, Dejounte",1,55.4,7500,sas,cha,away, 122-110,32:19,26,12,6,2,0,0,0,10,22,6,6
"Rozier, Terry",2,52.4,7000,cha,sas,home, 110-122,40:27,33,7,4,2,1,4,3,14,29,2,2
"Lillard, Damian",1,52.1,9500,por,dal,away, 121-118,36:28,34,3,11,1,0,5,5,12,26,5,7
"Beal, Bradley",2,50.9,9800,was,bos,home, 104-91,33:09,35,7,5,2,0,6,4,10,18,11,11
"Ball, LaMelo",1,50.4,7800,cha,sas,home, 110-122,39:00,17,12,8,3,1,5,3,7,20,0,0
"Williams, Louis",2,45.4,6800,lac,cle,home, 128-111,32:11,30,2,10,0,0,2,2,10,22,8,8
"White, Derrick",1,45.4,4700,sas,cha,away, 122-110,26:51,25,2,4,4,0,0,4,9,15,3,5
"Fox, De'Aaron",1,43.9,8700,sac,mem,home, 110-124,29:59,23,2,9,1,1,1,1,7,15,8,11
"Booker, Devin",2,40.8,7800,pho,orl,home, 109-90,34:57,27,4,6,0,0,0,1,10,16,6,7
"Westbrook, Russell",1,40.3,8700,was,bos,home, 104-91,29:04,13,9,11,1,0,3,0,6,19,1,3
"Ross, Terrence",2,38.7,5200,orl,pho,away, 90-109,36:01,23,6,5,0,1,2,3,9,23,2,3
"Walker, Kemba",1,37.4,5600,bos,was,away, 91-104,29:03,25,7,2,2,0,5,4,9,18,3,4
"Lowry, Kyle",1,36.8,7600,tor,min,home, 112-116,40:06,24,4,4,2,0,4,2,6,12,10,12
"Paul, Chris",1,36.7,7600,pho,orl,home, 109-90,28:27,12,6,9,2,0,2,2,5,9,0,0
"Haliburton, Tyrese",1,35.8,6100,sac,mem,home, 110-124,30:47,22,4,4,2,0,3,3,9,14,1,2
"Beverley, Patrick",1,35.7,4600,lac,cle,home, 128-111,20:06,16,6,5,2,0,1,4,5,8,2,2
"Murray, Jamal",1,35.2,6500,den,lal,home, 122-105,34:23,25,6,4,0,0,3,4,7,15,7,7
"Garland, Darius",1,35.2,5800,cle,lac,away, 111-128,28:26,20,1,6,2,0,1,2,9,15,0,0
"VanVleet, Fred",2,33.6,8500,tor,min,home, 112-116,37:51,22,3,6,0,0,1,4,8,21,2,2
"Wright, Delon",1,33.4,7200,det,nor,home, 123-112,36:11,17,7,6,0,0,1,1,6,7,4,4
"Brooks, Dillon",2,32.4,5300,mem,sac,away, 124-110,28:52,22,2,2,2,0,1,1,10,20,1,1
"Edwards, Anthony",2,31.9,6000,min,tor,away, 116-112,34:57,18,7,3,1,0,2,1,7,15,3,4
"DiVincenzo, Donte",2,31.6,5100,mil,okc,away, 109-114,30:01,17,8,2,1,0,1,5,6,10,0,2
"Mykhailiuk, Sviatoslav",2,29.9,3500,det,nor,home, 123-112,25:24,18,2,3,0,2,1,4,7,11,0,0
"Sexton, Collin",2,29.6,6300,cle,lac,away, 111-128,35:24,22,3,2,1,0,2,0,8,16,6,9
