Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Harden, James",SG,81,"$14,000",hou,bkn,home, 142-145,45:02,   58pt 10rb 6as 1st 1bl 4to 5trey 16-34fg 21-23ft,58,10,6,1,1,4,5
"Irving, Kyrie",PG,59,"$8,900",bos,tor,home, 117-108,37:59,   27pt 5rb 18as 1st 1bl 7to 3trey 11-19fg 2-2ft,27,5,18,1,1,7,3
"Curry, Stephen",PG,52.5,"$10,000",gsw,nor,home, 147-140,35:08,   41pt 5rb 3as 1st 2to 9trey 11-22fg 10-10ft,41,5,3,1,0,2,9
"Holiday, Jrue",SG,48.7,"$8,600",nor,gsw,away, 140-147,41:06,   25pt 6rb 7as 1st 1bl 4trey 8-19fg 5-8ft,25,6,7,1,1,0,4
"Doncic, Luka",SG,47.6,"$8,700",dal,sas,home, 101-105,35:48,   25pt 8rb 8as 1st 2to 3trey 10-21fg 2-2ft,25,8,8,1,0,2,3
"Dinwiddie, Spencer",PG,46.4,"$5,400",bkn,hou,away, 145-142,32:21,   33pt 2rb 10as 4to 4trey 13-22fg 3-4ft,33,2,10,0,0,4,4
"Lillard, Damian",PG,44.4,"$10,100",por,cle,home, 129-112,32:00,   33pt 2rb 6as 4trey 11-19fg 7-7ft,33,2,6,0,0,0,4
"Mitchell, Donovan",SG,43.4,"$9,000",uta,lac,away, 129-109,35:10,   28pt 2rb 6as 3st 5to 10-22fg 8-8ft,28,2,6,3,0,5,0
"Williams, Louis",SG,41.2,"$6,500",lac,uta,home, 109-129,26:52,   23pt 6rb 6as 1st 1to 11-18fg 1-2ft,23,6,6,1,0,1,0
"Rivers, Austin",SG,34,"$5,000",hou,bkn,home, 142-145,45:55,   13pt 5rb 6as 1st 1bl 3trey 5-14fg,13,5,6,1,1,0,3
"Payton, Elfrid",PG,33,"$5,600",nor,gsw,away, 140-147,29:14,   7pt 5rb 12as 2st 4to 1trey 3-10fg 0-1ft,7,5,12,2,0,4,1
"Ross, Terrence",SG,32.9,"$5,300",orl,det,away, 115-120,33:00,   24pt 2rb 1as 1st 1bl 1to 6trey 8-14fg 2-3ft,24,2,1,1,1,1,6
"Lowry, Kyle",PG,32.7,"$7,200",tor,bos,away, 108-117,33:32,   10pt 6rb 7as 1st 1bl 1to 1trey 3-10fg 3-3ft,10,6,7,1,1,1,1
"Bledsoe, Eric",PG,32.4,"$7,700",mil,mem,away, 111-101,24:37,   16pt 2rb 4as 3st 1to 2trey 5-13fg 4-4ft,16,2,4,3,0,1,2
"Thompson, Klay",SG,31.9,"$7,400",gsw,nor,home, 147-140,35:42,   19pt 7rb 3as 1st 3to 4trey 7-17fg 1-1ft,19,7,3,1,0,3,4
"DeRozan, DeMar",SG,30.3,"$8,500",sas,dal,away, 105-101,39:31,   14pt 4rb 9as 2to 6-13fg 2-2ft,14,4,9,0,0,2,0
"Fournier, Evan",SG,28.9,"$5,600",orl,det,away, 115-120,39:32,   18pt 2rb 5as 1st 2to 3trey 7-15fg 1-2ft,18,2,5,1,0,2,3
"Gordon, Eric",SG,28.6,"$5,900",hou,bkn,home, 142-145,21:01,   20pt 3rb 2as 1st 1to 4trey 6-11fg 4-4ft,20,3,2,1,0,1,4
"Mills, Patty",PG,28.4,"$3,800",sas,dal,away, 105-101,23:33,   14pt 2rb 4as 2st 4trey 5-13fg,14,2,4,2,0,0,4
"Carter, Jevon",PG,27.9,"$3,600",mem,mil,home, 101-111,28:25,   8pt 2rb 5as 2st 2bl 2to 2trey 3-9fg 0-1ft,8,2,5,2,2,2,2
"Augustin, D.J.",PG,27.1,"$4,600",orl,det,away, 115-120,32:16,   13pt 3rb 7as 1trey 6-12fg,13,3,7,0,0,0,1
"Middleton, Khris",SG,26.7,"$7,100",mil,mem,away, 111-101,26:51,   11pt 6rb 5as 1st 2to 4-8fg 3-3ft,11,6,5,1,0,2,0
"Clarkson, Jordan",SG,26.5,"$5,800",cle,por,away, 112-129,29:10,   22pt 3as 2trey 9-17fg 2-2ft,22,0,3,0,0,0,2
"Brown, Sterling",SG,26.4,"$3,700",mil,mem,away, 111-101,28:03,   11pt 7rb 4as 1st 1bl 5to 2trey 4-5fg 1-2ft,11,7,4,1,1,5,2
"Russell, D'Angelo",SG,26.1,"$7,900",bkn,hou,away, 145-142,27:43,   10pt 3rb 7as 1st 1to 2trey 4-11fg,10,3,7,1,0,1,2
"Graham, Treveon",SG,25,"$3,500",bkn,hou,away, 145-142,31:33,   21pt 5rb 2to 3trey 7-9fg 4-5ft,21,5,0,0,0,2,3
"Iguodala, Andre",SG,25,"$4,300",gsw,nor,home, 147-140,23:21,   13pt 5rb 4as 1trey 5-10fg 2-4ft,13,5,4,0,0,0,1
"Kennard, Luke",SG,24.8,"$3,500",det,orl,home, 120-115,25:31,   14pt 4rb 2as 1st 1trey 6-10fg 1-1ft,14,4,2,1,0,0,1
"Green, Danny",SG,24.7,"$4,900",tor,bos,away, 108-117,30:50,   15pt 6rb 1as 1bl 2to 3trey 6-15fg,15,6,1,0,1,2,3
"Belinelli, Marco",SG,24.4,"$4,000",sas,dal,away, 105-101,23:57,   17pt 2rb 2as 1st 1to 3trey 5-11fg 4-4ft,17,2,2,1,0,1,3
"Holiday, Justin",SG,24.3,"$3,500",mem,mil,home, 101-111,16:52,   5pt 4rb 1as 4st 1bl 2to 1trey 1-4fg 2-2ft,5,4,1,4,1,2,1
"Brogdon, Malcolm",SG,24.2,"$6,200",mil,mem,away, 111-101,26:08,   9pt 6rb 4as 1bl 1to 1trey 3-9fg 2-3ft,9,6,4,0,1,1,1
"McCollum, C.J.",SG,24.1,"$6,500",por,cle,home, 129-112,29:22,   19pt 3rb 1as 2trey 7-13fg 3-4ft,19,3,1,0,0,0,2
"Smart, Marcus",SG,23.3,"$4,700",bos,tor,home, 117-108,31:29,   5pt 4rb 3as 3st 1trey 2-5fg,5,4,3,3,0,0,1
"Conley, Mike",PG,22.9,"$8,300",mem,mil,home, 101-111,23:25,   14pt 2rb 3as 1st 1to 1trey 5-14fg 3-3ft,14,2,3,1,0,1,1
"Forbes, Bryn",PG,22.5,"$4,300",sas,dal,away, 105-101,32:47,   12pt 5rb 3as 2trey 5-9fg,12,5,3,0,0,0,2
"Korver, Kyle",SG,22.4,"$4,000",uta,lac,away, 129-109,24:07,   19pt 2rb 2as 2to 4trey 5-8fg 5-6ft,19,2,2,0,0,2,4
"Jackson, Reggie",PG,21.6,"$5,300",det,orl,home, 120-115,30:45,   13pt 3rb 4as 1to 2trey 5-12fg 1-1ft,13,3,4,0,0,1,2
"Galloway, Langston",SG,21.1,"$3,500",det,orl,home, 120-115,20:32,   13pt 3rb 1as 1st 2trey 4-9fg 3-3ft,13,3,1,1,0,0,2
"Dellavedova, Matthew",PG,20.6,"$3,600",cle,por,away, 112-129,19:02,   8pt 3rb 6as 1trey 3-9fg 1-2ft,8,3,6,0,0,0,1
"Mack, Shelvin",PG,20.2,"$4,400",mem,mil,home, 101-111,17:43,   11pt 1rb 6as 1to 1trey 5-10fg,11,1,6,0,0,1,1
"Bullock, Reggie",SG,20,"$4,900",det,orl,home, 120-115,38:21,   13pt 6as 2to 3trey 5-12fg,13,0,6,0,0,2,3
"Briscoe, Isaiah",PG,19.3,"$3,500",orl,det,away, 115-120,20:17,   6pt 4rb 5as 1st 2to 3-7fg 0-1ft,6,4,5,1,0,2,0
"White, Derrick",PG,18.6,"$6,100",sas,dal,away, 105-101,24:23,   6pt 3rb 2as 2st 2-4fg 2-4ft,6,3,2,2,0,0,0
"Payne, Cameron",PG,18.6,"$3,700",cle,por,away, 112-129,20:38,   12pt 3rb 2as 2trey 5-8fg,12,3,2,0,0,0,2
"Hill, George",PG,18.6,"$3,700",mil,mem,away, 111-101,14:58,   9pt 3rb 2as 1st 1trey 3-6fg 2-2ft,9,3,2,1,0,0,1
"Bradley, Avery",SG,18.1,"$3,500",lac,uta,home, 109-129,24:56,   15pt 3rb 1as 2to 3trey 6-10fg,15,3,1,0,0,2,3
"Matthews, Wes",SG,18.1,"$4,500",dal,sas,home, 101-105,33:08,   13pt 3rb 3as 3to 3trey 5-12fg,13,3,3,0,0,3,3
"Brown, Jaylen",SG,18,"$4,400",bos,tor,home, 117-108,22:59,   7pt 5rb 1st 1bl 1to 1trey 2-9fg 2-4ft,7,5,0,1,1,1,1
"Brown, Bruce",SG,16.1,"$3,800",det,orl,home, 120-115,21:37,   8pt 3rb 1as 1bl 2trey 3-4fg,8,3,1,0,1,0,2
"Beverley, Patrick",PG,13.1,"$4,500",lac,uta,home, 109-129,25:25,   0pt 3rb 3as 2st 1to 0-3fg,0,3,3,2,0,1,0
