Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Bullock, Reggie",SG,20.7,"$5,000",det,nor,away, 98-94,26:48,   5pt 6rb 5as 1bl 2to 1trey 2-12fg,5,6,5,0,1,2,1
"Green, Danny",SG,20.5,"$5,000",tor,ind,away, 106-110,26:52,   10pt 5rb 3as 2trey 3-9fg 2-2ft,10,5,3,0,0,0,2
"Lin, Jeremy",PG,20.4,"$4,600",atl,chi,away, 121-101,21:42,   15pt 2rb 4as 3to 2trey 6-10fg 1-3ft,15,2,4,0,0,3,2
"Wanamaker, Brad",PG,19.9,"$3,700",bos,cle,home, 123-103,20:18,   11pt 2rb 3as 1bl 1to 3trey 3-5fg 2-2ft,11,2,3,0,1,1,3
"VanVleet, Fred",PG,18.9,"$4,600",tor,ind,away, 106-110,37:24,   14pt 2rb 3as 2to 2trey 5-14fg 2-2ft,14,2,3,0,0,2,2
"Gilgeous-Alexander, Shai",PG,18.9,"$4,500",lac,mia,away, 111-99,30:50,   10pt 2rb 3as 1st 1to 5-10fg,10,2,3,1,0,1,0
"Rivers, Austin",SG,18.4,"$4,600",hou,nyk,away, 114-110,33:50,   4pt 2rb 4as 1st 1bl 2-7fg,4,2,4,1,1,0,0
"Temple, Garrett",SG,18.1,"$4,200",mem,cha,home, 107-118,36:32,   5pt 3rb 3as 1st 1bl 1to 1trey 2-5fg,5,3,3,1,1,1,1
"Mudiay, Emmanuel",PG,17.8,"$6,300",nyk,hou,home, 110-114,28:11,   14pt 4rb 2as 1st 7to 1trey 4-9fg 5-6ft,14,4,2,1,0,7,1
"Beverley, Patrick",PG,17.2,"$5,500",lac,mia,away, 111-99,34:02,   4pt 6rb 2as 1st 1-5fg 2-2ft,4,6,2,1,0,0,0
"Holiday, Justin",SG,16.7,"$5,000",mem,cha,home, 107-118,40:23,   10pt 6rb 1as 2to 2trey 4-11fg,10,6,1,0,0,2,2
"Joseph, Cory",PG,16.6,"$3,800",ind,tor,home, 110-106,31:33,   7pt 3rb 4as 1trey 3-10fg,7,3,4,0,0,0,1
"Smart, Marcus",SG,16.2,"$5,300",bos,cle,home, 123-103,25:07,   9pt 1rb 4as 1st 3to 2trey 2-7fg 3-3ft,9,1,4,1,0,3,2
"Anderson, Justin",SG,15.6,"$3,500",atl,chi,away, 121-101,18:05,   7pt 3rb 2st 1to 1trey 2-7fg 2-3ft,7,3,0,2,0,1,1
"Clarkson, Jordan",SG,15.5,"$4,700",cle,bos,away, 103-123,22:25,   14pt 1as 2trey 6-14fg,14,0,1,0,0,0,2
"Payton, Elfrid",PG,15.1,"$5,700",nor,det,home, 94-98,32:15,   2pt 3rb 5as 1st 1to 1-7fg,2,3,5,1,0,1,0
"Korver, Kyle",SG,14.9,"$3,800",uta,den,home, 114-108,18:15,   9pt 2rb 1as 1st 1to 3trey 3-7fg,9,2,1,1,0,1,3
"Kennard, Luke",SG,14.6,"$3,900",det,nor,away, 98-94,21:12,   5pt 3rb 2st 1-6fg 3-3ft,5,3,0,2,0,0,0
"Monk, Malik",SG,14.4,"$3,800",cha,mem,away, 118-107,17:46,   9pt 2rb 2as 1trey 4-7fg,9,2,2,0,0,0,1
"Mack, Shelvin",PG,13.9,"$4,000",mem,cha,home, 107-118,16:53,   4pt 2rb 5as 2-7fg,4,2,5,0,0,0,0
"Waiters, Dion",SG,13.7,"$4,700",mia,lac,home, 99-111,28:33,   9pt 1rb 3as 1to 2trey 3-9fg 1-2ft,9,1,3,0,0,1,2
"Jackson, Frank",PG,13.6,"$3,500",nor,det,home, 94-98,16:05,   8pt 3rb 2as 1to 4-5fg,8,3,2,0,0,1,0
"Robinson, Jerome",PG,13.4,"$3,500",lac,mia,away, 111-99,16:11,   8pt 2rb 1bl 2trey 3-6fg,8,2,0,0,1,0,2
"Dotson, Damyean",SG,13.2,"$3,700",nyk,hou,home, 110-114,24:51,   8pt 6rb 2to 2trey 2-5fg 2-2ft,8,6,0,0,0,2,2
"Fournier, Evan",SG,12.9,"$6,100",orl,bkn,away, 110-114,32:54,   9pt 2rb 1as 4-11fg 1-3ft,9,2,1,0,0,0,0
"Galloway, Langston",SG,12.5,"$3,500",det,nor,away, 98-94,27:29,   8pt 1as 1st 2trey 3-11fg,8,0,1,1,0,0,2
"Ntilikina, Frank",PG,12.4,"$3,900",nyk,hou,home, 110-114,23:57,   0pt 2rb 6as 1st 2to 0-5fg,0,2,6,1,0,2,0
"Ross, Terrence",SG,12.2,"$5,400",orl,bkn,away, 110-114,27:06,   9pt 1rb 1st 1to 1trey 3-12fg 2-2ft,9,1,0,1,0,1,1
"Wright, Delon",SG,12.1,"$4,500",tor,ind,away, 106-110,14:16,   4pt 3rb 3as 2-5fg,4,3,3,0,0,0,0
"McCaw, Patrick",SG,12,"$3,500",tor,ind,away, 106-110,12:24,   0pt 5rb 2as 1st 0-1fg,0,5,2,1,0,0,0
"Murray, Jamal",PG,11.5,"$6,900",den,uta,away, 108-114,28:27,   9pt 3as 2to 1trey 3-11fg 2-3ft,9,0,3,0,0,2,1
"Calderon, Jose",PG,11.2,"$3,500",det,nor,away, 98-94,17:59,   3pt 1rb 6as 2to 1trey 1-2fg,3,1,6,0,0,2,1
"Brown, Bruce",SG,11.2,"$3,600",det,nor,away, 98-94,22:01,   4pt 6rb 1trey 1-4fg 1-2ft,4,6,0,0,0,0,1
"Selden, Wayne",SG,9.2,"$3,500",chi,atl,home, 101-121,18:31,   11pt 1rb 3to 1trey 5-6fg 0-1ft,11,1,0,0,0,3,1
"Morris, Monte",SG,9.2,"$3,700",den,uta,away, 108-114,23:27,   10pt 1rb 2to 2trey 4-4fg,10,1,0,0,0,2,2
"Arcidiacono, Ryan",PG,8.7,"$3,600",chi,atl,home, 101-121,17:32,   0pt 1rb 3as 1st 0-1fg,0,1,3,1,0,0,0
"Oladipo, Victor",SG,8.1,"$7,800",ind,tor,home, 110-106,10:23,   4pt 3rb 1as 1to 2-4fg,4,3,1,0,0,1,0
"Graham, Treveon",SG,8,"$3,800",bkn,orl,home, 114-110,24:21,   5pt 5rb 3to 1trey 2-5fg,5,5,0,0,0,3,1
"Dellavedova, Matthew",PG,8,"$3,500",cle,bos,away, 103-123,16:45,   7pt 2as 2to 2-3fg 3-3ft,7,0,2,0,0,2,0
"Payne, Cameron",PG,7.5,"$4,400",cle,bos,away, 103-123,14:53,   2pt 1as 2st 2to 0-1fg 2-2ft,2,0,1,2,0,2,0
"Hamilton, Daniel",SG,6.2,"$3,800",atl,chi,away, 121-101,13:34,   6pt 1rb 1to 2trey 2-5fg,6,1,0,0,0,1,2
"Napier, Shabazz",PG,4.2,"$4,100",bkn,orl,home, 114-110,12:20,   2pt 1rb 1bl 2to 1-2fg,2,1,0,0,1,2,0
"Carter, Jevon",PG,3.5,"$3,500",mem,cha,home, 107-118,4:08,   2pt 1as 1-2fg,2,0,1,0,0,0,0
"Blakeney, Antonio",SG,2,"$3,500",chi,atl,home, 101-121,3:28,   2pt 1-1fg,2,0,0,0,0,0,0
"Frazier, Tim",PG,0.5,"$3,500",nor,det,home, 94-98,5:55,   0pt 1as 1to 0-1fg,0,0,1,0,0,1,0
"Dorsey, Tyler",SG,0,"$3,500",atl,chi,away, 121-101,1:52,   0pt 0-1fg,0,0,0,0,0,0,0
"Korkmaz, Furkan",SG,0,"$3,500",phi,sas,home, 122-120,DNP,   ,0,0,0,0,0,0,0
"Wallace, Tyrone",SG,0,"$3,500",lac,mia,away, 111-99,DNP,   ,0,0,0,0,0,0,0
"Graham, Devonte'",PG,0,"$3,500",cha,mem,away, 118-107,DNP,   ,0,0,0,0,0,0,0
"Walker, Lonnie",SG,0,"$3,600",sas,phi,away, 120-122,DNP,   ,0,0,0,0,0,0,0
"Pondexter, Quincy",SG,0,"$3,500",sas,phi,away, 120-122,DNP,   ,0,0,0,0,0,0,0
"Mitrou-Long, Nazareth",SG,0,"$3,500",uta,den,home, 114-108,DNP,   ,0,0,0,0,0,0,0
"Holiday, Aaron",SG,0,"$3,600",ind,tor,home, 110-106,DNP,   ,0,0,0,0,0,0,0
"Ellington, Wayne",SG,0,"$3,600",mia,lac,home, 99-111,DNP,   ,0,0,0,0,0,0,0
"Burke, Trey",PG,0,"$3,700",nyk,hou,home, 110-114,DNP,   ,0,0,0,0,0,0,0
"Lee, Courtney",SG,0,"$3,600",nyk,hou,home, 110-114,DNP,   ,0,0,0,0,0,0,0
"Thomas, Khyri",SG,0,"$3,500",det,nor,away, 98-94,DNP,   ,0,0,0,0,0,0,0
"Clark, Ian",SG,0,"$3,500",nor,det,home, 94-98,DNP,   ,0,0,0,0,0,0,0
"Loyd, Jordan",PG,0,"$3,500",tor,ind,away, 106-110,DNP,   ,0,0,0,0,0,0,0
"Lucas, Kalin",PG,0,"$3,500",det,nor,away, 98-94,DNP,   ,0,0,0,0,0,0,0
"McGruder, Rodney",SG,0,"$3,700",mia,lac,home, 99-111,DNP,   ,0,0,0,0,0,0,0
"Knight, Brandon",PG,0,"$3,500",hou,nyk,away, 114-110,DNP,   ,0,0,0,0,0,0,0
"Chealey, Joe",PG,0,"$3,500",cha,mem,away, 118-107,NA,   ,0,0,0,0,0,0,0
"Irving, Kyrie",PG,0,"$10,400",bos,cle,home, 123-103,NA,   ,0,0,0,0,0,0,0
"Teodosic, Milos",PG,0,"$3,500",lac,mia,away, 111-99,NA,   ,0,0,0,0,0,0,0
"Murray, Dejounte",PG,0,"$3,500",sas,phi,away, 120-122,NA,   ,0,0,0,0,0,0,0
"Robinson, Duncan",SG,0,"$3,500",mia,lac,home, 99-111,NA,   ,0,0,0,0,0,0,0
"Milton, Shake",SG,0,"$3,500",phi,sas,home, 122-120,NA,   ,0,0,0,0,0,0,0
"Richardson, Malachi",SG,0,"$3,500",tor,ind,away, 106-110,NA,   ,0,0,0,0,0,0,0
"Reed, Davon",SG,0,"$3,500",ind,tor,home, 110-106,NA,   ,0,0,0,0,0,0,0
"Bazemore, Kent",SG,0,"$6,400",atl,chi,away, 121-101,NA,   ,0,0,0,0,0,0,0
"Fultz, Markelle",SG,0,"$3,500",phi,sas,home, 122-120,NA,   ,0,0,0,0,0,0,0
"Paul, Chris",PG,0,"$8,200",hou,nyk,away, 114-110,NA,   ,0,0,0,0,0,0,0
"Alkins, Rawle",SG,0,"$3,500",chi,atl,home, 101-121,NA,   ,0,0,0,0,0,0,0
"Sumner, Edmond",PG,0,"$3,500",ind,tor,home, 110-106,NA,   ,0,0,0,0,0,0,0
"Smith, J.R.",SG,0,"$3,500",cle,bos,away, 103-123,NA,   ,0,0,0,0,0,0,0
"Bird, Jabari",SG,0,"$3,600",bos,cle,home, 123-103,NA,   ,0,0,0,0,0,0,0
"Sampson, Brandon",SG,0,"$3,500",chi,atl,home, 101-121,NA,   ,0,0,0,0,0,0,0
"Allen, Kadeem",PG,0,"$3,500",nyk,hou,home, 110-114,NA,   ,0,0,0,0,0,0,0
"Smith, Zhaire",SG,0,"$3,500",phi,sas,home, 122-120,NA,   ,0,0,0,0,0,0,0
"Bluiett, Trevon",SG,0,"$3,500",nor,det,home, 94-98,NA,   ,0,0,0,0,0,0,0
"Caupain, Troy",PG,0,"$3,500",orl,bkn,away, 110-114,NA,   ,0,0,0,0,0,0,0
"LeVert, Caris",SG,0,"$3,500",bkn,orl,home, 114-110,NA,   ,0,0,0,0,0,0,0
"Dozier, PJ",SG,0,"$3,500",bos,cle,home, 123-103,NA,   ,0,0,0,0,0,0,0
"Brooks, Dillon",SG,0,"$3,800",mem,cha,home, 107-118,NA,   ,0,0,0,0,0,0,0
"Dragic, Goran",PG,0,"$5,700",mia,lac,home, 99-111,NA,   ,0,0,0,0,0,0,0
"Neto, Raul",PG,0,"$3,600",uta,den,home, 114-108,NA,   ,0,0,0,0,0,0,0
"Butler, Jimmy",SG,0,"$8,200",phi,sas,home, 122-120,NA,   ,0,0,0,0,0,0,0
"Macura, J.P.",SG,0,"$3,500",cha,mem,away, 118-107,NA,   ,0,0,0,0,0,0,0
"Goodwin, Brandon",PG,0,"$3,500",den,uta,away, 108-114,NA,   ,0,0,0,0,0,0,0
"Exum, Dante",PG,0,"$3,500",uta,den,home, 114-108,NA,   ,0,0,0,0,0,0,0
"Thomas, Isaiah",PG,0,"$3,500",den,uta,away, 108-114,NA,   ,0,0,0,0,0,0,0
"Adams, Jaylen",SG,0,"$3,500",atl,chi,away, 121-101,NA,   ,0,0,0,0,0,0,0
"Huerter, Kevin",SG,0,"$5,500",atl,chi,away, 121-101,NA,   ,0,0,0,0,0,0,0
"Nwaba, David",SG,0,"$3,500",cle,bos,away, 103-123,NA,   ,0,0,0,0,0,0,0
"Hunter, R.J.",SG,0,"$3,500",bos,cle,home, 123-103,NA,   ,0,0,0,0,0,0,0
"Smith, Ishmael",PG,0,"$3,900",det,nor,away, 98-94,NA,   ,0,0,0,0,0,0,0
"Crabbe, Allen",SG,0,"$4,200",bkn,orl,home, 114-110,NA,   ,0,0,0,0,0,0,0
"Whitehead, Isaiah",PG,0,"$3,500",det,nor,away, 98-94,NA,   ,0,0,0,0,0,0,0
