Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Frazier, Melvin",SF,0,"$3,500",orl,mil,away, 101-110,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Leaf, TJ",PF,0,"$3,500",ind,lac,home, 99-110,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Giles, Harry",PF,0,"$3,500",sac,hou,away, 119-118,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Gabriel, Wenyen",PF,0,"$3,500",sac,hou,away, 119-118,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Wilson, D.J.",PF,0,"$3,600",mil,orl,home, 110-101,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Sefolosha, Thabo",SF,0,"$3,500",hou,sac,home, 118-119,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Strus, Max",SF,0,"$3,500",chi,tor,home, 92-93,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Hartenstein, Isaiah",PF,0,"$3,500",hou,sac,home, 118-119,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Moore, E'Twaun",SF,0,"$3,600",nor,det,home, 103-105,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Kornet, Luke",PF,0,"$3,500",chi,tor,home, 92-93,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Iwundu, Wes",SF,0,"$3,500",orl,mil,away, 101-110,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Johnson, Alize",PF,0,"$3,500",ind,lac,home, 99-110,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Favors, Derrick",PF,0,"$7,000",nor,det,home, 103-105,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Kabengele, Mfiondu",SF,0,"$3,500",lac,ind,away, 110-99,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Clarke, Brandon",PF,0,"$5,000",mem,gsw,away, 110-102,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Antetokounmpo, Thanasis",SF,0,"$3,500",mil,orl,home, 110-101,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"King, Louis",SF,0,"$3,500",det,nor,away, 105-103,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Layman, Jake",SF,0,"$3,800",min,pho,away, 109-125,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Bagley, Marvin",PF,0,"$7,000",sac,hou,away, 119-118,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Bender, Dragan",PF,0,"$3,500",mil,orl,home, 110-101,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Porter, Otto",SF,0,"$5,100",chi,tor,home, 92-93,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Hernandez, Dewan",PF,0,"$3,500",tor,chi,away, 93-92,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Aminu, Al-Farouq",PF,0,"$3,800",orl,mil,away, 101-110,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Williamson, Zion",PF,0,"$3,500",nor,det,home, 103-105,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Smailagic, Alen",PF,0,"$3,500",gsw,mem,home, 102-110,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Coffey, Amir",PF,0,"$3,500",lac,ind,away, 110-99,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Johnson, Stanley",SF,0,"$3,500",tor,chi,away, 93-92,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Gallinari, Danilo",SF,0,"$7,100",okc,uta,away, 104-90,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Leonard, Kawhi",PF,0,"$9,400",lac,ind,away, 110-99,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Swanigan, Caleb",PF,0,"$3,500",sac,hou,away, 119-118,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Martin, Kelan",SF,0,"$3,500",min,pho,away, 109-125,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Johnson, B.J.",SF,0,"$3,500",orl,mil,away, 101-110,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Sampson, JaKarr",SF,0,"$3,500",ind,lac,home, 99-110,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Brantley, Jarrell",SF,0,"$3,500",uta,okc,home, 90-104,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Cook, Tyler",PF,0,"$3,500",cle,bos,away, 88-110,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Gordon, Eric",SF,0,"$4,000",hou,sac,home, 118-119,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Brissett, Oshae",SF,0,"$3,500",tor,chi,away, 93-92,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Motley, Johnathan",PF,0,"$3,500",lac,ind,away, 110-99,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Hutchison, Chandler",SF,0,"$3,600",chi,tor,home, 92-93,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Green, Gerald",SF,0,"$3,500",hou,sac,home, 118-119,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Cheatham, Zylan",PF,0,"$3,500",nor,det,home, 103-105,NA,   ,0,0,0,0,0,0,0,0,0,0,0
