Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Lamb, Jeremy",SG,55.7,"$5,700",cha,atl,away, 129-120,36:24,   24pt 6rb 7as 3st 2bl 1to 4trey 8-14fg 4-4ft,24,6,7,3,2,1,4
"Westbrook, Russell",PG,50.9,"$12,100",okc,hou,away, 117-112,38:24,   21pt 12rb 11as 2st 1bl 10to 1trey 8-21fg 4-5ft,21,12,11,2,1,10,1
"Beal, Bradley",SG,49.4,"$9,500",was,chi,away, 134-125,34:07,   31pt 2rb 4as 4st 2to 1trey 13-21fg 4-4ft,31,2,4,4,0,2,1
"Walker, Kemba",PG,48.7,"$10,000",cha,atl,away, 129-120,36:57,   37pt 1rb 7as 1st 3to 9trey 13-27fg 2-2ft,37,1,7,1,0,3,9
"Paul, Chris",PG,47.5,"$7,800",hou,okc,home, 112-117,34:55,   18pt 10rb 9as 2st 2to 2trey 5-12fg 6-7ft,18,10,9,2,0,2,2
"Lowry, Kyle",PG,44.3,"$8,000",tor,nyk,away, 104-99,33:55,   22pt 4rb 5as 2st 2bl 2to 5trey 6-10fg 5-6ft,22,4,5,2,2,2,5
"Harden, James",SG,43.9,"$13,600",hou,okc,home, 112-117,37:12,   42pt 2rb 1as 1st 5to 6trey 11-28fg 14-15ft,42,2,1,1,0,5,6
"Mitchell, Donovan",SG,43.5,"$8,600",uta,sas,home, 125-105,39:03,   23pt 5rb 5as 3st 2to 2trey 9-22fg 3-4ft,23,5,5,3,0,2,2
"LaVine, Zach",SG,39.8,"$7,700",chi,was,home, 125-134,35:34,   26pt 4rb 6as 1st 3to 11-17fg 4-5ft,26,4,6,1,0,3,0
"Young, Trae",PG,39.7,"$7,300",atl,cha,home, 120-129,28:12,   20pt 1rb 11as 2st 4to 4trey 8-15fg,20,1,11,2,0,4,4
"Joseph, Cory",PG,38.8,"$4,900",ind,cle,home, 105-90,30:49,   10pt 9rb 10as 1st 5-7fg 0-2ft,10,9,10,1,0,0,0
"Bledsoe, Eric",PG,38.7,"$8,200",mil,orl,home, 83-103,29:13,   19pt 11rb 5as 1to 2trey 7-13fg 3-6ft,19,11,5,0,0,1,2
"Beverley, Patrick",PG,37.3,"$5,100",lac,bos,away, 123-112,31:13,   12pt 9rb 7as 2st 2to 2trey 3-7fg 4-4ft,12,9,7,2,0,2,2
"Collison, Darren",PG,35.7,"$6,700",ind,cle,home, 105-90,33:59,   18pt 1rb 9as 1st 1trey 8-14fg 1-2ft,18,1,9,1,0,0,1
"Smith Jr., Dennis",PG,34.8,"$6,500",nyk,tor,home, 99-104,30:24,   13pt 4rb 6as 3st 1to 1trey 4-17fg 4-6ft,13,4,6,3,0,1,1
"Allen, Kadeem",PG,33.8,"$3,600",nyk,tor,home, 99-104,27:46,   14pt 4rb 6as 2st 2trey 5-11fg 2-4ft,14,4,6,2,0,0,2
"Middleton, Khris",SG,33.4,"$6,500",mil,orl,home, 83-103,32:16,   11pt 12rb 4as 1st 1to 4-17fg 3-3ft,11,12,4,1,0,1,0
"Rubio, Ricky",PG,32.2,"$6,500",uta,sas,home, 125-105,26:46,   16pt 6rb 6as 1trey 7-13fg 1-2ft,16,6,6,0,0,0,1
"Holiday, Jrue",SG,31.9,"$9,300",nor,mem,away, 90-99,29:41,   15pt 7rb 5as 1st 2to 1trey 7-14fg 0-2ft,15,7,5,1,0,2,1
"DeRozan, DeMar",SG,31.9,"$8,100",sas,uta,away, 105-125,35:10,   23pt 2rb 5as 1st 4to 10-19fg 3-3ft,23,2,5,1,0,4,0
"Rozier, Terry",PG,31.5,"$7,000",bos,lac,home, 112-123,31:11,   16pt 5rb 3as 2st 1to 2trey 6-12fg 2-2ft,16,5,3,2,0,1,2
"Conley, Mike",PG,30.7,"$9,100",mem,nor,home, 99-90,32:28,   11pt 6rb 9as 1to 3-11fg 5-5ft,11,6,9,0,0,1,0
