Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Harden, James",SG,92.4,"$11,700",hou,mia,home, 121-118,43:52,   58pt 7rb 10as 4st 1bl 4to 8trey 16-32fg 18-18ft,58,7,10,4,1,4,8
"Westbrook, Russell",PG,54.7,"$11,600",okc,phi,home, 104-108,37:32,   23pt 11rb 11as 1st 1bl 4to 1trey 8-24fg 6-9ft,23,11,11,1,1,4,1
"Simmons, Ben",PG,51.1,"$9,000",phi,okc,away, 108-104,41:05,   11pt 13rb 11as 2st 2bl 4to 5-9fg 1-4ft,11,13,11,2,2,4,0
"Curry, Stephen",PG,48.6,"$9,300",gsw,orl,away, 96-103,37:23,   33pt 8rb 6as 3to 5trey 12-33fg 4-4ft,33,8,6,0,0,3,5
"Butler, Jimmy",SG,44.6,"$8,300",phi,okc,away, 108-104,37:07,   20pt 8rb 8as 2st 3to 9-20fg 2-5ft,20,8,8,2,0,3,0
"Joseph, Cory",PG,41,"$3,600",ind,min,home, 122-115,29:20,   8pt 5rb 12as 1st 2bl 2trey 3-6fg,8,5,12,1,2,0,2
"Dragic, Goran",PG,37.5,"$4,100",mia,hou,away, 118-121,24:54,   21pt 5rb 5as 1st 3trey 5-12fg 8-8ft,21,5,5,1,0,0,3
"Mitchell, Donovan",SG,37.1,"$9,000",uta,den,away, 111-104,35:40,   24pt 8rb 5as 4to 4trey 9-19fg 2-4ft,24,8,5,0,0,4,4
"Collison, Darren",PG,33.9,"$6,800",ind,min,home, 122-115,28:49,   8pt 7rb 9as 1st 1bl 2to 1-9fg 6-6ft,8,7,9,1,1,2,0
"Smith Jr., Dennis",PG,32.4,"$7,100",nyk,cle,home, 118-125,28:55,   16pt 2rb 8as 1bl 1to 3trey 6-13fg 1-1ft,16,2,8,0,1,1,3
"Murray, Jamal",PG,30.3,"$6,800",den,uta,home, 104-111,32:01,   21pt 4rb 3as 4trey 8-16fg 1-4ft,21,4,3,0,0,0,4
"Sexton, Collin",PG,30.1,"$5,000",cle,nyk,away, 125-118,31:32,   22pt 3rb 3as 2trey 7-15fg 6-9ft,22,3,3,0,0,0,2
"Korver, Kyle",SG,29.6,"$3,600",uta,den,away, 111-104,22:10,   22pt 3rb 2as 1st 2to 6trey 8-15fg,22,3,2,1,0,2,6
"Ross, Terrence",SG,29.3,"$5,300",orl,gsw,home, 103-96,26:39,   16pt 4rb 5as 1st 2to 4trey 5-14fg 2-2ft,16,4,5,1,0,2,4
"Teague, Jeff",PG,28.7,"$6,400",min,ind,away, 115-122,28:52,   13pt 6rb 5as 1st 1bl 5to 4-9fg 5-7ft,13,6,5,1,1,5,0
"Clarkson, Jordan",SG,27.9,"$5,300",cle,nyk,away, 125-118,28:57,   22pt 2rb 1as 1st 1to 3trey 7-13fg 5-6ft,22,2,1,1,0,1,3
"Dotson, Damyean",SG,27.6,"$5,200",nyk,cle,home, 118-125,29:24,   9pt 3rb 6as 2st 4-10fg 1-2ft,9,3,6,2,0,0,0
"Trier, Allonzo",SG,27.3,"$4,300",nyk,cle,home, 118-125,32:00,   22pt 4rb 1as 1to 2trey 8-15fg 4-5ft,22,4,1,0,0,1,2
"Paul, Chris",PG,27.2,"$8,700",hou,mia,home, 121-118,34:06,   14pt 6rb 4as 1st 3to 1trey 4-12fg 5-5ft,14,6,4,1,0,3,1
"Augustin, D.J.",PG,26.5,"$4,800",orl,gsw,home, 103-96,26:59,   14pt 3as 1st 2bl 1to 2trey 6-11fg,14,0,3,1,2,1,2
"Schroder, Dennis",SG,25.7,"$5,000",okc,phi,home, 104-108,33:29,   14pt 1rb 7as 1st 3to 2trey 4-15fg 4-5ft,14,1,7,1,0,3,2
"Thompson, Klay",SG,24.6,"$7,200",gsw,orl,away, 96-103,36:12,   21pt 3rb 3trey 9-23fg,21,3,0,0,0,0,3
"Briscoe, Isaiah",PG,23.8,"$3,700",orl,gsw,home, 103-96,20:57,   8pt 9rb 2as 1bl 1to 3-7fg 2-2ft,8,9,2,0,1,1,0
"Wiggins, Andrew",SG,23.7,"$6,500",min,ind,away, 115-122,37:41,   11pt 6rb 1as 2bl 2to 4-14fg 3-5ft,11,6,1,0,2,2,0
"Rivers, Austin",SG,22.4,"$3,700",hou,mia,home, 121-118,30:55,   17pt 2rb 2as 3trey 7-8fg,17,2,2,0,0,0,3
"Matthews, Wes",SG,20.2,"$4,600",ind,min,home, 122-115,34:24,   12pt 1rb 2as 2st 2to 3trey 3-9fg 3-3ft,12,1,2,2,0,2,3
"Waiters, Dion",SG,19.4,"$5,700",mia,hou,away, 118-121,32:23,   11pt 2rb 4as 1st 3to 2trey 4-7fg 1-2ft,11,2,4,1,0,3,2
"McConnell, T.J.",PG,18.4,"$3,600",phi,okc,away, 108-104,17:03,   2pt 2rb 6as 2st 1to 1-5fg,2,2,6,2,0,1,0
"Beasley, Malik",SG,18.3,"$3,900",den,uta,home, 104-111,24:24,   6pt 4rb 1as 2bl 3-6fg,6,4,1,0,2,0,0
"Mudiay, Emmanuel",PG,18.2,"$5,900",nyk,cle,home, 118-125,22:22,   10pt 1rb 6as 2to 1trey 4-10fg 1-2ft,10,1,6,0,0,2,1
"Wade, Dwyane",SG,18.1,"$6,200",mia,hou,away, 118-121,26:00,   12pt 3rb 1as 1st 2to 6-15fg,12,3,1,1,0,2,0
"Okogie, Josh",SG,16.8,"$4,000",min,ind,away, 115-122,25:47,   3pt 4rb 2as 1st 1bl 1-4fg 1-2ft,3,4,2,1,1,0,0
"Fournier, Evan",SG,16.4,"$5,800",orl,gsw,home, 103-96,28:30,   8pt 2rb 2as 1bl 2trey 3-12fg,8,2,2,0,1,0,2
"Ferguson, Terrance",SG,16.2,"$3,600",okc,phi,home, 104-108,38:26,   7pt 1rb 6as 1to 1trey 3-5fg,7,1,6,0,0,1,1
"Knight, Brandon",PG,14.4,"$3,500",cle,nyk,away, 125-118,19:03,   9pt 2rb 1st 2trey 3-5fg 1-2ft,9,2,0,1,0,0,2
"Rose, Derrick",PG,14.2,"$5,600",min,ind,away, 115-122,23:32,   10pt 1rb 1bl 5-10fg,10,1,0,0,1,0,0
"Nwaba, David",SG,11.7,"$3,500",cle,nyk,away, 125-118,18:29,   7pt 1rb 3as 1to 1trey 3-4fg,7,1,3,0,0,1,1
"Dellavedova, Matthew",PG,10.2,"$3,800",cle,nyk,away, 125-118,16:29,   4pt 1rb 4as 1to 2-5fg,4,1,4,0,0,1,0
"Cook, Quinn",PG,10.1,"$3,500",gsw,orl,away, 96-103,10:37,   2pt 3rb 1as 1st 1-2fg,2,3,1,1,0,0,0
"Jones, Tyus",PG,10.1,"$5,300",min,ind,away, 115-122,17:49,   2pt 3rb 3as 1-1fg,2,3,3,0,0,0,0
"McGruder, Rodney",SG,4.5,"$3,700",mia,hou,away, 118-121,6:03,   3pt 1as 1trey 1-1fg,3,0,1,0,0,0,1
"Holiday, Aaron",SG,4.2,"$3,600",ind,min,home, 122-115,14:00,   2pt 1rb 2as 2to 1-4fg,2,1,2,0,0,2,0
"Morris, Monte",SG,3.5,"$4,300",den,uta,home, 104-111,15:59,   2pt 1as 1-6fg,2,0,1,0,0,0,0
"Thomas, Isaiah",PG,3.2,"$3,800",den,uta,home, 104-111,11:18,   4pt 1rb 2to 2-6fg,4,1,0,0,0,2,0
"Craig, Torrey",SG,3,"$3,500",den,uta,home, 104-111,2:20,   0pt 1st 0-1fg,0,0,0,1,0,0,0
"Stauskas, Nik",SG,2.4,"$3,500",cle,nyk,away, 125-118,6:43,   0pt 2rb 0-1fg,0,2,0,0,0,0,0
"Felton, Raymond",PG,2,"$3,600",okc,phi,home, 104-108,11:32,   0pt 2as 1to 0-2fg,0,0,2,0,0,1,0
"Allen, Grayson",SG,1.5,"$3,500",uta,den,away, 111-104,10:10,   0pt 1as 0-2fg 0-2ft,0,0,1,0,0,0,0
"Lee, Damion",SG,0,"$3,500",gsw,orl,away, 96-103,4:01,   0pt 0-1fg,0,0,0,0,0,0,0
"Reynolds, Cameron",SG,0,"$3,500",min,ind,away, 115-122,DNP,   ,0,0,0,0,0,0,0
"Robinson, Duncan",SG,0,"$3,500",mia,hou,away, 118-121,DNP,   ,0,0,0,0,0,0,0
"Gordon, Eric",SG,0,"$5,200",hou,mia,home, 121-118,DNP,   ,0,0,0,0,0,0,0
"Burton, Deonte",SG,0,"$3,500",okc,phi,home, 104-108,DNP,   ,0,0,0,0,0,0,0
"Shumpert, Iman",SG,0,"$3,500",hou,mia,home, 121-118,DNP,   ,0,0,0,0,0,0,0
"Grant, Jerian",PG,0,"$3,500",orl,gsw,home, 103-96,DNP,   ,0,0,0,0,0,0,0
"Diallo, Hamidou",SG,0,"$3,500",okc,phi,home, 104-108,DNP,   ,0,0,0,0,0,0,0
"Mitrou-Long, Nazareth",SG,0,"$3,500",uta,den,away, 111-104,DNP,   ,0,0,0,0,0,0,0
"Bayless, Jerryd",PG,0,"$3,500",min,ind,away, 115-122,DNP,   ,0,0,0,0,0,0,0
"Evans III, Jacob",SG,0,"$3,500",gsw,orl,away, 96-103,NA,   ,0,0,0,0,0,0,0
"Korkmaz, Furkan",SG,0,"$3,600",phi,okc,away, 108-104,NA,   ,0,0,0,0,0,0,0
"Ntilikina, Frank",PG,0,"$3,700",nyk,cle,home, 118-125,NA,   ,0,0,0,0,0,0,0
"Milton, Shake",SG,0,"$3,500",phi,okc,away, 108-104,NA,   ,0,0,0,0,0,0,0
"Reed, Davon",SG,0,"$3,500",ind,min,home, 122-115,NA,   ,0,0,0,0,0,0,0
"Roberson, Andre",SG,0,"$3,500",okc,phi,home, 104-108,NA,   ,0,0,0,0,0,0,0
"Neto, Raul",PG,0,"$3,500",uta,den,away, 111-104,NA,   ,0,0,0,0,0,0,0
"Fultz, Markelle",SG,0,"$3,500",orl,gsw,home, 103-96,NA,   ,0,0,0,0,0,0,0
"Chiozza, Chris",PG,0,"$3,500",hou,mia,home, 121-118,NA,   ,0,0,0,0,0,0,0
"Terrell, Jared",SG,0,"$3,500",min,ind,away, 115-122,NA,   ,0,0,0,0,0,0,0
"Sumner, Edmond",PG,0,"$3,600",ind,min,home, 122-115,NA,   ,0,0,0,0,0,0,0
"Goodwin, Brandon",PG,0,"$3,500",den,uta,home, 104-111,NA,   ,0,0,0,0,0,0,0
"Exum, Dante",PG,0,"$3,500",uta,den,away, 111-104,NA,   ,0,0,0,0,0,0,0
"Iguodala, Andre",SG,0,"$4,200",gsw,orl,away, 96-103,NA,   ,0,0,0,0,0,0,0
"Smith, J.R.",SG,0,"$3,500",cle,nyk,away, 125-118,NA,   ,0,0,0,0,0,0,0
"Rubio, Ricky",PG,0,"$6,800",uta,den,away, 111-104,NA,   ,0,0,0,0,0,0,0
"Allen, Kadeem",PG,0,"$3,500",nyk,cle,home, 118-125,NA,   ,0,0,0,0,0,0,0
"Williams, C.J.",SG,0,"$3,500",min,ind,away, 115-122,NA,   ,0,0,0,0,0,0,0
"Smith, Zhaire",SG,0,"$3,500",phi,okc,away, 108-104,NA,   ,0,0,0,0,0,0,0
"Caupain, Troy",PG,0,"$3,500",orl,gsw,home, 103-96,NA,   ,0,0,0,0,0,0,0
"Barton, Will",SF,49.1,"$5,200",den,uta,home, 104-111,37:33,   21pt 13rb 3as 1st 2bl 1to 1trey 7-16fg 6-6ft,21,13,3,1,2,1,1
"Harris, Tobias",PF,47.5,"$7,500",phi,okc,away, 108-104,39:39,   32pt 5rb 3as 1st 1bl 1to 5trey 11-19fg 5-5ft,32,5,3,1,1,1,5
"Gordon, Aaron",PF,44.5,"$7,000",orl,gsw,home, 103-96,36:22,   22pt 15rb 3as 1bl 3to 2trey 9-15fg 2-2ft,22,15,3,0,1,3,2
"Osman, Cedi",SF,43.9,"$5,200",cle,nyk,away, 125-118,31:32,   21pt 7rb 5as 1st 2bl 2to 3trey 7-10fg 4-4ft,21,7,5,1,2,2,3
"Love, Kevin",PF,42.1,"$7,500",cle,nyk,away, 125-118,28:21,   26pt 8rb 3as 1bl 1to 3trey 6-12fg 11-11ft,26,8,3,0,1,1,3
"Ingles, Joe",SF,41.8,"$6,200",uta,den,away, 111-104,36:14,   15pt 4rb 10as 2st 1bl 2to 2trey 4-12fg 5-6ft,15,4,10,2,1,2,2
"Young, Thaddeus",PF,37.5,"$6,700",ind,min,home, 122-115,29:16,   15pt 5rb 5as 3st 3trey 5-9fg 2-4ft,15,5,5,3,0,0,3
"Winslow, Justise",SF,36.4,"$6,200",mia,hou,away, 118-121,31:06,   19pt 7rb 8as 3to 3trey 7-13fg 2-4ft,19,7,8,0,0,3,3
"Favors, Derrick",PF,35.7,"$6,400",uta,den,away, 111-104,29:32,   15pt 11rb 3as 1st 4-7fg 7-8ft,15,11,3,1,0,0,0
"Richardson, Josh",SF,33.8,"$6,400",mia,hou,away, 118-121,37:16,   18pt 4rb 2as 3st 1to 3trey 6-11fg 3-4ft,18,4,2,3,0,1,3
"Grant, Jerami",PF,33.2,"$5,800",okc,phi,home, 104-108,37:02,   23pt 6rb 1bl 2trey 10-17fg 1-2ft,23,6,0,0,1,0,2
"Gibson, Taj",PF,31.3,"$3,800",min,ind,away, 115-122,20:33,   12pt 9rb 1as 2st 1bl 2to 4-6fg 4-6ft,12,9,1,2,1,2,0
"Adebayo, Bam",PF,29.1,"$4,800",mia,hou,away, 118-121,29:06,   10pt 3rb 5as 1st 2bl 1to 3-6fg 4-4ft,10,3,5,1,2,1,0
"Olynyk, Kelly",PF,29,"$5,500",mia,hou,away, 118-121,32:56,   21pt 5rb 2as 1st 4to 3trey 9-14fg,21,5,2,1,0,4,3
"Vonleh, Noah",PF,29,"$3,900",nyk,cle,home, 118-125,22:11,   16pt 10rb 2as 2to 7-7fg 2-5ft,16,10,2,0,0,2,0
"Leaf, TJ",PF,27.6,"$3,500",ind,min,home, 122-115,21:32,   18pt 3rb 1st 1bl 1trey 7-12fg 3-3ft,18,3,0,1,1,0,1
"Millsap, Paul",PF,26,"$8,400",den,uta,home, 104-111,29:54,   15pt 5rb 1st 1bl 1to 2trey 6-12fg 1-4ft,15,5,0,1,1,1,2
"Morris, Markieff",PF,24.8,"$4,100",okc,phi,home, 104-108,19:14,   17pt 4rb 1st 1trey 7-12fg 2-2ft,17,4,0,1,0,0,1
"Clark, Gary",SF,24.5,"$3,500",hou,mia,home, 121-118,31:51,   14pt 5rb 1as 1bl 3trey 5-9fg 1-1ft,14,5,1,0,1,0,3
"Green, Draymond",PF,22.7,"$6,700",gsw,orl,away, 96-103,38:45,   5pt 6rb 3as 1st 1bl 1trey 2-4fg,5,6,3,1,1,0,1
"Ellenson, Henry",PF,22,"$4,500",nyk,cle,home, 118-125,26:50,   13pt 5rb 1st 3trey 4-10fg 2-2ft,13,5,0,1,0,0,3
"Redick, J.J.",SF,21.8,"$5,800",phi,okc,away, 108-104,34:17,   12pt 4rb 4as 1to 2trey 3-13fg 4-5ft,12,4,4,0,0,1,2
"Bolden, Jonah",PF,20.6,"$3,900",phi,okc,away, 108-104,19:43,   14pt 3rb 1st 2trey 6-7fg,14,3,0,1,0,0,2
"Scott, Mike",PF,20.1,"$4,500",phi,okc,away, 108-104,20:54,   9pt 3rb 1as 2bl 3trey 3-9fg,9,3,1,0,2,0,3
"Harris, Gary",SF,17.8,"$4,600",den,uta,home, 104-111,22:45,   8pt 4rb 4as 1to 3-10fg 2-2ft,8,4,4,0,0,1,0
"Saric, Dario",PF,17.6,"$4,400",min,ind,away, 115-122,21:06,   7pt 8rb 1bl 2to 1trey 3-5fg,7,8,0,0,1,2,1
"Knox, Kevin",SF,17.2,"$5,600",nyk,cle,home, 118-125,22:06,   8pt 6rb 2as 1to 3-12fg 2-4ft,8,6,2,0,0,1,0
"McKinnie, Alfonzo",SF,17.1,"$3,500",gsw,orl,away, 96-103,23:33,   4pt 3rb 3as 2st 1to 2-7fg,4,3,3,2,0,1,0
"Isaac, Jonathan",SF,16.8,"$6,000",orl,gsw,home, 103-96,26:05,   12pt 4rb 1bl 3to 6-8fg 0-1ft,12,4,0,0,1,3,0
"Sefolosha, Thabo",SF,16.4,"$3,500",uta,den,away, 111-104,11:50,   9pt 2rb 2st 1to 3trey 3-4fg,9,2,0,2,0,1,3
