Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Harden, James",SG,71.6,"$13,800",hou,pho,away, 118-110,38:28,   44pt 8rb 6as 3st 1bl 3to 5trey 15-26fg 9-11ft,44,8,6,3,1,3,5
"Holiday, Jrue",SG,46.7,"$9,100",nor,ind,home, 107-109,39:06,   19pt 11rb 9as 1st 1bl 5to 6-15fg 7-9ft,19,11,9,1,1,5,0
"Bledsoe, Eric",PG,44.1,"$7,300",mil,bkn,away, 113-94,26:50,   15pt 3rb 5as 5st 1bl 1trey 6-16fg 2-2ft,15,3,5,5,1,0,1
"Beal, Bradley",SG,41.2,"$9,300",was,atl,home, 129-137,35:51,   27pt 6rb 6as 2to 4trey 11-24fg 1-2ft,27,6,6,0,0,2,4
"Fox, De'Aaron",PG,41.2,"$7,600",sac,sas,home, 127-112,31:02,   20pt 6rb 6as 1st 1bl 1to 1trey 9-12fg 1-3ft,20,6,6,1,1,1,1
"DeRozan, DeMar",SG,39.8,"$7,800",sas,sac,away, 112-127,33:13,   24pt 4rb 4as 1st 1bl 1to 10-15fg 4-6ft,24,4,4,1,1,1,0
"Paul, Chris",PG,39,"$7,300",hou,pho,away, 118-110,33:08,   18pt 5rb 4as 5st 6to 2trey 5-10fg 6-7ft,18,5,4,5,0,6,2
"Collison, Darren",PG,38.8,"$6,500",ind,nor,away, 109-107,34:33,   22pt 4rb 6as 1st 3trey 9-14fg 1-2ft,22,4,6,1,0,0,3
"McRae, Jordan",SG,38.5,"$3,600",was,atl,home, 129-137,25:43,   20pt 5rb 1as 2st 2bl 1to 2trey 8-11fg 2-3ft,20,5,1,2,2,1,2
"Satoransky, Tomas",PG,37.9,"$6,500",was,atl,home, 129-137,28:41,   11pt 7rb 9as 1st 1bl 1to 1trey 3-4fg 4-6ft,11,7,9,1,1,1,1
"Booker, Devin",SG,34.9,"$9,000",pho,hou,home, 110-118,32:38,   19pt 7rb 5as 7-12fg 5-7ft,19,7,5,0,0,0,0
"Hield, Buddy",SG,34.1,"$6,600",sac,sas,home, 127-112,34:37,   18pt 8rb 5as 1to 3trey 5-12fg 5-6ft,18,8,5,0,0,1,3
"Huerter, Kevin",SG,33,"$5,000",atl,was,away, 137-129,32:09,   19pt 5rb 4as 1st 1to 5trey 6-10fg 2-2ft,19,5,4,1,0,1,5
"Shumpert, Iman",SG,31.2,"$4,100",sac,sas,home, 127-112,34:30,   13pt 6rb 6as 1bl 1to 3trey 5-8fg,13,6,6,0,1,1,3
"Napier, Shabazz",PG,30.8,"$5,800",bkn,mil,home, 94-113,28:26,   15pt 4rb 4as 2st 1to 4-15fg 7-7ft,15,4,4,2,0,1,0
"Brogdon, Malcolm",SG,30.1,"$6,000",mil,bkn,away, 113-94,25:56,   16pt 8rb 1as 1st 2trey 7-16fg,16,8,1,1,0,0,2
"Young, Trae",PG,28.8,"$7,600",atl,was,away, 137-129,26:53,   10pt 4rb 10as 1to 1trey 2-13fg 5-6ft,10,4,10,0,0,1,1
"Russell, D'Angelo",SG,28.7,"$8,500",bkn,mil,home, 94-113,28:34,   18pt 1rb 5as 1st 1to 2trey 7-20fg 2-2ft,18,1,5,1,0,1,2
"Middleton, Khris",SG,28.6,"$6,800",mil,bkn,away, 113-94,24:41,   12pt 8rb 4as 1bl 2to 4-12fg 4-4ft,12,8,4,0,1,2,0
"Bullock, Reggie",SG,26.8,"$4,700",det,den,home, 129-103,26:08,   11pt 4rb 4as 2st 1to 3trey 4-9fg,11,4,4,2,0,1,3
"Morris, Monte",SG,24.9,"$5,800",den,det,away, 103-129,34:29,   18pt 2rb 3as 2trey 8-13fg,18,2,3,0,0,0,2
"Galloway, Langston",SG,24.7,"$3,500",det,den,home, 129-103,24:45,   18pt 1rb 1as 2st 2to 3trey 6-13fg 3-3ft,18,1,1,2,0,2,3
"Bazemore, Kent",SG,24.1,"$4,200",atl,was,away, 137-129,16:15,   11pt 3rb 1as 2st 1bl 1to 1trey 4-7fg 2-3ft,11,3,1,2,1,1,1
"Beasley, Malik",SG,24.1,"$4,900",den,det,away, 103-129,30:34,   16pt 3rb 1as 1st 3trey 6-13fg 1-1ft,16,3,1,1,0,0,3
"Crawford, Jamal",SG,23.3,"$3,700",pho,hou,home, 110-118,30:21,   8pt 4rb 9as 3to 2trey 3-7fg,8,4,9,0,0,3,2
"Kennard, Luke",SG,22.8,"$3,600",det,den,home, 129-103,23:34,   14pt 4rb 4as 2to 2trey 5-9fg 2-2ft,14,4,4,0,0,2,2
