Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Harden, James",SG,54.7,"$13,600",hou,den,away, 122-136,37:12,   30pt 6rb 9as 2st 1bl 5to 7trey 9-21fg 5-9ft,30,6,9,2,1,5,7
"Westbrook, Russell",PG,51.4,"$11,600",okc,mia,away, 118-102,31:55,   14pt 12rb 14as 1st 1bl 4to 6-10fg 2-5ft,14,12,14,1,1,4,0
"Young, Trae",PG,46.1,"$7,300",atl,uta,away, 112-128,37:11,   28pt 3rb 9as 1st 2to 5trey 9-20fg 5-7ft,28,3,9,1,0,2,5
"Irving, Kyrie",PG,46,"$10,500",bos,nyk,away, 113-99,35:35,   23pt 10rb 6as 2st 4to 2trey 9-20fg 3-3ft,23,10,6,2,0,4,2
"Beasley, Malik",SG,42.9,"$4,500",den,hou,home, 136-122,41:26,   35pt 2rb 3as 1st 2to 5trey 12-17fg 6-7ft,35,2,3,1,0,2,5
"Morris, Monte",SG,42.2,"$4,500",den,hou,home, 136-122,36:53,   18pt 6rb 8as 2st 1to 3trey 7-11fg 1-2ft,18,6,8,2,0,1,3
"Rubio, Ricky",PG,41.9,"$6,300",uta,atl,home, 128-112,35:17,   22pt 2rb 11as 1st 2to 2trey 6-11fg 8-10ft,22,2,11,1,0,2,2
"Mack, Shelvin",PG,37.7,"$3,500",mem,cha,away, 92-100,35:52,   19pt 1rb 9as 2st 2to 3trey 8-15fg,19,1,9,2,0,2,3
"Craig, Torrey",SG,35.8,"$3,600",den,hou,home, 136-122,34:18,   22pt 4rb 2as 1st 1bl 2trey 8-11fg 4-4ft,22,4,2,1,1,0,2
"Paul, Chris",PG,31.6,"$7,300",hou,den,away, 122-136,29:14,   20pt 3rb 6as 1to 3trey 8-13fg 1-1ft,20,3,6,0,0,1,3
"Schroder, Dennis",SG,29.4,"$5,000",okc,mia,away, 118-102,29:22,   28pt 2rb 1to 4trey 11-13fg 2-2ft,28,2,0,0,0,1,4
"Dotson, Damyean",SG,27.2,"$3,600",nyk,bos,home, 99-113,37:40,   22pt 6rb 2to 4trey 9-16fg,22,6,0,0,0,2,4
"Carter, Jevon",PG,26.9,"$3,500",mem,cha,away, 92-100,34:19,   8pt 2rb 3as 3st 1bl 2trey 3-11fg,8,2,3,3,1,0,2
"Huerter, Kevin",SG,26.9,"$4,700",atl,uta,away, 112-128,28:59,   14pt 2rb 7as 4trey 5-10fg,14,2,7,0,0,0,4
"Monk, Malik",SG,26.6,"$4,100",cha,mem,home, 100-92,25:38,   20pt 3rb 1bl 4trey 6-15fg 4-4ft,20,3,0,0,1,0,4
"Walker, Kemba",PG,26.6,"$8,600",cha,mem,home, 100-92,37:14,   23pt 3rb 4as 6to 4trey 7-17fg 5-6ft,23,3,4,0,0,6,4
"Mitchell, Donovan",SG,26.1,"$8,800",uta,atl,home, 128-112,32:54,   15pt 3rb 5as 1st 3to 7-18fg 1-1ft,15,3,5,1,0,3,0
"Brown, Jaylen",SG,25.9,"$5,500",bos,nyk,away, 113-99,21:13,   11pt 2rb 1as 4st 1to 5-12fg 1-1ft,11,2,1,4,0,1,0
"Korver, Kyle",SG,24.7,"$3,500",uta,atl,home, 128-112,24:30,   14pt 6rb 3as 1to 2trey 6-11fg,14,6,3,0,0,1,2
"Rozier, Terry",PG,24.6,"$7,600",bos,nyk,away, 113-99,24:45,   6pt 3rb 6as 1st 1bl 2trey 2-9fg,6,3,6,1,1,0,2
"Parker, Tony",PG,23.7,"$3,800",cha,mem,home, 100-92,21:37,   15pt 1rb 7as 3to 6-9fg 3-3ft,15,1,7,0,0,3,0
"Wade, Dwyane",SG,23.2,"$5,300",mia,okc,home, 102-118,22:35,   7pt 1rb 6as 3st 3to 2-8fg 3-4ft,7,1,6,3,0,3,0
"Gordon, Eric",SG,22.9,"$5,300",hou,den,away, 122-136,25:09,   17pt 2rb 3as 1to 2trey 6-9fg 3-3ft,17,2,3,0,0,1,2
"Holiday, Justin",SG,21.3,"$4,300",mem,cha,away, 92-100,34:58,   15pt 4rb 1as 1st 3to 2trey 6-13fg 1-1ft,15,4,1,1,0,3,2
"Allen, Kadeem",PG,19.3,"$3,500",nyk,bos,home, 99-113,35:20,   9pt 4rb 5as 2to 1trey 2-7fg 4-4ft,9,4,5,0,0,2,1
"Bazemore, Kent",SG,18.7,"$5,000",atl,uta,away, 112-128,17:29,   8pt 6rb 1as 1st 1to 3-11fg 2-2ft,8,6,1,1,0,1,0
"Lamb, Jeremy",SG,15.6,"$5,700",cha,mem,home, 100-92,13:48,   6pt 3rb 2st 2-7fg 2-2ft,6,3,0,2,0,0,0
"Trier, Allonzo",SG,15.4,"$4,000",nyk,bos,home, 99-113,25:47,   7pt 2rb 4as 1bl 3to 1trey 3-4fg,7,2,4,0,1,3,1
"Waiters, Dion",SG,14.8,"$3,900",mia,okc,home, 102-118,26:29,   5pt 4rb 2as 1st 1to 1trey 2-10fg,5,4,2,1,0,1,1
"Smart, Marcus",SG,11.4,"$5,300",bos,nyk,away, 113-99,28:31,   3pt 2rb 2as 1st 1trey 1-3fg,3,2,2,1,0,0,1
"Johnson, Tyler",PG,10.7,"$5,300",mia,okc,home, 102-118,21:31,   6pt 1rb 3as 1to 3-7fg,6,1,3,0,0,1,0
"Lin, Jeremy",PG,9.2,"$3,900",atl,uta,away, 112-128,10:49,   5pt 1rb 1st 1-3fg 3-3ft,5,1,0,1,0,0,0
"Rivers, Austin",SG,8.5,"$3,800",hou,den,away, 122-136,24:41,   7pt 1as 1trey 3-7fg,7,0,1,0,0,0,1
