Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Holiday, Jrue",SG,53.3,"$9,400",nor,min,home, 122-117,36:07,   27pt 4rb 9as 3st 1bl 4to 1trey 8-21fg 10-10ft,27,4,9,3,1,4,1
"Beal, Bradley",SG,51.7,"$9,400",was,cle,home, 119-106,37:20,   25pt 6rb 13as 2st 6to 2trey 9-20fg 5-5ft,25,6,13,2,0,6,2
"Wiggins, Andrew",SG,49.5,"$6,000",min,nor,away, 117-122,35:27,   23pt 10rb 7as 2bl 2to 1trey 10-17fg 2-3ft,23,10,7,0,2,2,1
"Smith Jr., Dennis",PG,47.4,"$6,600",nyk,det,away, 103-120,34:50,   31pt 2rb 8as 2st 4to 2trey 9-15fg 11-19ft,31,2,8,2,0,4,2
"Butler, Jimmy",SG,46.9,"$8,200",phi,den,home, 117-110,35:42,   22pt 7rb 5as 3st 4-9fg 14-14ft,22,7,5,3,0,0,0
"Thompson, Klay",SG,45.2,"$7,000",gsw,pho,away, 117-107,36:09,   25pt 6rb 2as 1st 3bl 2to 4trey 9-17fg 3-4ft,25,6,2,1,3,2,4
"Curry, Stephen",PG,42.9,"$9,200",gsw,pho,away, 117-107,35:33,   20pt 7rb 7as 1st 1bl 2to 3trey 6-17fg 5-6ft,20,7,7,1,1,2,3
"LaVine, Zach",SG,42.1,"$7,800",chi,bkn,away, 125-106,37:24,   26pt 3rb 5as 2st 1to 1trey 10-17fg 5-7ft,26,3,5,2,0,1,1
"Frazier, Tim",PG,40.8,"$4,100",nor,min,home, 122-117,31:50,   12pt 9rb 8as 2st 2trey 5-8fg,12,9,8,2,0,0,2
"Murray, Jamal",PG,40,"$6,700",den,phi,away, 110-117,35:41,   23pt 5rb 6as 1bl 1to 2trey 9-20fg 3-3ft,23,5,6,0,1,1,2
"Hield, Buddy",SG,36.9,"$6,500",sac,mia,home, 102-96,34:10,   23pt 7rb 1as 2bl 2to 4trey 8-16fg 3-4ft,23,7,1,0,2,2,4
"Clarkson, Jordan",SG,36.7,"$5,800",cle,was,away, 106-119,31:41,   24pt 6rb 3as 1st 2to 2trey 6-18fg 10-11ft,24,6,3,1,0,2,2
"Russell, D'Angelo",SG,36.2,"$8,800",bkn,chi,home, 106-125,32:24,   23pt 1rb 6as 2st 3to 1trey 8-21fg 6-6ft,23,1,6,2,0,3,1
"Sexton, Collin",PG,34.6,"$5,000",cle,was,away, 106-119,37:39,   27pt 3rb 4as 2to 3trey 10-18fg 4-4ft,27,3,4,0,0,2,3
"Burke, Trey",PG,34.5,"$5,000",dal,mil,home, 107-122,26:38,   18pt 5rb 5as 2st 3to 3trey 5-9fg 5-6ft,18,5,5,2,0,3,3
"LeVert, Caris",SG,34.4,"$4,500",bkn,chi,home, 106-125,14:56,   11pt 2rb 4as 5st 5-11fg 1-2ft,11,2,4,5,0,0,0
"Dunn, Kris",PG,33.5,"$7,100",chi,bkn,away, 125-106,30:22,   14pt 5rb 9as 1bl 3to 1trey 5-11fg 3-4ft,14,5,9,0,1,3,1
"Nwaba, David",SG,32.6,"$4,300",cle,was,away, 106-119,29:08,   17pt 8rb 2as 2st 3to 2trey 6-11fg 3-4ft,17,8,2,2,0,3,2
"Bogdanovic, Bogdan",SG,32,"$5,700",sac,mia,home, 102-96,34:00,   16pt 5rb 4as 2st 2to 2trey 6-14fg 2-4ft,16,5,4,2,0,2,2
"Brogdon, Malcolm",SG,31.7,"$6,300",mil,dal,away, 122-107,26:10,   18pt 6rb 3as 1st 1to 9-14fg,18,6,3,1,0,1,0
"Jackson, Reggie",PG,30.4,"$6,800",det,nyk,home, 120-103,26:46,   20pt 2rb 6as 1to 4trey 8-14fg,20,2,6,0,0,1,4
"Bledsoe, Eric",PG,30.1,"$7,800",mil,dal,away, 122-107,27:27,   18pt 3rb 5as 1bl 2to 4trey 7-13fg,18,3,5,0,1,2,4
