Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Knight, Brandon",PG,14.2,"$3,500",cle,bkn,home, 139-148,15:28,   6pt 1rb 4as 1st 2to 3-8fg,6,1,4,1,0,2,0
"Holiday, Justin",SG,12,"$5,000",mem,chi,away, 110-122,21:32,   3pt 2as 2st 1-4fg 1-1ft,3,0,2,2,0,0,0
"Lee, Damion",SG,10.8,"$3,500",gsw,por,away, 107-129,13:13,   6pt 4rb 1trey 2-8fg 1-2ft,6,4,0,0,0,0,1
"Smith, Ishmael",PG,10.3,"$3,600",det,bos,away, 110-118,18:58,   2pt 4rb 3as 1to 1-3fg,2,4,3,0,0,1,0
"Stauskas, Nik",SG,10,"$3,500",cle,bkn,home, 139-148,23:25,   7pt 1st 1trey 2-4fg 2-2ft,7,0,0,1,0,0,1
"Harrison, Shaquille",PG,9.8,"$4,000",chi,mem,home, 122-110,16:07,   6pt 4rb 1to 3-4fg,6,4,0,0,0,1,0
"Wanamaker, Brad",PG,9.4,"$3,500",bos,det,home, 118-110,13:38,   5pt 2rb 2as 1to 1trey 2-2fg,5,2,2,0,0,1,1
"Daniels, Troy",SG,9.2,"$3,500",pho,lac,away, 107-134,13:06,   8pt 1rb 4-8fg 0-1ft,8,1,0,0,0,0,0
"Thomas, Isaiah",PG,9,"$3,500",den,sac,home, 120-118,13:07,   8pt 2as 2to 2trey 3-6fg,8,0,2,0,0,2,2
"Randle, Chasson",SG,8.4,"$3,500",was,tor,away, 120-129,14:52,   2pt 2rb 2as 1st 2to 0-4fg 2-4ft,2,2,2,1,0,2,0
"Selden, Wayne",SG,7.6,"$3,500",chi,mem,home, 122-110,20:26,   6pt 3rb 2to 1trey 2-7fg 1-2ft,6,3,0,0,0,2,1
"Craig, Torrey",SG,7.4,"$3,500",den,sac,home, 120-118,13:03,   2pt 2rb 1st 1-4fg,2,2,0,1,0,0,0
"Snell, Tony",SG,7,"$3,500",mil,ind,away, 106-97,16:33,   4pt 1bl 2-5fg,4,0,0,0,1,0,0
"Burke, Trey",PG,6.5,"$4,300",dal,mia,home, 101-112,5:48,   0pt 1as 2st 1to 0-3fg,0,0,1,2,0,1,0
"Robinson, Jerome",PG,5.9,"$3,500",lac,pho,home, 134-107,4:19,   2pt 2rb 1as 1-1fg,2,2,1,0,0,0,0
"Bledsoe, Eric",PG,5.9,"$7,100",mil,ind,away, 106-97,20:43,   4pt 2rb 1as 2to 1-4fg 2-4ft,4,2,1,0,0,2,0
"Shumpert, Iman",SG,5.7,"$3,900",hou,min,away, 111-121,20:42,   3pt 1rb 1as 1trey 1-4fg,3,1,1,0,0,0,1
"Brown, Sterling",SG,5.4,"$3,500",mil,ind,away, 106-97,14:51,   1pt 2rb 1st 1to 1-2ft,1,2,0,1,0,1,0
"Lee, Courtney",SG,5,"$3,500",dal,mia,home, 101-112,5:52,   2pt 1st 1-1fg,2,0,0,1,0,0,0
"Brown, Bruce",SG,4.7,"$3,500",det,bos,away, 110-118,12:43,   3pt 1rb 1as 1to 1trey 1-3fg,3,1,1,0,0,1,1
"Okobo, Elie",PG,4.5,"$3,500",pho,lac,away, 107-134,15:19,   4pt 1as 1to 1trey 1-2fg 1-2ft,4,0,1,0,0,1,1
"Canaan, Isaiah",PG,4.2,"$3,500",min,hou,home, 121-111,5:50,   3pt 1rb 1trey 1-1fg,3,1,0,0,0,0,1
"Luwawu, Timothe",SG,2,"$3,500",chi,mem,home, 122-110,17:00,   2pt 0-4fg 2-2ft,2,0,0,0,0,0,0
"Thornwell, Sindarius",SG,0.4,"$4,000",lac,pho,home, 134-107,12:24,   0pt 2rb 2to 0-1fg,0,2,0,0,0,2,0
"Simons, Anfernee",SG,0,"$3,500",por,gsw,home, 129-107,00:49,   0pt 0-1fg,0,0,0,0,0,0,0
