Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Westbrook, Russell",1,54.5,11800,okc,pho,away, 100-114,33:43,26,10,11,2,0,6,1,11,21,3,7
"McCollum, C.J.",2,47.5,7300,por,sas,home, 111-110,38:17,25,5,7,2,0,0,1,11,24,2,3
"Ginobili, Manu",2,40.8,3700,sas,por,away, 110-111,27:14,26,4,2,1,2,2,6,9,16,2,3
"Napier, Shabazz",1,37.5,3800,por,sas,home, 111-110,33:17,15,5,7,2,1,3,1,7,9,0,0
"Schroder, Dennis",1,36.1,7400,atl,lal,away, 113-132,32:40,27,3,5,0,0,2,0,10,23,7,8
"Mitchell, Donovan",2,35.9,7200,uta,mia,away, 102-103,36:28,27,2,3,1,0,1,3,12,25,0,0
"Ball, Lonzo",1,35,7800,lal,atl,home, 132-113,29:42,13,10,6,1,0,2,3,5,13,0,0
"Booker, Devin",2,30.4,7500,pho,okc,home, 114-100,30:32,26,2,4,0,0,4,5,6,17,9,12
"Ntilikina, Frank",1,29.9,4600,nyk,dal,away, 100-96,25:12,7,7,5,1,2,2,1,3,8,0,0
"Dragic, Goran",1,28.6,6800,mia,uta,home, 103-102,33:39,16,3,6,1,0,3,1,6,18,3,3
"Smith Jr., Dennis",1,28.1,5900,dal,nyk,home, 96-100,24:33,11,3,5,2,0,0,1,5,14,0,0
"Jack, Jarrett",1,27.6,4400,nyk,dal,away, 100-96,25:01,12,3,8,0,1,3,0,5,8,2,2
"Harris, Devin",2,27,3500,dal,nyk,home, 96-100,22:43,11,5,6,1,0,2,2,4,9,1,1
"Clarkson, Jordan",1,26.4,4600,lal,atl,home, 132-113,23:39,18,2,2,1,0,0,3,7,10,1,1
"Matthews, Wes",2,25.7,5200,dal,nyk,home, 96-100,33:49,14,1,1,2,1,0,0,4,10,6,8
"Hood, Rodney",2,24.8,5400,uta,mia,away, 102-103,29:48,17,4,2,0,0,0,1,7,16,2,3
"Hart, Josh",2,24.5,3700,lal,atl,home, 132-113,19:31,12,5,3,1,0,1,2,4,7,2,2
"Ulis, Tyler",1,23.5,3900,pho,okc,home, 114-100,31:58,7,0,5,2,1,0,1,3,8,0,0
