Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"LeVert, Caris",-1,39.3,N/A,bkn,lal,home, 91-77,22:46,22,4,5,3,0,4,3,8,11,3,4
"Kaminsky, Frank",-1,37.2,N/A,pho,por,away, 134-118,29:09,16,6,8,1,0,1,4,5,13,2,2
"Collins, Zach",-1,36.9,N/A,por,pho,home, 118-134,24:23,16,7,5,0,2,1,0,5,11,6,7
"McCollum, C.J.",-1,35.1,N/A,por,pho,home, 118-134,30:31,27,3,3,1,1,6,4,10,17,3,6
"Saric, Dario",-1,29.6,N/A,pho,por,away, 134-118,22:46,13,8,2,2,0,2,3,5,8,0,0
"Oubre, Kelly",-1,28.1,N/A,pho,por,away, 134-118,18:22,19,3,1,1,1,2,3,5,11,6,6
"Jordan, DeAndre",-1,26.7,N/A,bkn,lal,home, 91-77,19:03,4,11,3,2,0,1,0,1,2,2,4
"Jerome, Ty",-1,26.3,N/A,pho,por,away, 134-118,21:38,8,4,5,0,2,0,1,3,8,1,2
"Bridges, Mikal",-1,23.4,N/A,pho,por,away, 134-118,24:08,13,2,0,3,0,1,2,5,7,1,2
"Bradley, Avery",-1,22.8,N/A,lal,bkn,away, 77-91,30:21,14,4,2,1,0,2,0,6,13,2,2
"Labissiere, Skal",-1,22.6,N/A,por,pho,home, 118-134,21:26,2,8,2,1,2,1,0,1,4,0,0
"Prince, Taurean",-1,21.8,N/A,bkn,lal,home, 91-77,21:23,14,4,2,1,0,3,4,5,9,0,0
"Johnson, Tyler",-1,21.6,N/A,pho,por,away, 134-118,22:49,18,3,2,0,0,3,4,6,9,2,2
"Lillard, Damian",-1,21.4,N/A,por,pho,home, 118-134,29:32,18,2,4,0,0,5,2,5,10,6,7
"Baynes, Aron",-1,21.3,N/A,pho,por,away, 134-118,21:21,14,4,3,0,0,2,2,5,9,2,2
"Johnson, Cameron",-1,20.9,N/A,pho,por,away, 134-118,26:58,18,2,1,0,0,1,4,6,9,2,2
"Caldwell-Pope, Kentavious",-1,20.7,N/A,lal,bkn,away, 77-91,25:14,11,6,1,1,0,2,1,5,12,0,1
"Whiteside, Hassan",-1,20.7,N/A,por,pho,home, 118-134,22:59,12,6,1,1,1,6,0,5,5,2,2
"Hezonja, Mario",-1,20.7,N/A,por,pho,home, 118-134,20:08,6,6,5,0,0,0,0,3,7,0,1
"Cacok, Devontae",-1,19,N/A,lal,bkn,away, 77-91,22:38,7,5,0,2,0,0,0,3,5,1,2
"Davis, Anthony",-1,18.6,N/A,lal,bkn,away, 77-91,12:00,6,3,0,1,2,0,1,2,7,1,1
"Simons, Anfernee",-1,18.1,N/A,por,pho,home, 118-134,25:32,13,3,1,0,0,0,3,5,11,0,0
"McGee, JaVale",-1,17.6,N/A,lal,bkn,away, 77-91,13:47,9,3,0,0,2,1,0,4,6,1,2
"Claxton, Nicolas",-1,17.6,N/A,bkn,lal,home, 91-77,8:53,8,3,2,0,1,0,1,3,4,1,1
"Diallo, Cheick",-1,17.5,N/A,pho,por,away, 134-118,14:29,7,5,1,1,0,0,0,2,6,3,4
"James, LeBron",-1,16.6,N/A,lal,bkn,away, 77-91,12:00,6,3,4,1,0,2,0,2,7,2,2
"Harris, Joe",-1,16.5,N/A,bkn,lal,home, 91-77,22:45,4,5,3,1,0,1,1,1,6,1,2
"Carter, Jevon",-1,16.2,N/A,pho,por,away, 134-118,24:13,3,1,6,2,0,3,1,1,5,0,0
"Caruso, Alex",-1,15.1,N/A,lal,bkn,away, 77-91,30:06,4,3,5,0,1,3,1,1,13,1,1
"Temple, Garrett",-1,14.7,N/A,bkn,lal,home, 91-77,19:55,7,1,1,1,1,1,1,2,5,2,2
"Dinwiddie, Spencer",-1,14.4,N/A,bkn,lal,home, 91-77,23:05,4,2,4,1,0,1,0,1,5,2,2
"Allen, Jarrett",-1,14.1,N/A,bkn,lal,home, 91-77,20:04,8,3,1,0,1,2,0,4,8,0,0
"Antetokounmpo, Kostas",-1,13.2,N/A,lal,bkn,away, 77-91,10:49,9,1,0,1,0,0,1,3,7,2,3
"Tolliver, Anthony",-1,13.1,N/A,por,pho,home, 118-134,18:05,2,3,3,1,0,0,0,0,1,2,2
"Bazemore, Kent",-1,12.9,N/A,por,pho,home, 118-134,21:19,8,2,1,1,0,2,2,3,4,0,2
"Jackson, Demetrius",-1,12.2,N/A,lal,bkn,away, 77-91,11:23,3,1,2,2,0,1,0,1,3,1,1
"Pinson, Theo",-1,12.2,N/A,bkn,lal,home, 91-77,18:04,7,1,4,0,0,2,0,3,10,1,1
"Howard, Dwight",-1,12.2,N/A,lal,bkn,away, 77-91,15:43,3,6,0,1,1,4,0,1,2,1,4
"Musa, Dzanan",-1,11.4,N/A,bkn,lal,home, 91-77,15:47,7,2,0,1,0,1,1,3,7,0,0
"Green, Danny",-1,10.4,N/A,lal,bkn,away, 77-91,16:31,2,2,0,2,0,0,0,1,4,0,0
"Norvell Jr., Zach",-1,9.2,N/A,lal,bkn,away, 77-91,23:09,3,1,0,2,0,1,1,1,8,0,0
"Trent Jr., Gary",-1,7,N/A,por,pho,home, 118-134,13:40,8,0,0,0,0,1,0,4,6,0,0
"Nwaba, David",-1,4.4,N/A,bkn,lal,home, 91-77,17:10,3,2,0,1,0,4,1,1,1,0,0
"Hoard, Jaylen",-1,4,N/A,por,pho,home, 118-134,2:29,1,0,0,1,0,0,0,0,1,1,2
"Kurucs, Rodions",-1,3.8,N/A,bkn,lal,home, 91-77,21:02,3,4,0,0,0,4,1,1,3,0,0
"Lecque, Jalen",-1,3.2,N/A,pho,por,away, 134-118,2:09,3,1,0,0,0,1,0,1,1,1,1
"Blevins, Keljin",-1,3,N/A,por,pho,home, 118-134,2:29,3,0,0,0,0,0,0,1,1,1,1
"Owens, Tariq",-1,2.4,N/A,pho,por,away, 134-118,2:29,0,2,0,0,0,0,0,0,1,0,0
"Brown, Moses",-1,2.2,N/A,por,pho,home, 118-134,2:29,1,1,0,0,0,0,0,0,0,1,4
"Harper, Jared",-1,2,N/A,pho,por,away, 134-118,2:09,2,0,0,0,0,0,0,0,0,2,2
"Perrantes, London",-1,1.5,N/A,por,pho,home, 118-134,2:29,0,0,1,0,0,0,0,0,0,0,0
"Adel, Deng",-1,1.2,N/A,bkn,lal,home, 91-77,2:14,0,1,0,0,0,0,0,0,1,0,0
"Caupain, Troy",-1,1,N/A,por,pho,home, 118-134,2:29,1,0,0,0,0,0,0,0,1,1,2
"Okobo, Elie",-1,0.4,N/A,pho,por,away, 134-118,5:25,0,2,0,0,0,2,0,0,0,0,0
"Rondo, Rajon",-1,0.2,N/A,lal,bkn,away, 77-91,16:19,0,1,0,1,0,4,0,0,2,0,0
"Ellenson, Henry",-1,-0.8,N/A,bkn,lal,home, 91-77,5:35,0,1,0,0,0,2,0,0,0,0,2
