Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Young, Trae",1,61.9,9000,atl,orl,home, 103-99,35:59,39,7,9,2,0,5,5,16,25,2,4
"Westbrook, Russell",1,58.5,10200,hou,nor,home, 126-123,33:35,28,10,13,1,0,4,1,9,17,9,10
"Brogdon, Malcolm",1,52.4,6900,ind,cle,away, 99-110,34:33,30,2,10,1,1,1,4,12,18,2,2
"Walker, Kemba",1,50,8200,bos,nyk,away, 118-95,30:21,32,5,4,2,0,0,7,11,17,3,4
"Simmons, Ben",1,48.8,9600,phi,det,away, 117-111,35:14,13,4,10,7,0,5,0,5,13,3,7
"Rose, Derrick",2,48.1,5700,det,phi,home, 111-117,26:44,31,3,3,3,2,6,1,14,21,2,2
"Beal, Bradley",2,47.5,9500,was,sas,away, 122-124,38:26,25,5,11,0,1,3,3,8,25,6,7
"Booker, Devin",2,45.2,9100,pho,lac,home, 130-122,38:27,30,6,8,0,0,4,3,10,20,7,8
"Dragic, Goran",1,45.2,5700,mia,mil,away, 131-126,34:31,25,6,8,1,0,2,2,7,16,9,15
"Murray, Dejounte",1,45,6500,sas,was,home, 124-122,23:02,19,10,4,2,1,1,0,8,15,3,3
"Ball, Lonzo",1,44.4,6700,nor,hou,away, 123-126,35:39,18,2,10,3,0,0,4,6,13,2,2
"DeRozan, DeMar",2,43.3,7900,sas,was,home, 124-122,36:24,26,4,3,2,1,1,0,11,24,4,4
"Nunn, Kendrick",1,38.3,4300,mia,mil,away, 131-126,28:31,18,4,5,2,1,1,2,8,17,0,0
"Harden, James",2,36.3,11500,hou,nor,home, 126-123,36:05,29,4,5,1,0,8,2,8,29,11,12
"Hart, Josh",2,36.1,4200,nor,hou,away, 123-126,33:41,23,3,1,2,1,1,5,8,17,2,2
"Lowry, Kyle",1,35.4,7600,tor,chi,away, 108-84,34:25,11,7,8,1,1,2,3,4,11,0,0
"Middleton, Khris",2,35.3,7600,mil,mia,home, 126-131,37:23,25,4,3,1,0,2,4,7,16,7,9
"Barrett, RJ",2,33.9,6500,nyk,bos,home, 95-118,36:34,26,7,3,0,0,5,4,9,20,4,7
"Smart, Marcus",2,33.2,5000,bos,nyk,away, 118-95,27:33,12,6,4,1,2,1,3,3,9,3,3
"Smith, Ishmael",1,33,5400,was,sas,away, 122-124,29:22,19,5,4,1,0,1,2,8,13,1,2
"Brown, Jaylen",2,30.8,5500,bos,nyk,away, 118-95,27:06,19,4,2,1,1,2,1,6,14,6,8
"Fournier, Evan",2,30.6,5600,orl,atl,away, 99-103,29:42,23,3,2,1,0,2,1,8,18,6,7
"VanVleet, Fred",2,29.8,6600,tor,chi,away, 108-84,30:35,16,4,6,1,0,3,3,5,14,3,3
"Payton, Elfrid",1,28.3,5700,nyk,bos,home, 95-118,30:46,8,4,5,4,0,4,2,2,7,2,2
"Sexton, Collin",1,26.5,5900,cle,ind,home, 110-99,30:23,18,5,3,0,0,2,2,6,14,4,6
"Carter, Jevon",1,25.6,3600,pho,lac,home, 130-122,32:46,8,3,6,3,0,4,2,3,7,0,0
"Conley, Mike",1,25.6,7700,uta,sac,home, 113-81,24:12,12,3,8,0,0,2,2,5,11,0,0
"Thomas, Isaiah",1,25.1,4900,was,sas,away, 122-124,19:37,16,3,5,0,0,2,4,6,14,0,0
"Beverley, Patrick",1,24.9,5100,lac,pho,away, 122-130,29:49,11,7,1,2,0,2,1,4,8,2,4
"Mitchell, Donovan",2,24.2,8500,uta,sac,home, 113-81,25:35,15,1,4,1,0,1,3,6,9,0,0
"Powell, Norman",2,23.7,4500,tor,chi,away, 108-84,27:34,7,6,3,3,0,4,1,3,9,0,0
"Williams, Louis",2,23.4,6900,lac,pho,away, 122-130,28:32,23,2,2,0,0,5,3,7,17,6,9
"Richardson, Josh",2,23.2,6100,phi,det,away, 117-111,37:03,10,1,6,2,0,3,0,4,12,2,2
"Clarkson, Jordan",2,22.9,4900,cle,ind,home, 110-99,17:37,15,2,1,2,0,2,2,5,8,3,4
"Forbes, Bryn",1,22.3,4000,sas,was,home, 124-122,32:02,16,4,3,0,0,3,4,6,14,0,0
"Carter-Williams, Michael",1,22.3,3500,orl,atl,away, 99-103,16:41,5,4,1,3,1,1,1,2,6,0,0
"Edwards, Carsen",1,21.7,3500,bos,nyk,away, 118-95,22:19,10,1,3,2,0,0,1,3,11,3,4
"Augustin, D.J.",1,21.4,4800,orl,atl,away, 99-103,23:41,14,2,4,0,0,1,0,5,11,4,4
"Bledsoe, Eric",1,21.4,6900,mil,mia,home, 126-131,33:14,10,7,2,1,0,3,0,3,8,4,6
"Huerter, Kevin",2,20.4,4600,atl,orl,home, 103-99,20:42,10,2,4,0,1,1,2,3,7,2,2
"Fultz, Markelle",1,20.1,4900,orl,atl,away, 99-103,24:19,12,3,3,0,0,0,2,4,11,2,2
"Matthews, Wes",2,19.7,4000,mil,mia,home, 126-131,30:07,14,1,1,1,0,0,4,5,9,0,0
"White, Coby",1,19.7,4700,chi,tor,home, 84-108,22:12,8,6,1,2,0,3,0,3,14,2,2
"Snell, Tony",2,19.2,3700,det,phi,home, 111-117,24:57,3,1,6,2,0,0,1,1,4,0,0
