Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Bjelica, Nemanja",3,16,4400,min,mem,home, 113-94,19:54,2,5,2,0,2,1,0,1,3,0,0
"Acy, Quincy",4,15.8,4100,bkn,chi,home, 114-105,19:42,5,4,0,2,0,0,1,2,4,0,0
"Patterson, Patrick",4,15.4,3500,okc,mia,away, 115-93,11:09,7,2,2,1,0,0,2,2,3,1,1
"Johnson, James",4,15,6400,mia,okc,home, 93-115,21:52,11,5,0,0,0,2,0,5,7,1,2
"Kornet, Luke",4,14.9,3600,nyk,cle,home, 109-123,19:10,6,2,1,0,2,1,1,2,6,1,3
"Carter, Vince",3,14.3,3500,sac,sas,away, 85-98,17:11,3,4,3,1,0,1,1,1,2,0,0
"Turner, Evan",3,14.3,4300,por,den,away, 82-88,37:47,4,4,1,1,1,2,0,2,9,0,0
"Miles, C.J.",3,14.1,3500,tor,det,away, 108-98,18:23,7,3,3,0,0,1,1,3,10,0,0
"Sampson, JaKarr",3,13.4,4000,sac,sas,away, 85-98,19:37,6,7,0,0,0,1,0,3,5,0,0
"Olynyk, Kelly",4,12.7,6200,mia,okc,home, 93-115,12:19,5,6,1,0,0,1,1,2,6,0,0
"Johnson, Stanley",3,12.2,5200,det,tor,home, 98-108,28:26,5,1,2,1,0,0,0,2,10,1,2
"Miller, Darius",3,10.2,3500,nor,lac,away, 113-100,20:11,6,1,0,0,1,0,1,2,6,1,2
"Johnson, Wesley",3,10.1,3900,lac,nor,home, 100-113,22:32,6,3,1,0,0,1,0,3,8,0,0
"Gibson, Taj",4,9.8,5900,min,mem,home, 113-94,8:20,4,4,0,0,1,2,0,2,4,0,0
"Johnson, Omari",4,9.6,3500,mem,min,away, 94-113,17:42,4,3,2,0,0,1,0,2,4,0,0
"Wilson, D.J.",4,6.2,3500,mil,orl,home, 102-86,2:07,2,1,0,1,0,0,0,1,2,0,0
"Hill, Solomon",3,6.1,3600,nor,lac,away, 113-100,9:38,1,3,1,0,0,0,0,0,1,1,2
"Ennis, James",3,5.9,3500,det,tor,home, 98-108,13:29,0,2,1,1,0,1,0,0,1,0,0
"Davis, Ed",4,5,3600,por,den,away, 82-88,14:31,0,5,0,0,0,1,0,0,1,0,0
"Hicks, Isaiah",4,4.9,3500,nyk,cle,home, 109-123,4:51,2,2,1,0,0,1,0,1,2,0,0
"Swanigan, Caleb",4,4.6,3600,por,den,away, 82-88,5:42,2,3,0,0,0,1,0,1,2,0,0
"Artis, Jamel",3,3.9,3900,orl,mil,away, 86-102,19:38,0,2,1,0,0,0,0,0,5,0,0
"McKinnie, Alfonzo",4,3.2,3500,tor,det,away, 108-98,4:34,2,1,0,0,0,0,0,1,2,0,0
"Osman, Cedi",3,2.7,3700,cle,nyk,away, 123-109,1:05,0,1,1,0,0,0,0,0,0,0,0
"Jackson, Justin",3,2.4,4100,sac,sas,away, 85-98,32:25,0,2,0,0,0,0,0,0,2,0,0
"Caboclo, Bruno",3,2.4,3500,sac,sas,away, 85-98,7:46,0,2,0,0,0,0,0,0,1,0,0
"Bertans, Davis",4,2,3500,sas,sac,home, 98-85,7:21,2,0,0,0,0,0,0,1,2,0,0
"Craig, Torrey",3,1.2,3500,den,por,home, 88-82,6:25,0,1,0,0,0,0,0,0,0,0,0
"Lyles, Trey",4,0.2,3500,den,por,home, 88-82,4:12,0,1,0,0,0,1,0,0,0,0,0
"Holland, John",3,0,3500,cle,nyk,away, 123-109,1:05,0,0,0,0,0,0,0,0,0,0,0
"Jones, Derrick",3,0,3500,mia,okc,home, 93-115,00:41,0,0,0,0,0,0,0,0,1,0,0
"Huestis, Josh",3,0,3500,okc,mia,away, 115-93,1:24,0,0,0,0,0,0,0,0,0,0,0
"McGruder, Rodney",3,0,3600,mia,okc,home, 93-115,1:24,0,0,0,0,0,0,0,0,1,0,0
"Layman, Jake",3,0,3500,por,den,away, 82-88,DNP,0,0,0,0,0,0,0,0,0,0,0
"Webb, James",3,0,3500,bkn,chi,home, 114-105,DNP,0,0,0,0,0,0,0,0,0,0,0
"Harris, Joe",3,0,5200,bkn,chi,home, 114-105,DNP,0,0,0,0,0,0,0,0,0,0,0
"Vonleh, Noah",4,0,4300,chi,bkn,away, 105-114,DNP,0,0,0,0,0,0,0,0,0,0,0
"Gallinari, Danilo",3,0,5300,lac,nor,home, 100-113,DNP,0,0,0,0,0,0,0,0,0,0,0
"Jefferson, Richard",3,0,3500,den,por,home, 88-82,DNP,0,0,0,0,0,0,0,0,0,0,0
"Randolph, Zach",4,0,4800,sac,sas,away, 85-98,DNP,0,0,0,0,0,0,0,0,0,0,0
"Arthur, Darrell",4,0,3500,den,por,home, 88-82,DNP,0,0,0,0,0,0,0,0,0,0,0
"Green, JaMychal",4,0,4900,mem,min,away, 94-113,DNP,0,0,0,0,0,0,0,0,0,0,0
"Miller, Malcolm",4,0,3500,tor,det,away, 108-98,DNP,0,0,0,0,0,0,0,0,0,0,0
"Hernangomez, Juan",3,0,3500,den,por,home, 88-82,NA,0,0,0,0,0,0,0,0,0,0,0
"Brown, Anthony",3,0,3500,min,mem,home, 113-94,NA,0,0,0,0,0,0,0,0,0,0,0
"White, Okaro",4,0,3500,cle,nyk,away, 123-109,NA,0,0,0,0,0,0,0,0,0,0,0
"Hamilton, Daniel",3,0,3500,okc,mia,away, 115-93,NA,0,0,0,0,0,0,0,0,0,0,0
"Harkless, Maurice",3,0,5100,por,den,away, 82-88,NA,0,0,0,0,0,0,0,0,0,0,0
"Leonard, Kawhi",3,0,6000,sas,sac,home, 98-85,NA,0,0,0,0,0,0,0,0,0,0,0
"Griffin, Blake",4,0,8200,det,tor,home, 98-108,NA,0,0,0,0,0,0,0,0,0,0,0
"Mickey, Jordan",4,0,3500,mia,okc,home, 93-115,NA,0,0,0,0,0,0,0,0,0,0,0
"Jefferson, Amile",4,0,3500,min,mem,home, 113-94,NA,0,0,0,0,0,0,0,0,0,0,0
"Babbitt, Luke",4,0,3500,mia,okc,home, 93-115,NA,0,0,0,0,0,0,0,0,0,0,0
"Antetokounmpo, Giannis",3,0,11400,mil,orl,home, 102-86,NA,0,0,0,0,0,0,0,0,0,0,0
"Ibaka, Serge",4,0,5400,tor,det,away, 108-98,NA,0,0,0,0,0,0,0,0,0,0,0
"Simmons, Jonathon",3,0,5500,orl,mil,away, 86-102,NA,0,0,0,0,0,0,0,0,0,0,0
"Faried, Kenneth",4,0,3500,den,por,home, 88-82,NA,0,0,0,0,0,0,0,0,0,0,0
"Zipser, Paul",3,0,3500,chi,bkn,away, 105-114,NA,0,0,0,0,0,0,0,0,0,0,0
"Singler, Kyle",3,0,3500,okc,mia,away, 115-93,NA,0,0,0,0,0,0,0,0,0,0,0
"Isaac, Jonathan",4,0,4200,orl,mil,away, 86-102,NA,0,0,0,0,0,0,0,0,0,0,0
"Carroll, DeMarre",3,0,5200,bkn,chi,home, 114-105,NA,0,0,0,0,0,0,0,0,0,0,0
"Labissiere, Skal",4,0,5100,sac,sas,away, 85-98,NA,0,0,0,0,0,0,0,0,0,0,0
"Lydon, Tyler",4,0,3500,den,por,home, 88-82,NA,0,0,0,0,0,0,0,0,0,0,0
"Jokic, Nikola",5,62.5,11500,den,por,home, 88-82,38:05,15,20,11,2,1,2,1,5,14,4,4
"Towns, Karl-Anthony",5,50.6,10100,min,mem,home, 113-94,29:50,24,18,2,0,1,1,0,11,14,2,3
"Vucevic, Nikola",5,45.5,8500,orl,mil,away, 86-102,29:07,17,10,7,0,3,3,0,8,17,1,1
"Nurkic, Jusuf",5,45.3,7900,por,den,away, 82-88,29:53,20,19,1,1,0,2,0,9,15,2,3
"Cauley-Stein, Willie",5,42,6800,sac,sas,away, 85-98,37:52,25,10,2,0,1,1,0,10,20,5,8
"Whiteside, Hassan",5,36.1,6900,mia,okc,home, 93-115,20:48,16,8,1,0,3,0,0,8,10,0,2
"Jordan, DeAndre",5,35,7400,lac,nor,home, 100-113,22:16,9,15,2,1,1,1,0,4,7,1,3
"Valanciunas, Jonas",5,34.8,5600,tor,det,away, 108-98,25:03,25,9,0,0,0,1,1,11,13,2,2
"Allen, Jarrett",5,27,5700,bkn,chi,home, 114-105,28:14,8,5,0,1,4,2,0,4,5,0,0
"Poeltl, Jakob",5,23.4,4100,tor,det,away, 108-98,22:57,12,7,0,0,1,0,0,6,8,0,0
"Biyombo, Bismack",5,23.2,4000,orl,mil,away, 86-102,16:46,14,6,0,0,1,1,0,6,7,2,3
"Marjanovic, Boban",5,21.8,3900,lac,nor,home, 100-113,13:30,12,9,0,0,0,1,0,5,8,2,3
"O'Quinn, Kyle",5,19.3,7500,nyk,cle,home, 109-123,28:50,8,4,1,0,2,1,0,4,6,0,0
"Felicio, Cristiano",5,19,5200,chi,bkn,away, 105-114,27:36,10,5,2,1,0,3,0,5,8,0,0
"Davis, Deyonta",5,19,3800,mem,min,away, 94-113,22:31,10,5,0,0,1,0,0,5,8,0,0
"Gasol, Pau",5,18.5,5700,sas,sac,home, 98-85,19:35,2,5,3,1,1,0,0,1,2,0,0
"Adams, Steven",5,17.1,6900,okc,mia,away, 115-93,31:37,7,3,1,1,1,1,0,3,6,1,4
"Thompson, Tristan",5,11.3,3600,cle,nyk,away, 123-109,9:08,5,4,1,0,0,0,0,2,5,1,2
"Adebayo, Bam",5,10.8,3600,mia,okc,home, 93-115,13:19,6,4,0,0,0,0,0,1,3,4,4
"Zeller, Tyler",5,9,3800,mil,orl,home, 102-86,20:50,4,5,0,0,0,1,0,2,3,0,0
"Okafor, Emeka",5,5.4,3500,nor,lac,away, 113-100,5:45,3,2,0,0,0,0,0,1,2,1,1
"Cooley, Jack",5,5.4,3500,sac,sas,away, 85-98,10:08,4,2,0,0,0,1,0,1,3,2,4
"Collins, Zach",5,4.4,3600,por,den,away, 82-88,13:19,3,2,0,0,0,1,1,1,4,0,0
"Asik, Omer",5,4.4,3500,chi,bkn,away, 105-114,14:06,0,2,0,0,1,1,0,0,0,0,0
"Aldrich, Cole",5,2.7,3500,min,mem,home, 113-94,1:03,0,1,1,0,0,0,0,0,0,0,0
"Zizic, Ante",5,2,3500,cle,nyk,away, 123-109,1:05,2,0,0,0,0,0,0,1,1,0,0
"Lauvergne, Joffrey",5,1.2,3500,sas,sac,home, 98-85,00:56,0,1,0,0,0,0,0,0,0,0,0
"Collison, Nick",5,0,3500,okc,mia,away, 115-93,00:41,0,0,0,0,0,0,0,0,0,0,0
