Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Hill, George",PG,25.5,"$4,600",mil,orl,home, 111-100,20:50,   17pt 5rb 3as 2to 3trey 7-11fg 0-1ft,17,5,3,0,0,2,3
"Teague, Jeff",PG,25,"$5,300",min,cle,home, 88-94,26:31,   18pt 4as 1st 2to 7-14fg 4-5ft,18,0,4,1,0,2,0
"Sexton, Collin",PG,24.9,"$5,500",cle,min,away, 94-88,34:05,   18pt 7rb 1as 1st 6to 5-17fg 8-11ft,18,7,1,1,0,6,0
"Harris, Gary",SG,24.9,"$4,900",den,mem,home, 119-110,36:39,   12pt 2rb 1as 3st 1bl 3to 5-11fg 2-2ft,12,2,1,3,1,3,0
"Smith, Ishmael",PG,24.6,"$5,000",was,nyk,home, 100-107,21:23,   13pt 3rb 2as 1st 1bl 1to 2trey 4-12fg 3-4ft,13,3,2,1,1,1,2
"McCollum, C.J.",SG,24.4,"$7,100",por,lal,home, 120-128,37:59,   18pt 2rb 4as 2to 2trey 8-16fg,18,2,4,0,0,2,2
"Simons, Anfernee",PG,24.2,"$3,500",por,lal,home, 120-128,27:29,   14pt 6rb 1st 1trey 6-13fg 1-1ft,14,6,0,1,0,0,1
"Joseph, Cory",PG,23.5,"$3,600",sac,pho,home, 110-112,32:28,   10pt 5rb 5as 5-10fg,10,5,5,0,0,0,0
"Nunn, Kendrick",PG,23.5,"$4,500",mia,phi,home, 117-116,22:21,   10pt 5rb 3as 1st 3-8fg 4-4ft,10,5,3,1,0,0,0
"Rondo, Rajon",PG,22.6,"$4,200",lal,por,away, 128-120,18:00,   15pt 3rb 4as 2to 1trey 6-8fg 2-2ft,15,3,4,0,0,2,1
"Ntilikina, Frank",PG,22.3,"$3,700",nyk,was,away, 107-100,17:01,   8pt 4rb 5as 1st 1to 1trey 1-2fg 5-5ft,8,4,5,1,0,1,1
"Augustin, D.J.",PG,22.2,"$4,000",orl,mil,away, 100-111,28:15,   12pt 1rb 4as 1st 2trey 4-7fg 2-2ft,12,1,4,1,0,0,2
"Lamb, Jeremy",SG,22.2,"$5,000",ind,nor,away, 98-120,27:29,   7pt 6rb 2as 1st 1bl 1to 2-12fg 3-3ft,7,6,2,1,1,1,0
"Smart, Marcus",SG,21.6,"$5,200",bos,tor,home, 97-113,23:24,   7pt 3rb 2as 3st 1to 1trey 2-9fg 2-4ft,7,3,2,3,0,1,1
"Jones, Tyus",PG,21.5,"$3,900",mem,den,away, 110-119,17:34,   8pt 7as 1st 4-6fg,8,0,7,1,0,0,0
"Caldwell-Pope, Kentavious",SG,21.4,"$4,000",lal,por,away, 128-120,32:13,   13pt 2rb 2as 1bl 3trey 4-7fg 2-2ft,13,2,2,0,1,0,3
"Caruso, Alex",PG,21.1,"$3,700",lal,por,away, 128-120,19:47,   9pt 3rb 3as 2st 2to 1trey 3-6fg 2-3ft,9,3,3,2,0,2,1
