Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Wright, Delon",SG,17.3,"$5,600",dal,was,home, 108-100,21:28,   5pt 4rb 3as 1st 1trey 1-2fg 2-2ft,5,4,3,1,0,0,1
"Rozier, Terry",PG,16.8,"$7,000",cha,chi,home, 126-125,30:24,   7pt 4rb 6as 4to 2trey 2-10fg 1-1ft,7,4,6,0,0,4,2
"Napier, Shabazz",PG,15.7,"$3,500",min,bkn,away, 127-126,20:59,   5pt 1rb 7as 1to 1-7fg 3-5ft,5,1,7,0,0,1,0
"Diallo, Hamidou",SG,15.6,"$3,500",okc,uta,away, 95-100,23:00,   12pt 3rb 1st 3to 5-8fg 2-4ft,12,3,0,1,0,3,0
"Dinwiddie, Spencer",PG,15.6,"$5,400",bkn,min,home, 126-127,18:33,   14pt 3rb 2as 5to 1trey 6-13fg 1-2ft,14,3,2,0,0,5,1
"Anderson, Kyle",SG,15.6,"$5,200",mem,mia,away, 101-120,20:50,   4pt 8rb 1st 1to 2-4fg,4,8,0,1,0,1,0
"Brown, Bruce",SG,14.8,"$3,500",det,ind,away, 119-110,28:49,   7pt 4rb 4as 3to 3-6fg 1-2ft,7,4,4,0,0,3,0
"Clarkson, Jordan",SG,14.4,"$5,100",cle,orl,away, 85-94,18:19,   7pt 2rb 2st 1to 2-12fg 3-3ft,7,2,0,2,0,1,0
"Walker, Kemba",PG,14.4,"$8,700",bos,phi,away, 93-107,34:15,   12pt 2rb 2as 3to 1trey 4-18fg 3-4ft,12,2,2,0,0,3,1
"Snell, Tony",SG,14.4,"$3,500",det,ind,away, 119-110,31:53,   10pt 2rb 2as 1to 2trey 4-7fg,10,2,2,0,0,1,2
"Schroder, Dennis",SG,14.2,"$5,300",okc,uta,away, 95-100,30:40,   3pt 6rb 4as 2to 1trey 1-8fg,3,6,4,0,0,2,1
"McConnell, T.J.",PG,14.1,"$3,500",ind,det,home, 110-119,13:25,   4pt 3rb 3as 1bl 1to 2-4fg,4,3,3,0,1,1,0
"Arcidiacono, Ryan",PG,14.1,"$3,500",chi,cha,away, 125-126,10:56,   6pt 3rb 1as 1st 2trey 2-3fg,6,3,1,1,0,0,2
"White, Derrick",PG,13.9,"$6,000",sas,nyk,home, 120-111,22:10,   9pt 2rb 3as 2to 3-6fg 3-5ft,9,2,3,0,0,2,0
"Dellavedova, Matthew",PG,13.7,"$3,500",cle,orl,away, 85-94,18:06,   5pt 1rb 3as 1st 2-6fg 1-2ft,5,1,3,1,0,0,0
"Conley, Mike",PG,13.5,"$7,800",uta,okc,home, 100-95,26:43,   5pt 5as 1st 2to 1-16fg 3-4ft,5,0,5,1,0,2,0
"Galloway, Langston",SG,12.8,"$3,500",det,ind,away, 119-110,20:01,   5pt 4rb 1st 1bl 3to 1trey 2-4fg,5,4,0,1,1,3,1
"Jackson, Reggie",PG,12.7,"$5,700",det,ind,away, 119-110,20:21,   5pt 1rb 5as 1to 1trey 2-3fg,5,1,5,0,0,1,1
"Harris, Gary",SG,12.6,"$5,500",den,por,away, 108-100,35:14,   8pt 3rb 2st 5to 1trey 3-11fg 1-1ft,8,3,0,2,0,5,1
"Curry, Seth",PG,12.1,"$4,000",dal,was,home, 108-100,19:39,   9pt 3rb 1as 2to 1trey 3-6fg 2-2ft,9,3,1,0,0,2,1
"Fox, De'Aaron",PG,11.7,"$8,600",sac,pho,away, 95-124,26:33,   8pt 1rb 5as 5to 3-7fg 2-4ft,8,1,5,0,0,5,0
"Guduric, Marko",SG,11.4,"$3,500",mem,mia,away, 101-120,24:06,   9pt 2rb 2as 3to 4-8fg 1-1ft,9,2,2,0,0,3,0
"Monk, Malik",SG,10.7,"$4,100",cha,chi,home, 126-125,16:41,   7pt 1rb 3as 2to 1trey 3-4fg,7,1,3,0,0,2,1
"Morris, Monte",PG,10.7,"$4,200",den,por,away, 108-100,14:11,   6pt 1rb 3as 1to 2-6fg 2-2ft,6,1,3,0,0,1,0
"Simons, Anfernee",PG,10,"$3,500",por,den,home, 100-108,12:16,   5pt 2st 1to 2-7fg 1-2ft,5,0,0,2,0,1,0
"Beasley, Malik",SG,9.7,"$3,600",den,por,away, 108-100,13:23,   6pt 1rb 1as 1st 2to 2trey 2-6fg,6,1,1,1,0,2,2
