Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Harden, James",SG,95,"$13,500",hou,@ nyk, 114-110,40:00,   61pt 15rb 4as 5st 5to 5trey 17-38fg 22-25ft
"Mitchell, Donovan",SG,61.2,"$8,300",uta,v den, 114-108,38:23,   35pt 6rb 6as 2st 2bl 2to 6trey 12-25fg 5-9ft
"Simmons, Ben",PG,55.5,"$9,900",phi,v sas, 122-120,35:23,   21pt 10rb 15as 1st 3to 9-14fg 3-4ft
"Russell, D'Angelo",SG,51.4,"$8,600",bkn,v orl, 114-110,33:44,   25pt 7rb 10as 2st 3to 3trey 9-21fg 4-5ft
"Trier, Allonzo",SG,47.5,"$4,400",nyk,v hou, 110-114,32:37,   31pt 10rb 3as 1st 3to 2trey 12-18fg 5-5ft
"Walker, Kemba",PG,45.9,"$9,000",cha,@ mem, 118-107,38:58,   22pt 2rb 7as 4st 1to 3trey 9-17fg 1-2ft
"Rozier, Terry",PG,45.6,"$4,500",bos,v cle, 123-103,29:47,   26pt 8rb 6as 1st 2to 4trey 9-13fg 4-4ft
"Holiday, Jrue",SG,45.5,"$9,500",nor,v det, 94-98,38:11,   29pt 5rb 7as 14-24fg 1-2ft
"DeRozan, DeMar",SG,44.3,"$7,700",sas,@ phi, 120-122,37:06,   26pt 9rb 3as 2st 1bl 6to 12-19fg 2-3ft
"Burks, Alec",SG,39.8,"$3,800",cle,@ bos, 103-123,25:33,   10pt 9rb 6as 2st 2bl 2to 1trey 3-8fg 3-4ft
"Dinwiddie, Spencer",PG,39.1,"$5,800",bkn,v orl, 114-110,30:22,   29pt 3rb 3as 1st 1to 2trey 10-17fg 7-8ft
"Craig, Torrey",SG,37.6,"$3,700",den,@ uta, 108-114,38:23,   7pt 8rb 2as 2st 4bl 3-8fg 1-4ft
"LaVine, Zach",SG,36.8,"$7,100",chi,v atl, 101-121,34:09,   23pt 4rb 4as 2st 3to 2trey 6-15fg 9-10ft
"Collison, Darren",PG,36.8,"$6,200",ind,v tor, 110-106,32:08,   17pt 4rb 8as 1st 5-13fg 7-8ft
"Dunn, Kris",PG,36.3,"$7,400",chi,v atl, 101-121,26:46,   16pt 4rb 3as 2st 2bl 1to 1trey 5-11fg 5-6ft
"Augustin, D.J.",PG,35.6,"$4,600",orl,@ bkn, 110-114,28:05,   19pt 3rb 6as 2st 2to 2trey 5-11fg 7-7ft
"White, Derrick",PG,35.3,"$5,400",sas,@ phi, 120-122,36:15,   15pt 4rb 5as 2st 1bl 1to 1trey 6-9fg 2-2ft
"Conley, Mike",PG,34.9,"$8,600",mem,v cha, 107-118,36:01,   31pt 2rb 1as 1st 3to 2trey 10-17fg 9-9ft
"Lowry, Kyle",PG,34.5,"$7,500",tor,@ ind, 106-110,36:34,   20pt 5rb 7as 1bl 5to 3trey 6-13fg 5-6ft
"Williams, Louis",SG,33,"$6,500",lac,@ mia, 111-99,21:08,   13pt 5rb 6as 1st 1bl 1to 1trey 5-12fg 2-4ft
"Brown, Jaylen",SG,32.2,"$4,300",bos,v cle, 123-103,25:11,   23pt 6rb 1st 1to 2trey 8-12fg 5-6ft
"Young, Trae",PG,31.4,"$7,100",atl,@ chi, 121-101,32:45,   5pt 7rb 12as 1st 3to 1trey 1-12fg 2-2ft
"Gordon, Eric",SG,28.8,"$5,300",hou,@ nyk, 114-110,36:36,   20pt 4rb 2st 2to 3trey 8-15fg 1-3ft
"Rubio, Ricky",PG,28.6,"$6,300",uta,v den, 114-108,24:13,   17pt 3rb 6as 1to 2trey 6-10fg 3-3ft
"Hardaway Jr., Tim",SG,27.3,"$5,700",nyk,v hou, 110-114,35:10,   21pt 4rb 1as 4trey 6-16fg 5-5ft
"Johnson, Tyler",PG,26.9,"$4,300",mia,v lac, 99-111,35:30,   15pt 2rb 5as 1bl 1to 1trey 5-11fg 4-6ft
"Lamb, Jeremy",SG,26.8,"$6,000",cha,@ mem, 118-107,29:52,   17pt 4rb 4as 1to 1trey 5-9fg 6-7ft
"Jackson, Reggie",PG,26.5,"$5,000",det,@ nor, 98-94,30:01,   17pt 5rb 3as 1to 4trey 6-11fg 1-2ft
"McConnell, T.J.",PG,26.4,"$4,200",phi,v sas, 122-120,21:28,   10pt 2rb 8as 1st 1to 5-7fg
"Shamet, Landry",PG,26,"$3,700",phi,v sas, 122-120,22:19,   14pt 2as 3st 3trey 5-7fg 1-1ft
"Wade, Dwyane",SG,24.6,"$4,900",mia,v lac, 99-111,23:19,   13pt 3rb 4as 1st 1to 6-14fg 1-2ft
"Sexton, Collin",PG,23.7,"$5,000",cle,@ bos, 103-123,31:15,   16pt 6rb 3as 4to 2trey 6-15fg 2-4ft
"Parker, Tony",PG,23.5,"$3,600",cha,@ mem, 118-107,16:56,   17pt 3as 1st 1to 7-11fg 3-4ft
"Forbes, Bryn",PG,23.2,"$4,300",sas,@ phi, 120-122,31:24,   14pt 6rb 2as 1to 4trey 5-9fg
"Harrison, Shaquille",PG,22.3,"$3,500",chi,v atl, 101-121,20:00,   7pt 4rb 3as 1st 1bl 2-9fg 3-3ft
"Mills, Patty",PG,21.7,"$3,800",sas,@ phi, 120-122,23:03,   17pt 1rb 1as 1st 1to 3trey 6-10fg 2-3ft
"Grant, Jerian",PG,21.5,"$3,500",orl,@ bkn, 110-114,18:51,   6pt 5rb 3as 1st 1bl 1to 1trey 1-5fg 3-4ft
"Bradley, Avery",SG,20.9,"$3,900",lac,@ mia, 111-99,34:44,   12pt 2rb 3as 1st 1to 2trey 5-11fg
"Belinelli, Marco",SG,20.9,"$4,500",sas,@ phi, 120-122,22:53,   16pt 2rb 1as 1bl 2to 4trey 5-9fg 2-2ft
"Bullock, Reggie",SG,20.7,"$5,000",det,@ nor, 98-94,26:48,   5pt 6rb 5as 1bl 2to 1trey 2-12fg
"Green, Danny",SG,20.5,"$5,000",tor,@ ind, 106-110,26:52,   10pt 5rb 3as 2trey 3-9fg 2-2ft
"Lin, Jeremy",PG,20.4,"$4,600",atl,@ chi, 121-101,21:42,   15pt 2rb 4as 3to 2trey 6-10fg 1-3ft
"Wanamaker, Brad",PG,19.9,"$3,700",bos,v cle, 123-103,20:18,   11pt 2rb 3as 1bl 1to 3trey 3-5fg 2-2ft
"VanVleet, Fred",PG,18.9,"$4,600",tor,@ ind, 106-110,37:24,   14pt 2rb 3as 2to 2trey 5-14fg 2-2ft
"Gilgeous-Alexander, Shai",PG,18.9,"$4,500",lac,@ mia, 111-99,30:50,   10pt 2rb 3as 1st 1to 5-10fg
"Rivers, Austin",SG,18.4,"$4,600",hou,@ nyk, 114-110,33:50,   4pt 2rb 4as 1st 1bl 2-7fg
"Temple, Garrett",SG,18.1,"$4,200",mem,v cha, 107-118,36:32,   5pt 3rb 3as 1st 1bl 1to 1trey 2-5fg
"Mudiay, Emmanuel",PG,17.8,"$6,300",nyk,v hou, 110-114,28:11,   14pt 4rb 2as 1st 7to 1trey 4-9fg 5-6ft
"Beverley, Patrick",PG,17.2,"$5,500",lac,@ mia, 111-99,34:02,   4pt 6rb 2as 1st 1-5fg 2-2ft
"Holiday, Justin",SG,16.7,"$5,000",mem,v cha, 107-118,40:23,   10pt 6rb 1as 2to 2trey 4-11fg
"Joseph, Cory",PG,16.6,"$3,800",ind,v tor, 110-106,31:33,   7pt 3rb 4as 1trey 3-10fg
"Smart, Marcus",SG,16.2,"$5,300",bos,v cle, 123-103,25:07,   9pt 1rb 4as 1st 3to 2trey 2-7fg 3-3ft
"Anderson, Justin",SG,15.6,"$3,500",atl,@ chi, 121-101,18:05,   7pt 3rb 2st 1to 1trey 2-7fg 2-3ft
"Clarkson, Jordan",SG,15.5,"$4,700",cle,@ bos, 103-123,22:25,   14pt 1as 2trey 6-14fg
"Payton, Elfrid",PG,15.1,"$5,700",nor,v det, 94-98,32:15,   2pt 3rb 5as 1st 1to 1-7fg
"Korver, Kyle",SG,14.9,"$3,800",uta,v den, 114-108,18:15,   9pt 2rb 1as 1st 1to 3trey 3-7fg
"Kennard, Luke",SG,14.6,"$3,900",det,@ nor, 98-94,21:12,   5pt 3rb 2st 1-6fg 3-3ft
"Monk, Malik",SG,14.4,"$3,800",cha,@ mem, 118-107,17:46,   9pt 2rb 2as 1trey 4-7fg
"Mack, Shelvin",PG,13.9,"$4,000",mem,v cha, 107-118,16:53,   4pt 2rb 5as 2-7fg
"Waiters, Dion",SG,13.7,"$4,700",mia,v lac, 99-111,28:33,   9pt 1rb 3as 1to 2trey 3-9fg 1-2ft
"Jackson, Frank",PG,13.6,"$3,500",nor,v det, 94-98,16:05,   8pt 3rb 2as 1to 4-5fg
"Robinson, Jerome",PG,13.4,"$3,500",lac,@ mia, 111-99,16:11,   8pt 2rb 1bl 2trey 3-6fg
"Dotson, Damyean",SG,13.2,"$3,700",nyk,v hou, 110-114,24:51,   8pt 6rb 2to 2trey 2-5fg 2-2ft
"Fournier, Evan",SG,12.9,"$6,100",orl,@ bkn, 110-114,32:54,   9pt 2rb 1as 4-11fg 1-3ft
"Galloway, Langston",SG,12.5,"$3,500",det,@ nor, 98-94,27:29,   8pt 1as 1st 2trey 3-11fg
"Ntilikina, Frank",PG,12.4,"$3,900",nyk,v hou, 110-114,23:57,   0pt 2rb 6as 1st 2to 0-5fg
"Ross, Terrence",SG,12.2,"$5,400",orl,@ bkn, 110-114,27:06,   9pt 1rb 1st 1to 1trey 3-12fg 2-2ft
"Wright, Delon",SG,12.1,"$4,500",tor,@ ind, 106-110,14:16,   4pt 3rb 3as 2-5fg
"McCaw, Patrick",SG,12,"$3,500",tor,@ ind, 106-110,12:24,   0pt 5rb 2as 1st 0-1fg
"Murray, Jamal",PG,11.5,"$6,900",den,@ uta, 108-114,28:27,   9pt 3as 2to 1trey 3-11fg 2-3ft
"Calderon, Jose",PG,11.2,"$3,500",det,@ nor, 98-94,17:59,   3pt 1rb 6as 2to 1trey 1-2fg
"Brown, Bruce",SG,11.2,"$3,600",det,@ nor, 98-94,22:01,   4pt 6rb 1trey 1-4fg 1-2ft
"Selden, Wayne",SG,9.2,"$3,500",chi,v atl, 101-121,18:31,   11pt 1rb 3to 1trey 5-6fg 0-1ft
"Morris, Monte",SG,9.2,"$3,700",den,@ uta, 108-114,23:27,   10pt 1rb 2to 2trey 4-4fg
"Arcidiacono, Ryan",PG,8.7,"$3,600",chi,v atl, 101-121,17:32,   0pt 1rb 3as 1st 0-1fg
"Oladipo, Victor",SG,8.1,"$7,800",ind,v tor, 110-106,10:23,   4pt 3rb 1as 1to 2-4fg
"Graham, Treveon",SG,8,"$3,800",bkn,v orl, 114-110,24:21,   5pt 5rb 3to 1trey 2-5fg
