Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Irving, Kyrie",PG,68.6,"$9,700",bos,v mia, 107-99,34:14,   26pt 3rb 10as 8st 1bl 3to 2trey 11-19fg 2-3ft
"Russell, D'Angelo",SG,53.8,"$7,900",bkn,v sac, 123-94,31:59,   31pt 4rb 8as 1st 1bl 7trey 12-25fg
"Harden, James",SG,51.7,"$14,000",hou,@ phi, 93-121,30:49,   37pt 6rb 3as 1st 2bl 6to 6trey 12-26fg 7-8ft
"Thompson, Klay",SG,51.6,"$7,000",gsw,@ lal, 130-111,26:51,   44pt 3rb 2as 1bl 2to 10trey 17-20fg
"Mitchell, Donovan",SG,50.9,"$8,300",uta,v por, 104-109,33:38,   36pt 7rb 5as 1st 4to 2trey 12-28fg 10-12ft
"Doncic, Luka",SG,49.2,"$8,900",dal,@ mil, 106-116,32:55,   18pt 11rb 10as 1st 1bl 3to 2trey 6-17fg 4-5ft
"Conley, Mike",PG,47.8,"$7,800",mem,v nor, 85-105,37:28,   20pt 4rb 8as 4st 1to 3trey 7-15fg 3-4ft
"Bogdanovic, Bogdan",SG,46.7,"$6,000",sac,@ bkn, 94-123,32:15,   22pt 6rb 11as 2st 5to 3trey 9-19fg 1-2ft
"Lillard, Damian",PG,45.6,"$9,000",por,@ uta, 109-104,36:26,   26pt 8rb 8as 2to 1trey 10-20fg 5-6ft
"Holiday, Jrue",SG,45.2,"$9,000",nor,@ mem, 105-85,38:57,   21pt 11rb 6as 2st 4to 1trey 9-16fg 2-6ft
"Matthews, Wes",SG,44.1,"$4,400",dal,@ mil, 106-116,31:04,   15pt 3rb 3as 3st 4bl 3trey 6-14fg
"Brogdon, Malcolm",SG,42.8,"$5,900",mil,v dal, 116-106,32:51,   19pt 4rb 2as 5st 1bl 2to 1trey 6-14fg 6-6ft
"Fournier, Evan",SG,40.1,"$6,000",orl,@ atl, 122-103,36:37,   29pt 3rb 7as 3to 3trey 9-18fg 8-9ft
"Ross, Terrence",SG,39.5,"$5,100",orl,@ atl, 122-103,26:40,   16pt 5rb 7as 3st 2to 1trey 7-15fg 1-1ft
"Westbrook, Russell",PG,39.5,"$12,600",okc,@ nyk, 127-109,28:44,   17pt 10rb 9as 3to 1trey 6-12fg 4-5ft
"Curry, Stephen",PG,38,"$10,000",gsw,@ lal, 130-111,30:08,   11pt 5rb 12as 1st 2trey 3-12fg 3-3ft
"Bledsoe, Eric",PG,37.3,"$7,700",mil,v dal, 116-106,32:30,   21pt 4rb 5as 2st 2to 1trey 8-16fg 4-4ft
"Trier, Allonzo",SG,37.2,"$3,600",nyk,v okc, 109-127,29:47,   16pt 6rb 8as 2st 4to 3-8fg 10-10ft
"Dunn, Kris",PG,34.3,"$7,100",chi,@ cle, 104-88,31:13,   13pt 4rb 9as 2st 3to 1trey 5-10fg 2-2ft
