Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Harden, James",SG,64.2,"$12,600",hou,v mil, 109-116,40:54,   42pt 11rb 6as 2st 1bl 9to 6trey 13-30fg 10-11ft
"Doncic, Luka",SG,49.7,"$8,100",dal,v pho, 104-94,35:53,   30pt 6rb 5as 3st 4to 4trey 8-14fg 10-16ft
"Mitchell, Donovan",SG,49.3,"$7,900",uta,v orl, 106-93,37:15,   33pt 4rb 7as 1st 2to 4trey 12-21fg 5-6ft
"Beal, Bradley",SG,45.9,"$10,000",was,v phi, 123-106,37:21,   34pt 2rb 5as 1st 1bl 4to 6trey 13-21fg 2-2ft
"Clarkson, Jordan",SG,44.8,"$5,000",cle,@ nor, 124-140,29:51,   21pt 4rb 2as 3st 3bl 2to 2trey 9-16fg 1-2ft
"Butler, Jimmy",SG,41.8,"$7,800",phi,@ was, 106-123,36:05,   23pt 9rb 2as 2st 1to 7-18fg 9-10ft
"Brown, Jaylen",SG,40.9,"$4,300",bos,v ind, 135-108,28:44,   22pt 7rb 3as 1st 1bl 2trey 7-12fg 6-8ft
"Holiday, Jrue",SG,39.9,"$8,600",nor,v cle, 140-124,36:05,   18pt 7rb 5as 3st 3to 8-13fg 2-2ft
"Simmons, Ben",PG,38,"$9,300",phi,@ was, 106-123,34:47,   15pt 10rb 8as 2st 7to 7-15fg 1-4ft
"Brogdon, Malcolm",SG,34.5,"$5,700",mil,@ hou, 116-109,35:55,   24pt 5rb 3as 1st 3to 9-12fg 6-6ft
"Ball, Lonzo",PG,34.5,"$7,100",lal,v det, 113-100,34:40,   5pt 5rb 11as 2st 1bl 2to 1trey 2-6fg
"Dunn, Kris",PG,34.5,"$7,000",chi,@ por, 112-124,29:43,   15pt 5rb 7as 2st 3to 1trey 7-14fg
"Middleton, Khris",SG,33.6,"$7,500",mil,@ hou, 116-109,34:33,   15pt 3rb 4as 3st 2trey 5-14fg 3-4ft
"Satoransky, Tomas",PG,33.5,"$6,000",was,v phi, 123-106,29:17,   4pt 5rb 11as 3st 2to 1-6fg 2-2ft
"Lillard, Damian",PG,33.2,"$9,200",por,v chi, 124-112,33:23,   16pt 1rb 10as 1st 2to 2trey 4-12fg 6-6ft
"McCollum, C.J.",SG,32.6,"$6,800",por,v chi, 124-112,30:47,   24pt 3rb 4as 1to 2trey 10-14fg 2-2ft
"Russell, D'Angelo",SG,32.6,"$7,700",bkn,v atl, 116-100,25:30,   23pt 3rb 4as 1st 3to 1trey 11-20fg
"Augustin, D.J.",PG,31.6,"$4,500",orl,@ uta, 93-106,29:44,   23pt 3rb 6as 4to 3trey 7-11fg 6-7ft
"Lin, Jeremy",PG,31.5,"$4,400",atl,@ bkn, 100-116,28:11,   16pt 5rb 3as 3st 4to 5-18fg 6-6ft
"Dellavedova, Matthew",PG,31.3,"$3,500",cle,@ nor, 124-140,20:24,   17pt 4rb 7as 1to 3trey 6-8fg 2-2ft
