Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Lillard, Damian",PG,65.1,"$9,400",por,v uta, 132-105,37:02,   36pt 8rb 11as 2st 3to 3trey 12-21fg 9-9ft
"Bayless, Jerryd",PG,51.4,"$5,000",min,v mem, 99-97,43:24,   19pt 7rb 12as 2st 1trey 8-19fg 2-4ft
"Conley, Mike",PG,49,"$8,300",mem,@ min, 97-99,41:45,   26pt 5rb 8as 2st 1to 3trey 11-20fg 1-1ft
"Rozier, Terry",PG,46,"$6,500",bos,v cha, 126-94,27:04,   17pt 5rb 10as 3st 1to 3trey 5-10fg 4-4ft
"Morris, Monte",SG,44.9,"$3,900",den,@ nor, 105-99,39:49,   20pt 7rb 7as 2st 3trey 8-12fg 1-1ft
"Smith Jr., Dennis",PG,42.5,"$6,200",dal,@ nyk, 114-90,28:13,   13pt 10rb 15as 5to 5-12fg 3-3ft
"Beal, Bradley",SG,42.2,"$9,500",was,v ind, 107-89,30:55,   25pt 6rb 6as 1st 2to 2trey 9-15fg 5-5ft
"McCollum, C.J.",SG,41.1,"$7,300",por,v uta, 132-105,30:12,   30pt 3rb 1as 2st 1bl 3to 3trey 12-17fg 3-4ft
"Brown, Jaylen",SG,40,"$4,700",bos,v cha, 126-94,29:37,   24pt 10rb 2as 1st 2to 2trey 10-18fg 2-2ft
"Holiday, Jrue",SG,37.2,"$9,600",nor,v den, 99-105,36:08,   22pt 6rb 6as 1st 4to 3trey 7-13fg 5-6ft
"Selden, Wayne",SG,36.4,"$3,800",chi,@ mia, 105-89,35:26,   20pt 2rb 8as 1st 1to 4trey 6-10fg 4-4ft
"Dunn, Kris",PG,35,"$7,100",chi,@ mia, 105-89,34:23,   14pt 5rb 8as 2st 3to 1trey 6-14fg 1-3ft
"Young, Trae",PG,34.2,"$7,300",atl,@ sac, 113-135,28:50,   23pt 1rb 8as 1st 5to 4trey 7-12fg 5-6ft
"Bogdanovic, Bogdan",SG,32.3,"$6,600",sac,v atl, 135-113,28:41,   16pt 4rb 7as 1st 2to 3trey 5-14fg 3-3ft
"Mitchell, Donovan",SG,30.8,"$9,000",uta,@ por, 105-132,27:12,   22pt 4rb 2as 1st 2to 1trey 8-16fg 5-6ft
"Walker, Kemba",PG,30.2,"$8,800",cha,@ bos, 94-126,26:31,   21pt 1rb 2as 1st 1bl 1to 2trey 9-20fg 1-1ft
"Hield, Buddy",SG,30.1,"$6,500",sac,v atl, 135-113,25:29,   18pt 3rb 3as 1st 1bl 2to 4trey 6-11fg 2-2ft
"Doncic, Luka",SG,30.1,"$9,800",dal,@ nyk, 114-90,28:40,   16pt 8rb 5as 3to 2trey 7-18fg 0-1ft
"Huerter, Kevin",SG,29.8,"$4,600",atl,@ sac, 113-135,24:13,   11pt 4rb 4as 2st 1bl 1to 3trey 4-9fg
"Burke, Trey",PG,29.7,"$5,400",nyk,v dal, 90-114,32:10,   16pt 1rb 3as 2st 1bl 1to 1trey 7-14fg 1-3ft
"Beasley, Malik",SG,28.9,"$4,300",den,@ nor, 105-99,29:27,   22pt 2rb 1as 1st 4trey 9-14fg 0-1ft
"Wiggins, Andrew",SG,27,"$6,800",min,v mem, 99-97,41:23,   12pt 5rb 4as 1st 1bl 3to 1trey 4-19fg 3-4ft
"Rubio, Ricky",PG,26.9,"$6,400",uta,@ por, 105-132,26:21,   12pt 2rb 7as 2st 4to 2trey 4-14fg 2-2ft
"Monk, Malik",SG,25.9,"$3,700",cha,@ bos, 94-126,25:52,   16pt 2rb 1as 1st 1bl 3trey 6-14fg 1-1ft
"Arcidiacono, Ryan",PG,25.7,"$3,500",chi,@ mia, 105-89,34:07,   9pt 6rb 3as 2st 1to 4-7fg 1-1ft
"Frazier, Tim",PG,25.6,"$3,500",nor,v den, 99-105,21:07,   4pt 8rb 8as 1-4fg 2-2ft
"Fox, De'Aaron",PG,24.3,"$7,800",sac,v atl, 135-113,21:50,   9pt 4rb 7as 1bl 3to 4-10fg 1-2ft
"Ellington, Wayne",SG,24.3,"$3,700",mia,v chi, 89-105,32:42,   13pt 4rb 1as 2st 1to 3trey 5-13fg
"Sumner, Edmond",PG,22,"$3,500",ind,@ was, 89-107,21:45,   7pt 5rb 2as 2st 2-7fg 3-4ft
"Matthews, Wes",SG,20.9,"$4,100",dal,@ nyk, 114-90,26:18,   17pt 2rb 1as 5trey 6-11fg
"Johnson, Tyler",PG,20.6,"$5,500",mia,v chi, 89-105,27:31,   15pt 3rb 2as 1to 2trey 5-12fg 3-3ft
"Lin, Jeremy",PG,19.9,"$4,600",atl,@ sac, 113-135,19:10,   11pt 2rb 5as 1to 1trey 2-6fg 6-6ft
