Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Harris, Devin",PG,10.1,"$3,500",dal,cha,home, 99-93,14:50,   5pt 3rb 1as 1bl 3to 1trey 1-2fg 2-2ft,5,3,1,0,1,3,1,1,2,2,2
"McRae, Jordan",SG,10,"$4,100",was,mil,away, 129-148,19:19,   9pt 1bl 2to 1trey 4-7fg,9,0,0,0,1,2,1,4,7,0,0
"Okobo, Elie",PG,9.6,"$3,800",pho,uta,away, 88-116,33:08,   4pt 3rb 4as 4to 2-6fg,4,3,4,0,0,4,0,2,6,0,0
"Snell, Tony",SG,9.5,"$3,500",mil,was,home, 148-129,17:05,   5pt 1as 1st 1trey 2-3fg,5,0,1,1,0,0,1,2,3,0,0
"Belinelli, Marco",SG,9.2,"$4,300",sas,gsw,away, 102-141,24:47,   9pt 1rb 1to 2trey 3-9fg 1-1ft,9,1,0,0,0,1,2,3,9,1,1
"Neto, Raul",PG,7.5,"$3,600",uta,pho,home, 116-88,12:02,   3pt 3as 1trey 1-3fg,3,0,3,0,0,0,1,1,3,0,0
"Clark, Ian",SG,6.9,"$3,600",nor,chi,away, 125-120,21:03,   6pt 2rb 1as 3to 1trey 2-4fg 1-1ft,6,2,1,0,0,3,1,2,4,1,1
"Selden, Wayne",SG,6.5,"$4,100",chi,nor,home, 120-125,19:38,   6pt 1as 1to 2trey 2-3fg,6,0,1,0,0,1,2,2,3,0,0
"Evans, Jawun",PG,4.9,"$3,500",pho,uta,away, 88-116,11:14,   2pt 2rb 1as 1to 1-3fg,2,2,1,0,0,1,0,1,3,0,0
"Crawford, Jamal",SG,4.2,"$3,800",pho,uta,away, 88-116,10:10,   0pt 1rb 4as 3to 0-3fg,0,1,4,0,0,3,0,0,3,0,0
"Daniels, Troy",SG,3.2,"$3,500",pho,uta,away, 88-116,13:31,   3pt 1rb 1to 1trey 1-4fg,3,1,0,0,0,1,1,1,4,0,0
"Korver, Kyle",SG,2,"$3,600",uta,pho,home, 116-88,14:39,   3pt 1to 1trey 1-5fg 0-1ft,3,0,0,0,0,1,1,1,5,0,1
"Burke, Trey",PG,1.7,"$5,500",dal,cha,home, 99-93,4:29,   0pt 1rb 1as 1to 0-2fg,0,1,1,0,0,1,0,0,2,0,0
