Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Green, Draymond",NA,60.3,N/A,gsw,v tor, 110-114,44:12,   11pt 19rb 13as 3st 2bl 8to 1trey 5-10fg 0-2ft
"Lowry, Kyle",NA,55.4,N/A,tor,@ gsw, 114-110,41:42,   26pt 7rb 10as 3st 3to 4trey 9-16fg 4-6ft
"Siakam, Pascal",NA,46.5,N/A,tor,@ gsw, 114-110,46:10,   26pt 10rb 3as 1st 1bl 2to 3trey 10-17fg 3-4ft
"Curry, Stephen",NA,41.1,N/A,gsw,v tor, 110-114,41:53,   21pt 3rb 7as 2st 1bl 3to 3trey 6-17fg 6-6ft
"Leonard, Kawhi",NA,40.7,N/A,tor,@ gsw, 114-110,41:05,   22pt 6rb 3as 2st 1bl 2to 1trey 7-16fg 7-8ft
"Thompson, Klay",NA,40,N/A,gsw,v tor, 110-114,31:59,   30pt 5rb 2st 2to 4trey 8-12fg 10-10ft
"Iguodala, Andre",NA,29.4,N/A,gsw,v tor, 110-114,32:01,   22pt 2rb 2as 1bl 1to 3trey 9-15fg 1-5ft
"VanVleet, Fred",NA,26.4,N/A,tor,@ gsw, 114-110,33:48,   22pt 2rb 1st 1to 5trey 6-14fg 5-5ft
"Cousins, DeMarcus",NA,24,N/A,gsw,v tor, 110-114,18:44,   12pt 5rb 2as 1bl 4-9fg 4-7ft
"Looney, Kevon",NA,20.6,N/A,gsw,v tor, 110-114,26:50,   6pt 3rb 4as 1st 1bl 1to 3-7fg
"Ibaka, Serge",NA,20.6,N/A,tor,@ gsw, 114-110,22:07,   15pt 3rb 2as 1to 7-12fg 1-2ft
"Gasol, Marc",NA,18.8,N/A,tor,@ gsw, 114-110,26:34,   3pt 9rb 4as 1to 0-5fg 3-4ft
"Livingston, Shaun",NA,8,N/A,gsw,v tor, 110-114,16:10,   6pt 1st 1to 3-5fg
"Green, Danny",NA,7.7,N/A,tor,@ gsw, 114-110,17:43,   0pt 1rb 3as 1st 1to
"McKinnie, Alfonzo",NA,3.6,N/A,gsw,v tor, 110-114,10:29,   0pt 3rb 0-1fg
"Cook, Quinn",NA,3.2,N/A,gsw,v tor, 110-114,12:30,   2pt 1rb 1-3fg
"Bogut, Andrew",NA,1.2,N/A,gsw,v tor, 110-114,2:50,   0pt 1rb 0-1fg
"Powell, Norman",NA,0.2,N/A,tor,@ gsw, 114-110,10:50,   0pt 1rb 1to 0-2fg
