Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Leonard, Kawhi",NA,56.4,N/A,tor,v gsw, 105-106,41:24,   26pt 12rb 6as 2st 2bl 5to 2trey 9-24fg 6-8ft
"Curry, Stephen",NA,47.1,N/A,gsw,@ tor, 106-105,41:11,   31pt 8rb 7as 4to 5trey 10-23fg 6-6ft
"Thompson, Klay",NA,41.2,N/A,gsw,@ tor, 106-105,42:29,   26pt 6rb 4as 1st 1to 7trey 9-21fg 1-2ft
"Lowry, Kyle",NA,38.8,N/A,tor,v gsw, 105-106,42:13,   18pt 4rb 6as 1st 2bl 2to 1trey 8-16fg 1-2ft
"Green, Draymond",NA,38,N/A,gsw,@ tor, 106-105,41:11,   10pt 10rb 8as 1st 1bl 2to 2trey 4-9fg
"Gasol, Marc",NA,28.6,N/A,tor,v gsw, 105-106,31:02,   17pt 8rb 2as 1to 2trey 4-6fg 7-8ft
"Ibaka, Serge",NA,27.7,N/A,tor,v gsw, 105-106,16:58,   15pt 6rb 1as 1st 1bl 2to 5-8fg 5-6ft
"Cousins, DeMarcus",NA,26.7,N/A,gsw,@ tor, 106-105,19:32,   14pt 6rb 1as 1st 1bl 2to 1trey 6-8fg 1-4ft
"Iguodala, Andre",NA,23.7,N/A,gsw,@ tor, 106-105,30:28,   5pt 1rb 3as 1st 4bl 2to 1trey 2-7fg
"Siakam, Pascal",NA,20.8,N/A,tor,v gsw, 105-106,33:54,   12pt 4rb 2as 1st 2to 6-15fg 0-1ft
"Durant, Kevin",NA,15.4,N/A,gsw,@ tor, 106-105,11:57,   11pt 2rb 1bl 1to 3trey 3-5fg 2-2ft
"VanVleet, Fred",NA,14.9,N/A,tor,v gsw, 105-106,27:19,   11pt 2rb 1as 3trey 3-7fg 2-2ft
"Green, Danny",NA,12,N/A,tor,v gsw, 105-106,33:15,   4pt 5rb 1st 1to 2-7fg
"Cook, Quinn",NA,7.2,N/A,gsw,@ tor, 106-105,11:35,   3pt 1rb 2as 1trey 1-2fg
"Looney, Kevon",NA,6.6,N/A,gsw,@ tor, 106-105,17:49,   4pt 3rb 1to 2-4fg
"Powell, Norman",NA,5.9,N/A,tor,v gsw, 105-106,12:27,   2pt 2rb 1as 1-2fg
"Livingston, Shaun",NA,4,N/A,gsw,@ tor, 106-105,15:32,   0pt 2as 1st 2to 0-2fg
"Bell, Jordan",NA,2,N/A,gsw,@ tor, 106-105,4:01,   2pt 1-1fg
