Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Leonard, Kawhi",NA,56.3,N/A,tor,v gsw, 104-109,38:43,   34pt 14rb 3as 1st 1bl 5to 2trey 8-20fg 16-16ft
"Green, Draymond",NA,46.5,N/A,gsw,@ tor, 109-104,40:36,   17pt 10rb 9as 2st 1bl 5to 6-12fg 5-6ft
"Curry, Stephen",NA,40.6,N/A,gsw,@ tor, 109-104,40:40,   23pt 3rb 4as 3st 1to 3trey 6-17fg 8-9ft
"Thompson, Klay",NA,40.5,N/A,gsw,@ tor, 109-104,32:08,   25pt 5rb 5as 1st 1to 4trey 10-17fg 1-2ft
"Cousins, DeMarcus",NA,35,N/A,gsw,@ tor, 109-104,27:38,   11pt 10rb 6as 2bl 3to 1trey 3-8fg 4-4ft
"VanVleet, Fred",NA,31.8,N/A,tor,v gsw, 104-109,38:08,   17pt 4rb 2as 3st 2to 2trey 7-17fg 1-1ft
"Iguodala, Andre",NA,30.6,N/A,gsw,@ tor, 109-104,28:04,   8pt 8rb 6as 1st 1bl 2to 2trey 3-8fg
"Siakam, Pascal",NA,29.1,N/A,tor,v gsw, 104-109,40:56,   12pt 8rb 5as 5-18fg 2-4ft
"Ibaka, Serge",NA,25,N/A,tor,v gsw, 104-109,16:17,   7pt 10rb 2st 1trey 3-7fg
"Lowry, Kyle",NA,18.2,N/A,tor,v gsw, 104-109,27:41,   13pt 1rb 2as 1st 2to 3trey 4-11fg 2-3ft
"Gasol, Marc",NA,17.2,N/A,tor,v gsw, 104-109,31:29,   6pt 6rb 2as 1bl 2to 2-7fg 2-2ft
"Cook, Quinn",NA,13.2,N/A,gsw,@ tor, 109-104,21:13,   9pt 1rb 1bl 3trey 3-6fg
"Powell, Norman",NA,13.2,N/A,tor,v gsw, 104-109,21:07,   7pt 1rb 2as 1st 1to 1trey 3-7fg
"Green, Danny",NA,12.5,N/A,tor,v gsw, 104-109,25:39,   8pt 5rb 1as 3to 2trey 3-7fg
"Livingston, Shaun",NA,9.5,N/A,gsw,@ tor, 109-104,16:05,   6pt 3as 1to 2-4fg 2-2ft
"Bogut, Andrew",NA,7.2,N/A,gsw,@ tor, 109-104,7:09,   6pt 1rb 3-3fg
"Jerebko, Jonas",NA,4.4,N/A,gsw,@ tor, 109-104,6:04,   2pt 2rb 1-4fg
"McKinnie, Alfonzo",NA,3.7,N/A,gsw,@ tor, 109-104,9:47,   2pt 1rb 1as 1to 1-3fg
"Looney, Kevon",NA,0.2,N/A,gsw,@ tor, 109-104,10:23,   0pt 1rb 1to
