Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Green, Draymond",PF,31.4,"$6,800",gsw,mem,away, 118-103,32:33,   6pt 7rb 6as 2st 2bl 4to 1trey 2-7fg 1-2ft,6,7,6,2,2,4,1
"Aminu, Al-Farouq",PF,29.7,"$5,100",por,chi,away, 118-98,23:13,   12pt 11rb 1as 1st 5-7fg 2-2ft,12,11,1,1,0,0,0
"Kuzma, Kyle",PF,29.4,"$6,300",lal,uta,away, 100-115,30:50,   21pt 2rb 2bl 2trey 8-18fg 3-4ft,21,2,0,0,2,0,2
"Crowder, Jae",SF,27.2,"$5,200",uta,lal,home, 115-100,24:45,   16pt 6rb 2as 1st 2to 3trey 4-9fg 5-6ft,16,6,2,1,0,2,3
"Stephenson, Lance",SF,25.9,"$3,900",lal,uta,away, 100-115,30:23,   10pt 2rb 5as 2st 1trey 3-11fg 3-4ft,10,2,5,2,0,0,1
"Collins, Zach",PF,25.6,"$4,800",por,chi,away, 118-98,25:04,   13pt 3rb 2as 2bl 2trey 4-6fg 3-3ft,13,3,2,0,2,0,2
"Bender, Dragan",PF,25.2,"$3,700",pho,was,home, 121-124,30:35,   12pt 6rb 1st 2bl 3to 3trey 4-6fg 1-2ft,12,6,0,1,2,3,3
"Parsons, Chandler",SF,23.5,"$4,000",mem,gsw,home, 103-118,24:42,   13pt 5rb 1as 2st 3to 1trey 5-9fg 2-2ft,13,5,1,2,0,3,1
"Williams, Johnathan",PF,22.7,"$3,500",lal,uta,away, 100-115,22:23,   8pt 6rb 1as 2st 3-7fg 2-6ft,8,6,1,2,0,0,0
"Hood, Rodney",SF,22.4,"$4,500",por,chi,away, 118-98,24:14,   15pt 2rb 2as 1bl 1to 2trey 6-10fg 1-1ft,15,2,2,0,1,1,2
"Holmes, Richaun",PF,22.3,"$4,000",pho,was,home, 121-124,21:09,   7pt 4rb 1as 2st 1bl 1-4fg 5-6ft,7,4,1,2,1,0,0
"Portis, Bobby",PF,21.8,"$6,500",was,pho,away, 124-121,22:33,   6pt 9rb 2as 1st 1to 2-8fg 2-2ft,6,9,2,1,0,1,0
"Young, Thaddeus",PF,21.5,"$6,200",ind,okc,away, 99-107,28:11,   11pt 5rb 1as 1st 1trey 4-9fg 2-2ft,11,5,1,1,0,0,1
"Bridges, Mikal",SF,21.3,"$5,500",pho,was,home, 121-124,34:10,   4pt 4rb 5as 2st 1to 1-6fg 2-2ft,4,4,5,2,0,1,0
"Layman, Jake",SF,17.9,"$3,500",por,chi,away, 118-98,19:19,   8pt 2rb 1as 2st 2-3fg 4-5ft,8,2,1,2,0,0,0
"Green, Jeff",SF,17,"$4,400",was,pho,away, 124-121,9:33,   5pt 3st 1bl 2-6fg 1-1ft,5,0,0,3,1,0,0
"Evans, Tyreke",SF,16.9,"$4,800",ind,okc,away, 99-107,19:37,   7pt 2rb 5as 1st 3to 3-9fg 1-2ft,7,2,5,1,0,3,0
"Sefolosha, Thabo",SF,15.8,"$3,500",uta,lal,home, 115-100,10:43,   11pt 4rb 2trey 3-5fg 3-4ft,11,4,0,0,0,0,2
"Turner, Evan",SF,15.4,"$3,500",por,chi,away, 118-98,22:17,   2pt 2rb 8as 1to 1-5fg,2,2,8,0,0,1,0
"Harkless, Maurice",SF,12.3,"$5,400",por,chi,away, 118-98,19:41,   4pt 4rb 1as 1st 1to 1-8fg 2-2ft,4,4,1,1,0,1,0
"Leonard, Meyers",PF,11.8,"$3,500",por,chi,away, 118-98,18:00,   4pt 4rb 2as 0-3fg 4-4ft,4,4,2,0,0,0,0
"Bonga, Isaac",SF,10.1,"$3,500",lal,uta,away, 100-115,10:39,   2pt 3rb 1as 1st 1-3fg,2,3,1,1,0,0,0
