Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Russell, D'Angelo",SG,53,"$7,900",bkn,@ lac, 116-119,32:50,   32pt 5rb 10as 1st 3to 6trey 13-25fg 0-1ft
"Paul, Chris",PG,50.4,"$8,100",hou,v min, 117-102,28:58,   25pt 7rb 10as 1st 1to 6trey 8-12fg 3-3ft
"Butler, Jimmy",SG,45.7,"$8,400",phi,@ mil, 130-125,34:09,   27pt 6rb 3as 3st 2to 2trey 8-16fg 9-13ft
"Caruso, Alex",PG,42.6,"$3,900",lal,@ nyk, 123-124,27:48,   12pt 3rb 2as 5st 3bl 1trey 3-6fg 5-6ft
"Mudiay, Emmanuel",PG,41.4,"$4,900",nyk,v lal, 124-123,32:47,   28pt 2rb 8as 1bl 4to 3trey 8-11fg 9-10ft
"Lamb, Jeremy",SG,38.3,"$6,400",cha,@ mia, 75-93,33:17,   21pt 4rb 1as 4st 1to 3trey 8-20fg 2-2ft
"Harden, James",SG,37.4,"$12,600",hou,v min, 117-102,31:48,   20pt 2rb 10as 1st 3to 4trey 8-24fg
"LaVine, Zach",SG,36.1,"$8,300",chi,@ sac, 102-129,29:11,   18pt 3rb 3as 3st 1bl 2to 2trey 7-18fg 2-3ft
"Young, Trae",PG,35.7,"$8,200",atl,@ orl, 91-101,32:03,   20pt 6rb 5as 1st 2to 9-18fg 2-3ft
"Hield, Buddy",SG,35.6,"$6,700",sac,v chi, 129-102,24:56,   16pt 3rb 4as 3st 1bl 2to 2trey 6-12fg 2-2ft
"Middleton, Khris",SG,35.4,"$7,200",mil,v phi, 125-130,35:45,   19pt 7rb 6as 1to 3trey 8-18fg
"Smith, Ishmael",PG,35,"$4,300",det,v tor, 110-107,23:46,   8pt 5rb 8as 3st 4-9fg
"Fox, De'Aaron",PG,33.3,"$8,000",sac,v chi, 129-102,25:03,   17pt 4rb 3as 2st 1bl 2to 2trey 6-12fg 3-4ft
"Williams, Louis",SG,33.2,"$7,600",lac,v bkn, 119-116,26:32,   25pt 6rb 2as 2to 2trey 8-16fg 7-7ft
"Okogie, Josh",SG,32.5,"$3,600",min,@ hou, 102-117,34:32,   21pt 5rb 3as 1st 2to 3trey 8-14fg 2-4ft
"Augustin, D.J.",PG,31.9,"$4,900",orl,v atl, 101-91,32:15,   11pt 2rb 9as 2st 1to 2trey 4-10fg 1-1ft
"Dotson, Damyean",SG,31.7,"$5,900",nyk,v lal, 124-123,41:20,   25pt 6rb 1as 2to 3trey 10-20fg 2-2ft
"Wade, Dwyane",SG,31.6,"$5,600",mia,v cha, 93-75,28:28,   17pt 8rb 2as 1bl 1to 2trey 6-14fg 3-3ft
"Jackson, Reggie",PG,31.4,"$5,000",det,v tor, 110-107,24:14,   20pt 2rb 4as 1st 2trey 5-10fg 8-9ft
"Bledsoe, Eric",PG,31,"$7,000",mil,v phi, 125-130,33:11,   12pt 5rb 6as 2st 2to 1trey 5-14fg 1-3ft
"Gilgeous-Alexander, Shai",PG,29.4,"$5,000",lac,v bkn, 119-116,35:34,   14pt 2rb 10as 2to 3trey 5-12fg 1-2ft
"Simmons, Ben",PG,29.3,"$9,700",phi,@ mil, 130-125,34:48,   8pt 9rb 9as 3to 4-8fg 0-2ft
"Dragic, Goran",PG,26.4,"$4,300",mia,v cha, 93-75,27:32,   19pt 2rb 4as 1to 4trey 7-11fg 1-1ft
"Wiggins, Andrew",SG,25.8,"$6,300",min,@ hou, 102-117,32:21,   14pt 4rb 2as 1st 1bl 2to 2trey 6-17fg
"Bogdanovic, Bogdan",SG,25.7,"$5,100",sac,v chi, 129-102,22:36,   8pt 6rb 3as 2st 2trey 3-6fg
"LeVert, Caris",SG,25.3,"$5,200",bkn,@ lac, 116-119,31:49,   12pt 4rb 7as 2to 6-15fg 0-1ft
"Harrison, Shaquille",PG,25.3,"$3,500",chi,@ sac, 102-129,19:55,   11pt 4rb 7as 1st 4to 5-6fg 1-1ft
"Dinwiddie, Spencer",PG,24.3,"$6,900",bkn,@ lac, 116-119,33:14,   13pt 4rb 3as 1bl 1to 1trey 2-16fg 8-12ft
"Shumpert, Iman",SG,23.7,"$3,500",hou,v min, 117-102,30:40,   7pt 6rb 3as 2st 1to 1trey 3-7fg
"Fournier, Evan",SG,22.8,"$5,700",orl,v atl, 101-91,29:21,   11pt 4rb 4as 1st 2to 1trey 4-12fg 2-2ft
"Beverley, Patrick",PG,22.8,"$6,000",lac,v bkn, 119-116,27:37,   10pt 4rb 2as 2st 1to 2trey 4-5fg
"Shamet, Landry",PG,22.7,"$4,400",lac,v bkn, 119-116,26:56,   14pt 1rb 3as 1st 4trey 4-9fg 2-2ft
"VanVleet, Fred",PG,22.2,"$4,600",tor,@ det, 107-110,31:21,   17pt 1rb 4as 2to 4trey 6-10fg 1-2ft
"Walker, Kemba",PG,20.8,"$9,300",cha,@ mia, 75-93,35:39,   10pt 4rb 4as 1st 3to 2trey 4-16fg
"Green, Danny",SG,20.6,"$4,700",tor,@ det, 107-110,30:12,   12pt 3rb 4as 1to 4trey 4-9fg
"Gordon, Eric",SG,20.4,"$5,700",hou,v min, 117-102,25:42,   12pt 2rb 2as 1bl 4trey 4-12fg
"Waiters, Dion",SG,20.3,"$4,100",mia,v cha, 93-75,22:17,   12pt 4rb 3as 1to 4trey 4-10fg
"Temple, Garrett",SG,20.2,"$3,500",lac,v bkn, 119-116,20:39,   6pt 6rb 3st 2to 2-5fg 2-3ft
"Bazemore, Kent",SG,18.6,"$5,000",atl,@ orl, 91-101,25:14,   5pt 8rb 2as 1st 2to 1-6fg 3-4ft
"Rondo, Rajon",PG,18.5,"$6,800",lal,@ nyk, 123-124,28:27,   3pt 5rb 5as 1st 1to 1trey 1-4fg
"Dunn, Kris",PG,17.7,"$6,200",chi,@ sac, 102-129,19:58,   8pt 1rb 5as 1st 2to 4-11fg
"Connaughton, Pat",SG,17.1,"$4,500",mil,v phi, 125-130,24:38,   6pt 3rb 1as 1st 1bl 2trey 2-5fg
"Ross, Terrence",SG,16.3,"$5,900",orl,v atl, 101-91,24:29,   6pt 4rb 1as 3st 5to 1trey 2-8fg 1-1ft
"Selden, Wayne",SG,16.1,"$3,700",chi,@ sac, 102-129,24:18,   9pt 3rb 1as 1bl 1to 1trey 2-7fg 4-6ft
"Caldwell-Pope, Kentavious",SG,15.8,"$4,500",lal,@ nyk, 123-124,27:37,   11pt 4rb 2trey 4-11fg 1-1ft
"Graham, Treveon",SG,15.5,"$3,500",bkn,@ lac, 116-119,18:33,   2pt 5rb 3as 1st 1-4fg
"Galloway, Langston",SG,14.9,"$3,700",det,v tor, 110-107,28:10,   11pt 2rb 1as 1trey 4-7fg 2-2ft
"Hart, Josh",SG,14.6,"$4,000",lal,@ nyk, 123-124,19:04,   2pt 3rb 2as 2st 1-5fg
"McConnell, T.J.",PG,14.3,"$3,600",phi,@ mil, 130-125,17:33,   8pt 4rb 3as 3to 4-10fg
"Bullock, Reggie",SG,14,"$3,600",lal,@ nyk, 123-124,20:39,   14pt 2trey 6-10fg
"Arcidiacono, Ryan",PG,14,"$3,900",chi,@ sac, 102-129,20:03,   10pt 5rb 2to 2trey 4-6fg
"Luwawu, Timothe",SG,12.5,"$3,500",chi,@ sac, 102-129,22:23,   11pt 1as 3trey 4-8fg 0-1ft
"Jones, Tyus",PG,12.3,"$4,900",min,@ hou, 102-117,29:21,   0pt 4rb 5as 0-6fg 0-2ft
"Ellington, Wayne",SG,11.9,"$3,700",det,v tor, 110-107,25:50,   9pt 2rb 1as 1to 1trey 4-10fg
"Bayless, Jerryd",PG,11.6,"$3,700",min,@ hou, 102-117,15:31,   6pt 3rb 2as 1to 3-5fg
"Parker, Tony",PG,11.4,"$3,700",cha,@ mia, 75-93,17:26,   11pt 2rb 2to 1trey 4-5fg 2-2ft
"Carter-Williams, Michael",PG,11.3,"$3,500",orl,v atl, 101-91,15:45,   5pt 4rb 1as 0-3fg 5-8ft
"Allen, Kadeem",PG,10.7,"$3,900",nyk,v lal, 124-123,16:48,   7pt 1rb 3as 2to 1trey 2-2fg 2-2ft
"Lin, Jeremy",PG,9.9,"$3,600",tor,@ det, 107-110,16:39,   3pt 2rb 3as 1trey 1-4fg
"Kennard, Luke",SG,9.7,"$4,600",det,v tor, 110-107,27:35,   2pt 1rb 3as 1st 1to 1-1fg
"Adams, Jaylen",SG,9.1,"$3,500",atl,@ orl, 91-101,15:57,   5pt 3rb 1as 1to 1trey 2-5fg 0-1ft
"Ferrell, Yogi",PG,8,"$3,500",sac,v chi, 129-102,12:00,   5pt 1st 1trey 2-4fg
"Brown, Bruce",SG,7.7,"$3,500",det,v tor, 110-107,14:05,   2pt 1rb 1as 1st 1-6fg
"Huerter, Kevin",SG,7.6,"$5,300",atl,@ orl, 91-101,22:27,   3pt 3rb 1bl 2to 1trey 1-7fg
"Trier, Allonzo",SG,6.7,"$4,200",nyk,v lal, 124-123,15:55,   4pt 1rb 3as 3to 2-5fg 0-2ft
"Hill, George",PG,5.9,"$3,500",mil,v phi, 125-130,10:51,   2pt 2rb 1as 1-2fg
"Blakeney, Antonio",SG,5.4,"$3,500",chi,@ sac, 102-129,12:00,   4pt 2rb 1to 2-6fg 0-1ft
"Burks, Alec",SG,5.4,"$3,500",sac,v chi, 129-102,9:31,   0pt 2rb 2as
"Mason III, Frank",SG,4,"$3,500",sac,v chi, 129-102,7:06,   4pt 2-5fg
"Reynolds, Cameron",SG,2.4,"$3,600",min,@ hou, 102-117,14:59,   0pt 2rb 0-2fg
"McCaw, Patrick",SG,1.2,"$3,600",tor,@ det, 107-110,9:32,   0pt 1rb
"McGruder, Rodney",SG,1.2,"$3,600",mia,v cha, 93-75,3:14,   0pt 1rb
"Robinson, Duncan",SG,0,"$3,500",mia,v cha, 93-75,00:11,   0pt
"Thornwell, Sindarius",SG,0,"$3,500",lac,v bkn, 119-116,1:08,   0pt
"Monk, Malik",SG,0,"$3,500",cha,@ mia, 75-93,3:34,   0pt 0-1fg
"Snell, Tony",SG,0,"$3,600",mil,v phi, 125-130,8:15,   0pt 0-1fg
"Terrell, Jared",SG,0,"$3,500",min,@ hou, 102-117,3:08,   0pt 0-1fg
"Ingram, Andre",SG,0,"$3,500",lal,@ nyk, 123-124,DNP,   
"Wallace, Tyrone",SG,0,"$3,500",lac,v bkn, 119-116,DNP,   
"Anderson, Justin",SG,0,"$3,500",atl,@ orl, 91-101,DNP,   
"Robinson, Jerome",PG,0,"$3,500",lac,v bkn, 119-116,DNP,   
"Graham, Devonte'",PG,0,"$3,500",cha,@ mia, 75-93,DNP,   
"Thomas, Khyri",SG,0,"$3,500",det,v tor, 110-107,DNP,   
"Rose, Derrick",PG,0,"$5,000",min,@ hou, 102-117,DNP,   
"Grant, Jerian",PG,0,"$3,600",orl,v atl, 101-91,DNP,   
"DiVincenzo, Donte",SG,0,"$3,500",mil,v phi, 125-130,DNP,   
"Napier, Shabazz",PG,0,"$3,500",bkn,@ lac, 116-119,DNP,   
"Rivers, Austin",SG,0,"$3,500",hou,v min, 117-102,DNP,   
"Chealey, Joe",PG,0,"$3,500",cha,@ mia, 75-93,NA,   
"Korkmaz, Furkan",SG,0,"$3,600",phi,@ mil, 130-125,NA,   
"Ntilikina, Frank",PG,0,"$3,500",nyk,v lal, 124-123,NA,   
"Milton, Shake",SG,0,"$3,500",phi,@ mil, 130-125,NA,   
"Bibbs, Justin",SG,0,"$3,500",lac,v bkn, 119-116,NA,   
"Mack, Shelvin",PG,0,"$3,600",cha,@ mia, 75-93,NA,   
"Fultz, Markelle",SG,0,"$3,500",orl,v atl, 101-91,NA,   
"Alkins, Rawle",SG,0,"$3,500",chi,@ sac, 102-129,NA,   
"Brogdon, Malcolm",SG,0,"$6,200",mil,v phi, 125-130,NA,   
"Ball, Lonzo",PG,0,"$3,500",lal,@ nyk, 123-124,NA,   
"Calderon, Jose",PG,0,"$3,500",det,v tor, 110-107,NA,   
"Cooke, Charles",SG,0,"$3,500",mia,v cha, 93-75,NA,   
"Sampson, Brandon",SG,0,"$3,500",chi,@ sac, 102-129,NA,   
"Duval, Trevon",PG,0,"$3,500",mil,v phi, 125-130,NA,   
"Smith, Zhaire",SG,0,"$3,500",phi,@ mil, 130-125,NA,   
"Caupain, Troy",PG,0,"$3,500",orl,v atl, 101-91,NA,   
"Lowry, Kyle",PG,0,"$8,200",tor,@ det, 107-110,NA,   
"Briscoe, Isaiah",PG,0,"$3,500",orl,v atl, 101-91,NA,   
"Loyd, Jordan",PG,0,"$3,500",tor,@ det, 107-110,NA,   
"Macura, J.P.",SG,0,"$3,500",cha,@ mia, 75-93,NA,   
"Brown, Sterling",SG,0,"$3,500",mil,v phi, 125-130,NA,   
"Lucas, Kalin",PG,0,"$3,500",det,v tor, 110-107,NA,   
"Mykhailiuk, Sviatoslav",SG,0,"$3,500",det,v tor, 110-107,NA,   
"Williams, C.J.",SG,0,"$3,700",min,@ hou, 102-117,NA,   
"Crabbe, Allen",SG,0,"$4,100",bkn,@ lac, 116-119,NA,   
"Teague, Jeff",PG,0,"$6,500",min,@ hou, 102-117,NA,   
"Smith Jr., Dennis",PG,0,"$5,500",nyk,v lal, 124-123,NA,   
"Whitehead, Isaiah",PG,0,"$3,500",det,v tor, 110-107,NA,   
"Antetokounmpo, Giannis",SF,89.7,"$12,000",mil,v phi, 125-130,36:12,   52pt 16rb 7as 2st 1bl 1to 3trey 15-26fg 19-21ft
"James, LeBron",SF,53.2,"$10,700",lal,@ nyk, 123-124,35:00,   33pt 6rb 8as 1bl 2to 11-26fg 11-13ft
"Leonard, Kawhi",SF,53,"$9,500",tor,@ det, 107-110,36:25,   33pt 10rb 2as 1st 1bl 1to 5trey 11-21fg 6-8ft
"Harrell, Montrezl",PF,44.5,"$7,800",lac,v bkn, 119-116,34:01,   20pt 10rb 1as 1st 3bl 1to 8-17fg 4-6ft
"Gallinari, Danilo",SF,42.7,"$7,100",lac,v bkn, 119-116,30:53,   20pt 11rb 5as 1st 1to 1trey 7-17fg 5-5ft
"Giles, Harry",PF,38.7,"$4,700",sac,v chi, 129-102,21:00,   16pt 6rb 3as 1st 3bl 1to 8-14fg
"Gordon, Aaron",PF,37.1,"$7,300",orl,v atl, 101-91,38:13,   22pt 8rb 3as 1st 2to 3trey 9-16fg 1-2ft
"Bagley, Marvin",PF,36.8,"$6,000",sac,v chi, 129-102,21:04,   21pt 9rb 2as 1bl 1to 9-14fg 3-3ft
"Adebayo, Bam",PF,35.3,"$5,800",mia,v cha, 93-75,30:50,   16pt 9rb 1as 2st 1bl 2to 7-10fg 2-4ft
"Hezonja, Mario",SF,35.1,"$3,800",nyk,v lal, 124-123,36:26,   17pt 8rb 1as 2st 1bl 2to 1trey 4-8fg 8-8ft
"Griffin, Blake",PF,34.1,"$8,500",det,v tor, 110-107,32:36,   25pt 8rb 3as 5to 4trey 9-21fg 3-5ft
"Carroll, DeMarre",SF,33.9,"$3,800",bkn,@ lac, 116-119,33:06,   22pt 7rb 1as 1st 1to 3trey 7-13fg 5-5ft
"Iwundu, Wes",SF,31.4,"$3,700",orl,v atl, 101-91,25:34,   14pt 7rb 1st 2bl 2trey 3-7fg 6-8ft
"Kuzma, Kyle",PF,30,"$6,500",lal,@ nyk, 123-124,33:25,   18pt 8as 1st 3to 8-14fg 2-2ft
"Gibson, Taj",PF,29.5,"$4,500",min,@ hou, 102-117,21:37,   15pt 10rb 1as 1bl 2to 4-7fg 7-9ft
"Harris, Tobias",PF,29.4,"$6,900",phi,@ mil, 130-125,34:09,   12pt 7rb 4as 1st 1trey 4-7fg 3-4ft
"Knox, Kevin",SF,27.7,"$4,400",nyk,v lal, 124-123,37:10,   19pt 6rb 1as 1st 3to 3trey 8-14fg
"Richardson, Josh",SF,26.7,"$6,100",mia,v cha, 93-75,38:07,   7pt 6rb 5as 2st 1to 2-17fg 3-4ft
"Jones, Derrick",SF,24.5,"$3,500",mia,v cha, 93-75,24:11,   6pt 5rb 1as 1st 3bl 1to 1trey 2-6fg 1-4ft
"Redick, J.J.",SF,24,"$5,400",phi,@ mil, 130-125,32:54,   19pt 1st 1bl 1to 4trey 7-10fg 1-2ft
"House, Danuel",SF,23.4,"$3,800",hou,v min, 117-102,28:20,   14pt 7rb 2as 2to 2trey 5-6fg 2-4ft
"Harris, Joe",SF,22.8,"$4,700",bkn,@ lac, 116-119,29:42,   12pt 4rb 2as 1st 1bl 3to 3trey 4-10fg 1-1ft
"Siakam, Pascal",PF,22.1,"$8,000",tor,@ det, 107-110,32:25,   12pt 3rb 3as 1st 1to 6-13fg
"Kaminsky, Frank",PF,21.9,"$4,200",cha,@ mia, 75-93,30:28,   13pt 7rb 1as 1to 3-10fg 7-9ft
"Collins, John",PF,21.9,"$9,100",atl,@ orl, 91-101,20:02,   10pt 7rb 1as 1bl 1to 5-9fg
