Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Lee, Damion",SG,0,"$3,500",gsw,@ mem, 118-103,NA,   
"Durant, Kevin",SF,50.3,"$9,400",gsw,@ mem, 118-103,35:15,   28pt 9rb 5as 2st 2to 1trey 12-13fg 3-3ft
"Parker, Jabari",SF,49.5,"$6,500",was,@ pho, 124-121,32:10,   28pt 15rb 3as 1to 2trey 9-16fg 8-10ft
"Caboclo, Bruno",SF,46.1,"$4,600",mem,v gsw, 103-118,36:55,   17pt 13rb 3as 1st 2bl 3trey 7-13fg
"Grant, Jerami",PF,44.4,"$5,500",okc,v ind, 107-99,36:42,   19pt 7rb 4as 1st 3bl 1to 5trey 7-16fg
"Ingles, Joe",SF,40.8,"$6,600",uta,v lal, 115-100,29:47,   11pt 9rb 14as 2to 3trey 4-10fg
"George, Paul",SF,38.3,"$10,400",okc,v ind, 107-99,39:25,   31pt 4rb 1as 1st 2to 4trey 12-25fg 3-3ft
"Sabonis, Domantas",PF,36,"$6,300",ind,@ okc, 99-107,30:42,   18pt 10rb 2as 1bl 8-13fg 2-5ft
"Bogdanovic, Bojan",SF,34.4,"$6,400",ind,@ okc, 99-107,33:47,   28pt 2rb 4as 2to 6trey 11-20fg
"Favors, Derrick",PF,32.2,"$7,400",uta,v lal, 115-100,23:18,   20pt 6rb 1st 1bl 1to 9-13fg 2-7ft
"Green, Draymond",PF,31.4,"$6,800",gsw,@ mem, 118-103,32:33,   6pt 7rb 6as 2st 2bl 4to 1trey 2-7fg 1-2ft
"Aminu, Al-Farouq",PF,29.7,"$5,100",por,@ chi, 118-98,23:13,   12pt 11rb 1as 1st 5-7fg 2-2ft
"Kuzma, Kyle",PF,29.4,"$6,300",lal,@ uta, 100-115,30:50,   21pt 2rb 2bl 2trey 8-18fg 3-4ft
"Crowder, Jae",SF,27.2,"$5,200",uta,v lal, 115-100,24:45,   16pt 6rb 2as 1st 2to 3trey 4-9fg 5-6ft
"Stephenson, Lance",SF,25.9,"$3,900",lal,@ uta, 100-115,30:23,   10pt 2rb 5as 2st 1trey 3-11fg 3-4ft
"Collins, Zach",PF,25.6,"$4,800",por,@ chi, 118-98,25:04,   13pt 3rb 2as 2bl 2trey 4-6fg 3-3ft
"Bender, Dragan",PF,25.2,"$3,700",pho,v was, 121-124,30:35,   12pt 6rb 1st 2bl 3to 3trey 4-6fg 1-2ft
"Parsons, Chandler",SF,23.5,"$4,000",mem,v gsw, 103-118,24:42,   13pt 5rb 1as 2st 3to 1trey 5-9fg 2-2ft
"Williams, Johnathan",PF,22.7,"$3,500",lal,@ uta, 100-115,22:23,   8pt 6rb 1as 2st 3-7fg 2-6ft
"Hood, Rodney",SF,22.4,"$4,500",por,@ chi, 118-98,24:14,   15pt 2rb 2as 1bl 1to 2trey 6-10fg 1-1ft
"Holmes, Richaun",PF,22.3,"$4,000",pho,v was, 121-124,21:09,   7pt 4rb 1as 2st 1bl 1-4fg 5-6ft
"Portis, Bobby",PF,21.8,"$6,500",was,@ pho, 124-121,22:33,   6pt 9rb 2as 1st 1to 2-8fg 2-2ft
"Young, Thaddeus",PF,21.5,"$6,200",ind,@ okc, 99-107,28:11,   11pt 5rb 1as 1st 1trey 4-9fg 2-2ft
"Bridges, Mikal",SF,21.3,"$5,500",pho,v was, 121-124,34:10,   4pt 4rb 5as 2st 1to 1-6fg 2-2ft
"Layman, Jake",SF,17.9,"$3,500",por,@ chi, 118-98,19:19,   8pt 2rb 1as 2st 2-3fg 4-5ft
"Green, Jeff",SF,17,"$4,400",was,@ pho, 124-121,9:33,   5pt 3st 1bl 2-6fg 1-1ft
"Evans, Tyreke",SF,16.9,"$4,800",ind,@ okc, 99-107,19:37,   7pt 2rb 5as 1st 3to 3-9fg 1-2ft
"Sefolosha, Thabo",SF,15.8,"$3,500",uta,v lal, 115-100,10:43,   11pt 4rb 2trey 3-5fg 3-4ft
