Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"DeRozan, DeMar",SG,55.8,"$8,900",sas,@ dal, 112-105,38:26,   33pt 4rb 6as 4st 3to 11-19fg 11-11ft
"McCollum, C.J.",SG,51.8,"$7,600",por,@ lac, 125-104,35:28,   35pt 4rb 4as 2st 6trey 12-21fg 5-6ft
"Payton, Elfrid",PG,51.5,"$7,000",nor,v mil, 113-130,34:27,   14pt 15rb 11as 1st 1bl 3to 2trey 6-15fg
"Simmons, Ben",PG,51,"$10,000",phi,v cle, 106-99,37:40,   26pt 10rb 8as 1st 2to 10-16fg 6-8ft
"Brunson, Jalen",PG,48,"$5,400",dal,v sas, 105-112,36:31,   34pt 5rb 4as 1st 1to 3trey 12-16fg 7-7ft
"Lillard, Damian",PG,44.6,"$9,700",por,@ lac, 125-104,33:53,   20pt 3rb 12as 2st 3to 3trey 8-14fg 1-1ft
"Collison, Darren",PG,44.5,"$6,800",ind,v nyk, 103-98,30:35,   16pt 5rb 9as 3st 5-11fg 6-6ft
"White, Derrick",PG,44.1,"$6,300",sas,@ dal, 112-105,32:48,   23pt 3rb 7as 3st 2to 3trey 10-16fg
"Murray, Jamal",PG,43.1,"$7,000",den,v min, 133-107,31:33,   30pt 3rb 1as 3st 1to 4trey 10-16fg 6-6ft
"Dunn, Kris",PG,41.9,"$5,900",chi,v lal, 107-123,32:57,   18pt 7rb 9as 2st 4to 2trey 8-16fg
"Rondo, Rajon",PG,37.8,"$7,100",lal,@ chi, 123-107,30:53,   14pt 4rb 10as 2st 2to 2trey 6-9fg
"Caldwell-Pope, Kentavious",SG,37.7,"$3,500",lal,@ chi, 123-107,31:24,   24pt 6rb 1as 2st 1to 4trey 7-11fg 6-6ft
"Middleton, Khris",SG,37.5,"$7,100",mil,@ nor, 130-113,29:59,   23pt 5rb 7as 2to 2trey 9-18fg 3-3ft
"Mudiay, Emmanuel",PG,36.8,"$4,200",nyk,@ ind, 98-103,32:27,   21pt 4rb 4as 2bl 1to 3trey 7-14fg 4-4ft
"Morris, Monte",SG,33,"$3,500",den,v min, 133-107,26:54,   16pt 5rb 6as 1st 1to 4trey 6-8fg
"Arcidiacono, Ryan",PG,32.8,"$3,500",chi,v lal, 107-123,31:33,   14pt 4rb 6as 2st 1to 2trey 5-8fg 2-2ft
"Bledsoe, Eric",PG,32.7,"$7,200",mil,@ nor, 130-113,28:41,   14pt 6rb 5as 2st 2to 1trey 6-15fg 1-2ft
"Sexton, Collin",PG,29.9,"$5,400",cle,@ phi, 99-106,35:24,   26pt 2rb 1as 4trey 11-20fg
"Dotson, Damyean",SG,29.7,"$5,200",nyk,@ ind, 98-103,36:22,   18pt 6rb 3as 1st 3to 4trey 6-16fg 2-2ft
