Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Westbrook, Russell",PG,65.9,"$11,700",okc,v bkn, 108-96,35:49,   31pt 12rb 11as 3st 5to 4trey 12-23fg 3-5ft
"Harden, James",SG,54.6,"$12,200",hou,v gsw, 104-106,37:24,   29pt 3rb 10as 3st 2to 2trey 10-23fg 7-9ft
"Beal, Bradley",SG,45.7,"$11,200",was,v orl, 100-90,39:06,   23pt 6rb 7as 2st 1to 2trey 10-22fg 1-2ft
"Curry, Stephen",PG,41.3,"$9,200",gsw,@ hou, 106-104,35:21,   24pt 4rb 5as 2st 1to 3trey 8-20fg 5-5ft
"Young, Trae",PG,40.6,"$8,300",atl,v mem, 132-111,24:49,   22pt 3rb 8as 1st 3trey 8-12fg 3-3ft
"Thompson, Klay",SG,40.2,"$8,000",gsw,@ hou, 106-104,35:44,   30pt 6rb 2as 5trey 12-23fg 1-1ft
"Booker, Devin",SG,39.8,"$9,000",pho,v uta, 97-114,35:36,   27pt 4rb 6as 1bl 4to 2trey 9-20fg 7-9ft
"Conley, Mike",PG,37.3,"$9,200",mem,@ atl, 111-132,25:55,   20pt 4rb 7as 1st 1to 1trey 6-14fg 7-8ft
"Mitchell, Donovan",SG,36,"$9,400",uta,@ pho, 114-97,33:55,   26pt 5rb 2as 1st 2to 4trey 10-18fg 2-2ft
"Russell, D'Angelo",SG,35.3,"$8,000",bkn,@ okc, 96-108,33:41,   14pt 4rb 7as 3st 3to 2trey 6-18fg
"Wright, Delon",SG,35.1,"$5,300",mem,@ atl, 111-132,29:44,   10pt 3rb 7as 2st 2bl 1to 4-12fg 2-4ft
"Dinwiddie, Spencer",PG,34,"$6,800",bkn,@ okc, 96-108,27:24,   25pt 5rb 2as 1bl 3to 2trey 8-17fg 7-10ft
"Huerter, Kevin",SG,33,"$4,500",atl,v mem, 132-111,26:56,   16pt 5rb 4as 1st 1bl 1to 4trey 6-10fg
"Paul, Chris",PG,32.7,"$8,500",hou,v gsw, 104-106,33:06,   24pt 6rb 3as 3to 2trey 7-12fg 8-8ft
