Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Tolliver, Anthony",4,0,3500,min,hou,home, 103-91,DNP,0,0,0,0,0,0,0,0,0,0,0
"Kornet, Luke",4,0,3500,nyk,was,home, 107-110,DNP,0,0,0,0,0,0,0,0,0,0,0
"Harris, Joe",3,0,4500,bkn,cle,home, 97-99,DNP,0,0,0,0,0,0,0,0,0,0,0
"Zizic, Ante",4,0,3500,cle,bkn,away, 99-97,DNP,0,0,0,0,0,0,0,0,0,0,0
"Chriss, Marquese",4,0,3500,hou,min,away, 91-103,DNP,0,0,0,0,0,0,0,0,0,0,0
"Nunnally, James",3,0,3500,min,hou,home, 103-91,DNP,0,0,0,0,0,0,0,0,0,0,0
"White, Okaro",3,0,3500,was,nyk,away, 110-107,DNP,0,0,0,0,0,0,0,0,0,0,0
"Mirotic, Nikola",3,0,8000,nor,lac,home, 126-129,DNP,0,0,0,0,0,0,0,0,0,0,0
"Brown Jr., Troy",3,0,3500,was,nyk,away, 110-107,DNP,0,0,0,0,0,0,0,0,0,0,0
"Diallo, Cheick",4,0,3500,nor,lac,home, 126-129,DNP,0,0,0,0,0,0,0,0,0,0,0
"Faried, Kenneth",4,0,3500,bkn,cle,home, 97-99,DNP,0,0,0,0,0,0,0,0,0,0,0
"Smith, Jason",4,0,3500,was,nyk,away, 110-107,DNP,0,0,0,0,0,0,0,0,0,0,0
"Deng, Luol",3,0,3500,min,hou,home, 103-91,DNP,0,0,0,0,0,0,0,0,0,0,0
"Lydon, Tyler",3,0,3500,den,tor,away, 106-103,DNP,0,0,0,0,0,0,0,0,0,0,0
"Frye, Channing",4,0,3500,cle,bkn,away, 99-97,DNP,0,0,0,0,0,0,0,0,0,0,0
"Hartenstein, Isaiah",4,0,3500,hou,min,away, 91-103,DNP,0,0,0,0,0,0,0,0,0,0,0
"Robinson, Devin",3,0,3500,was,nyk,away, 110-107,NA,0,0,0,0,0,0,0,0,0,0,0
"Williams, Kenrich",4,0,3500,nor,lac,home, 126-129,NA,0,0,0,0,0,0,0,0,0,0,0
"Mbah a Moute, Luc",4,0,3600,lac,nor,away, 129-126,NA,0,0,0,0,0,0,0,0,0,0,0
"Poythress, Alex",4,0,3500,atl,gsw,home, 111-128,NA,0,0,0,0,0,0,0,0,0,0,0
"Thomas, Lance",3,0,3500,nyk,was,home, 107-110,NA,0,0,0,0,0,0,0,0,0,0,0
"Bates-Diop, Keita",3,0,3500,min,hou,home, 103-91,NA,0,0,0,0,0,0,0,0,0,0,0
"Boucher, Chris",4,0,3500,tor,den,home, 103-106,NA,0,0,0,0,0,0,0,0,0,0,0
"Anthony, Carmelo",3,0,3500,hou,min,away, 91-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Vanderbilt, Jarred",3,0,3500,den,tor,away, 106-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Green, Draymond",4,0,7500,gsw,atl,away, 128-111,NA,0,0,0,0,0,0,0,0,0,0,0
"Qi, Zhou",4,0,3500,hou,min,away, 91-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Motley, Johnathan",4,0,3500,lac,nor,away, 129-126,NA,0,0,0,0,0,0,0,0,0,0,0
"Barton, Will",3,0,6700,den,tor,away, 106-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Powell, Norman",3,0,3500,tor,den,home, 103-106,NA,0,0,0,0,0,0,0,0,0,0,0
"Ellenson, Henry",4,0,3600,det,okc,home, 83-110,NA,0,0,0,0,0,0,0,0,0,0,0
"Pinson, Theo",3,0,3500,bkn,cle,home, 97-99,NA,0,0,0,0,0,0,0,0,0,0,0
"Hicks, Isaiah",4,0,3500,nyk,was,home, 107-110,NA,0,0,0,0,0,0,0,0,0,0,0
"Dekker, Sam",3,0,4000,cle,bkn,away, 99-97,NA,0,0,0,0,0,0,0,0,0,0,0
"Porter, Michael",4,0,4100,den,tor,away, 106-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Edwards, Vincent",3,0,3500,hou,min,away, 91-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Williams, Alan",4,0,3800,bkn,cle,home, 97-99,NA,0,0,0,0,0,0,0,0,0,0,0
"Love, Kevin",4,0,3500,cle,bkn,away, 99-97,NA,0,0,0,0,0,0,0,0,0,0,0
"McKinnie, Alfonzo",3,0,3500,gsw,atl,away, 128-111,NA,0,0,0,0,0,0,0,0,0,0,0
"Nader, Abdel",3,-0.6,3500,okc,det,away, 110-83,5:07,0,2,0,0,0,3,0,0,0,0,0
"Jokic, Nikola",5,62.7,8500,den,tor,away, 106-103,35:30,23,11,15,2,0,2,0,8,13,7,8
"Randle, Julius",5,52.6,7100,nor,lac,home, 126-129,39:15,37,8,4,0,0,0,3,15,24,4,7
"Towns, Karl-Anthony",5,50.7,9400,min,hou,home, 103-91,32:39,24,11,3,3,1,3,1,10,24,3,4
"Capela, Clint",5,45.1,8700,hou,min,away, 91-103,37:55,24,8,3,0,3,2,0,11,14,2,2
"Thompson, Tristan",5,42.8,6700,cle,bkn,away, 99-97,34:13,19,14,2,0,2,2,0,8,11,3,4
"Looney, Kevon",5,37.3,3800,gsw,atl,away, 128-111,28:49,14,4,5,2,2,1,0,7,9,0,2
"Kanter, Enes",5,36.2,7400,nyk,was,home, 107-110,25:03,13,16,2,1,0,2,0,6,10,1,2
"Adams, Steven",5,34.7,7300,okc,det,away, 110-83,27:38,21,6,1,0,2,1,0,7,8,7,7
"Dedmon, Dewayne",5,34.5,5000,atl,gsw,home, 111-128,31:04,6,10,1,4,1,0,0,3,8,0,0
"Noel, Nerlens",5,33.6,4000,okc,det,away, 110-83,20:22,12,8,0,2,2,0,0,6,9,0,0
"Plumlee, Mason",5,25.1,5800,den,tor,away, 106-103,18:33,4,8,1,2,2,2,0,2,6,0,2
"Drummond, Andre",5,22.2,10000,det,okc,home, 83-110,22:53,13,6,0,1,0,1,0,6,14,1,2
"Valanciunas, Jonas",5,22,4800,tor,den,home, 103-106,18:20,8,10,0,0,1,1,0,3,6,2,2
"Bell, Jordan",5,20.7,3500,gsw,atl,away, 128-111,19:05,6,6,3,1,1,3,0,3,7,0,0
"Pachulia, Zaza",5,18.2,3600,det,okc,home, 83-110,14:09,0,6,2,2,1,1,0,0,2,0,0
"Gortat, Marcin",5,17.4,3700,lac,nor,away, 129-126,20:49,4,7,4,0,0,1,0,2,4,0,0
"Robinson, Mitchell",5,16.2,3700,nyk,was,home, 107-110,14:12,4,1,2,0,3,1,0,1,2,2,2
"Allen, Jarrett",5,16.1,6300,bkn,cle,home, 97-99,32:24,9,3,1,0,1,1,1,4,7,0,0
"Bryant, Thomas",5,15.7,3600,was,nyk,away, 110-107,18:46,8,6,1,0,0,1,0,3,4,2,2
"Dieng, Gorgui",5,6.2,3700,min,hou,home, 103-91,13:11,4,1,0,0,1,2,0,2,3,0,0
