Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Curry, Stephen",PG,47.5,"$10,300",gsw,@ tor, 109-118,40:16,   34pt 5rb 5as 1st 3to 4trey 8-18fg 14-14ft
"Lowry, Kyle",PG,27.7,"$6,800",tor,v gsw, 118-109,36:14,   7pt 6rb 9as 1st 3to 1trey 2-9fg 2-2ft
"Thompson, Klay",SG,26.5,"$8,000",gsw,@ tor, 109-118,39:19,   21pt 5rb 1as 2to 3trey 8-17fg 2-2ft
"Iguodala, Andre",SG,24.7,"$5,800",gsw,@ tor, 109-118,29:11,   6pt 6rb 7as 1bl 2to 3-7fg
"Green, Danny",SG,23.9,"$4,600",tor,v gsw, 118-109,29:41,   11pt 2rb 1as 1st 2bl 3trey 4-9fg
"Livingston, Shaun",PG,18.3,"$3,500",gsw,@ tor, 109-118,17:30,   6pt 4rb 1as 1st 1bl 2-6fg 2-2ft
"VanVleet, Fred",PG,18.2,"$3,500",tor,v gsw, 118-109,33:06,   15pt 1rb 2as 1to 1trey 5-8fg 4-6ft
"Cook, Quinn",PG,7.5,"$3,500",gsw,@ tor, 109-118,9:17,   6pt 1as 1trey 2-4fg 1-1ft
"McCaw, Patrick",SG,4.5,"$3,500",tor,v gsw, 118-109,6:50,   3pt 1as 1trey 1-2fg
"Evans III, Jacob",SG,0,"$3,500",gsw,@ tor, 109-118,00:03,   0pt
"Lin, Jeremy",PG,0,"$3,500",tor,v gsw, 118-109,DNP,   
"Meeks, Jodie",SG,0,"$3,500",tor,v gsw, 118-109,DNP,   
"Siakam, Pascal",PF,56.1,"$7,800",tor,v gsw, 118-109,39:45,   32pt 8rb 5as 1st 2bl 2to 2trey 14-17fg 2-2ft
"Leonard, Kawhi",SF,41.1,"$10,600",tor,v gsw, 118-109,43:03,   23pt 8rb 5as 1st 2to 3trey 5-14fg 10-12ft
"Green, Draymond",PF,34,"$9,500",gsw,@ tor, 109-118,40:22,   10pt 10rb 10as 1st 6to 2-9fg 6-6ft
"Looney, Kevon",PF,16.1,"$5,400",gsw,@ tor, 109-118,28:20,   9pt 3rb 1as 1st 1to 4-5fg 1-2ft
"Ibaka, Serge",PF,11.1,"$4,800",tor,v gsw, 118-109,17:03,   5pt 3rb 1as 1bl 2to 2-7fg 1-2ft
"Jerebko, Jonas",PF,7.2,"$3,600",gsw,@ tor, 109-118,7:35,   6pt 1rb 2trey 2-4fg
"McKinnie, Alfonzo",SF,6.2,"$3,500",gsw,@ tor, 109-118,8:26,   6pt 1rb 1to 2trey 2-4fg
"Powell, Norman",SF,3.2,"$4,100",tor,v gsw, 118-109,4:35,   2pt 1rb 0-1fg 2-2ft
"Moreland, Eric",PF,0,"$3,500",tor,v gsw, 118-109,DNP,   
"Miller, Malcolm",PF,0,"$3,500",tor,v gsw, 118-109,DNP,   
"Boucher, Chris",PF,0,"$3,500",tor,v gsw, 118-109,NA,   
"Durant, Kevin",SF,0,"$11,000",gsw,@ tor, 109-118,NA,   
"Anunoby, OG",SF,0,"$3,500",tor,v gsw, 118-109,NA,   
"Gasol, Marc",C,38.9,"$6,600",tor,v gsw, 118-109,29:43,   20pt 7rb 1as 2st 1bl 2trey 6-10fg 6-6ft
"Cousins, DeMarcus",C,11,"$3,500",gsw,@ tor, 109-118,8:04,   3pt 2as 2st 1to 0-2fg 3-4ft
"Bell, Jordan",C,7.1,"$4,000",gsw,@ tor, 109-118,11:37,   2pt 3rb 1as 1-2fg
"Bogut, Andrew",C,0,"$3,500",gsw,@ tor, 109-118,DNP,   
"Jones, Damian",C,0,"$3,500",gsw,@ tor, 109-118,NA,   
