Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Antetokounmpo, Giannis",NA,58.7,N/A,,v , 178-,27:09,   38pt 11rb 5as 1st 3to 2trey 17-23fg 2-2ft
"Durant, Kevin",NA,49.4,N/A,,@ , 178-,25:26,   31pt 7rb 2as 1st 2bl 2to 6trey 10-15fg 5-5ft
"James, LeBron",NA,39.6,N/A,,@ , 178-,26:32,   19pt 8rb 4as 2bl 1to 1trey 9-17fg 0-1ft
"Thompson, Klay",NA,38.6,N/A,,@ , 178-,22:18,   20pt 8rb 4as 1st 6trey 7-16fg
"Irving, Kyrie",NA,37.8,N/A,,@ , 178-,24:45,   13pt 9rb 6as 1st 1bl 1to 1trey 6-12fg
"Lillard, Damian",NA,37.7,N/A,,@ , 178-,24:41,   18pt 6rb 5as 2st 1to 6trey 6-17fg
"George, Paul",NA,37.4,N/A,,v , 178-,25:41,   20pt 2rb 4as 3st 6trey 7-14fg
"Curry, Stephen",NA,36.3,N/A,,v , 178-,29:25,   17pt 9rb 7as 2to 4trey 6-23fg 1-1ft
"Middleton, Khris",NA,31,N/A,,v , 178-,21:37,   20pt 5rb 4as 1to 6trey 7-13fg
"Leonard, Kawhi",NA,31,N/A,,@ , 178-,18:33,   19pt 5rb 2as 1bl 5trey 7-14fg
"Embiid, Joel",NA,30.9,N/A,,v , 178-,23:11,   10pt 12rb 1as 1st 1bl 1to 4-12fg 2-4ft
"Simmons, Ben",NA,30.7,N/A,,@ , 178-,16:35,   10pt 6rb 7as 1st 5-5fg
"Westbrook, Russell",NA,28.3,N/A,,v , 178-,19:20,   17pt 4rb 3as 1st 1to 1trey 8-20fg
"Griffin, Blake",NA,21.7,N/A,,v , 178-,19:41,   10pt 6rb 3as 2trey 4-8fg
"Harden, James",NA,21.3,N/A,,@ , 178-,26:13,   12pt 4rb 3as 1st 3to 4trey 4-13fg
"Walker, Kemba",NA,20.2,N/A,,v , 178-,20:19,   4pt 1rb 8as 1st 2-8fg
"Beal, Bradley",NA,19.7,N/A,,@ , 178-,17:42,   11pt 1rb 3as 1st 3trey 4-11fg
"Towns, Karl-Anthony",NA,19.1,N/A,,@ , 178-,11:08,   11pt 3rb 1as 1st 1trey 5-7fg
"Vucevic, Nikola",NA,16,N/A,,v , 178-,11:37,   4pt 5rb 2as 1st 2-2fg
"Jokic, Nikola",NA,15.8,N/A,,v , 178-,13:11,   6pt 9rb 1to 3-4fg
"Wade, Dwyane",NA,14.4,N/A,,@ , 178-,10:26,   7pt 2rb 4as 1to 1trey 2-4fg 2-2ft
"Russell, D'Angelo",NA,10.7,N/A,,v , 178-,12:04,   6pt 1rb 3as 1to 2trey 2-5fg
"Lowry, Kyle",NA,10.1,N/A,,v , 178-,12:44,   3pt 3rb 3as 1to 1trey 1-5fg
"Aldridge, LaMarcus",NA,8.3,N/A,,@ , 178-,10:47,   2pt 4rb 1as 1-2fg
"Nowitzki, Dirk",NA,8,N/A,,v , 178-,3:58,   9pt 1to 3trey 3-3fg
"Davis, Anthony",NA,6.2,N/A,,@ , 178-,4:53,   5pt 1rb 1trey 2-2fg
