Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Holiday, Jrue",SG,53.3,"$9,400",nor,v min, 122-117,36:07,   27pt 4rb 9as 3st 1bl 4to 1trey 8-21fg 10-10ft
"Beal, Bradley",SG,51.7,"$9,400",was,v cle, 119-106,37:20,   25pt 6rb 13as 2st 6to 2trey 9-20fg 5-5ft
"Wiggins, Andrew",SG,49.5,"$6,000",min,@ nor, 117-122,35:27,   23pt 10rb 7as 2bl 2to 1trey 10-17fg 2-3ft
"Smith Jr., Dennis",PG,47.4,"$6,600",nyk,@ det, 103-120,34:50,   31pt 2rb 8as 2st 4to 2trey 9-15fg 11-19ft
"Butler, Jimmy",SG,46.9,"$8,200",phi,v den, 117-110,35:42,   22pt 7rb 5as 3st 4-9fg 14-14ft
"Thompson, Klay",SG,45.2,"$7,000",gsw,@ pho, 117-107,36:09,   25pt 6rb 2as 1st 3bl 2to 4trey 9-17fg 3-4ft
"Curry, Stephen",PG,42.9,"$9,200",gsw,@ pho, 117-107,35:33,   20pt 7rb 7as 1st 1bl 2to 3trey 6-17fg 5-6ft
"LaVine, Zach",SG,42.1,"$7,800",chi,@ bkn, 125-106,37:24,   26pt 3rb 5as 2st 1to 1trey 10-17fg 5-7ft
"Frazier, Tim",PG,40.8,"$4,100",nor,v min, 122-117,31:50,   12pt 9rb 8as 2st 2trey 5-8fg
"Murray, Jamal",PG,40,"$6,700",den,@ phi, 110-117,35:41,   23pt 5rb 6as 1bl 1to 2trey 9-20fg 3-3ft
"Hield, Buddy",SG,36.9,"$6,500",sac,v mia, 102-96,34:10,   23pt 7rb 1as 2bl 2to 4trey 8-16fg 3-4ft
"Clarkson, Jordan",SG,36.7,"$5,800",cle,@ was, 106-119,31:41,   24pt 6rb 3as 1st 2to 2trey 6-18fg 10-11ft
"Russell, D'Angelo",SG,36.2,"$8,800",bkn,v chi, 106-125,32:24,   23pt 1rb 6as 2st 3to 1trey 8-21fg 6-6ft
"Sexton, Collin",PG,34.6,"$5,000",cle,@ was, 106-119,37:39,   27pt 3rb 4as 2to 3trey 10-18fg 4-4ft
