Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Smith, Jason",PF,0,"$3,500",nor,@ mem, 90-99,DNP,   
"Edwards, Vincent",SF,0,"$3,500",hou,v okc, 112-117,DNP,   
"Robinson, Devin",SF,0,"$3,500",was,@ chi, 134-125,NA,   
"Poythress, Alex",PF,0,"$3,500",atl,v cha, 120-129,NA,   
"Grantham, Donte",SF,0,"$3,500",okc,@ hou, 117-112,NA,   
"Carter Jr., Wendell",PF,0,"$5,700",chi,v was, 125-134,NA,   
"Brown Jr., Troy",SF,0,"$3,500",was,@ chi, 134-125,NA,   
"Parsons, Chandler",SF,0,"$3,500",mem,v nor, 99-90,NA,   
"Colson, Bonzie",SF,0,"$3,500",mil,v orl, 83-103,NA,   
"Valentine, Denzel",SF,0,"$4,300",chi,v was, 125-134,NA,   
"Moore, Ben",SF,0,"$3,500",sas,@ uta, 105-125,NA,   
"Hartenstein, Isaiah",PF,0,"$3,500",hou,v okc, 112-117,NA,   
"Clark, Gary",SF,0,"$3,500",hou,v okc, 112-117,NA,   
"Mbah a Moute, Luc",PF,0,"$3,600",lac,@ bos, 123-112,NA,   
"Antetokounmpo, Giannis",SF,0,"$12,000",mil,v orl, 83-103,NA,   
"Anderson, Kyle",SF,0,"$5,500",mem,v nor, 99-90,NA,   
"McDermott, Doug",SF,0,"$3,500",ind,v cle, 105-90,NA,   
"Chandler, Wilson",SF,0,"$4,000",lac,@ bos, 123-112,NA,   
"Hutchison, Chandler",SF,0,"$4,400",chi,v was, 125-134,NA,   
"Henson, John",PF,0,"$3,500",cle,@ ind, 90-105,NA,   
"Osman, Cedi",SF,0,"$5,300",cle,@ ind, 90-105,NA,   
"House, Danuel",SF,0,"$3,500",hou,v okc, 112-117,NA,   
"Cavanaugh, Tyler",PF,0,"$3,500",uta,v sas, 125-105,NA,   
"Johnson, Alize",PF,0,"$3,500",ind,v cle, 105-90,NA,   
"Love, Kevin",PF,0,"$5,000",cle,@ ind, 90-105,NA,   
"Gobert, Rudy",C,45.6,"$9,200",uta,v sas, 125-105,30:46,   21pt 13rb 4as 2bl 3to 8-10fg 5-6ft
"Vucevic, Nikola",C,44.9,"$9,400",orl,@ mil, 103-83,26:16,   15pt 17rb 5as 1bl 1to 1trey 7-16fg
"Noah, Joakim",C,39.3,"$3,700",mem,v nor, 99-90,30:17,   19pt 14rb 3as 1to 8-14fg 3-3ft
"Jordan, DeAndre",C,35.1,"$6,600",nyk,v tor, 99-104,25:31,   10pt 18rb 3as 1bl 4to 4-8fg 2-6ft
"Turner, Myles",C,32.6,"$7,900",ind,v cle, 105-90,22:12,   14pt 8rb 3bl 2trey 6-10fg
"Robinson, Mitchell",C,32.4,"$4,600",nyk,v tor, 99-104,22:29,   15pt 7rb 3bl 7-9fg 1-1ft
"Dedmon, Dewayne",C,29.9,"$5,100",atl,v cha, 120-129,27:38,   14pt 7rb 3as 1st 4trey 5-7fg 0-2ft
"Zubac, Ivica",C,29.8,"$3,900",lac,@ bos, 123-112,23:08,   12pt 9rb 3bl 2to 5-10fg 2-3ft
"Zeller, Cody",C,29.6,"$5,400",cha,@ atl, 129-120,25:59,   10pt 8rb 4as 1st 1bl 2to 3-5fg 4-6ft
"Lopez, Brook",C,29,"$5,300",mil,v orl, 83-103,26:02,   9pt 5rb 2st 3bl 1to 4-12fg 1-1ft
"Lopez, Robin",C,27.6,"$4,400",chi,v was, 125-134,18:38,   18pt 3rb 2bl 7-10fg 4-5ft
"Horford, Al",C,26.9,"$7,500",bos,v lac, 112-123,32:00,   6pt 7rb 5as 1st 1bl 1to 3-11fg
"Adams, Steven",C,26.8,"$6,900",okc,@ hou, 117-112,38:04,   6pt 9rb 2st 2bl 2to 3-6fg
"Poeltl, Jakob",C,23.9,"$3,900",sas,@ uta, 105-125,23:54,   8pt 7rb 1as 1st 1bl 4-5fg
"Len, Alex",C,22.9,"$3,900",atl,v cha, 120-129,10:35,   7pt 7rb 3as 1bl 2-4fg 3-4ft
"Gasol, Marc",C,22.7,"$8,300",tor,@ nyk, 104-99,18:48,   7pt 6rb 1as 2st 1bl 2to 3-7fg 1-2ft
"Bryant, Thomas",C,21.9,"$5,100",was,@ chi, 134-125,16:46,   13pt 2rb 3as 1bl 1to 1trey 5-8fg 2-2ft
"Hilario, Nene",C,19.1,"$3,500",hou,v okc, 112-117,17:14,   2pt 3rb 1as 3st 1bl 1-2fg
"Felicio, Cristiano",C,15.5,"$3,500",chi,v was, 125-134,11:47,   5pt 5rb 1as 1bl 2-2fg 1-3ft
"Gasol, Pau",C,13.4,"$3,500",sas,@ uta, 105-125,7:09,   5pt 2rb 2as 1st 2-3fg 1-2ft
"Zizic, Ante",C,7.1,"$5,000",cle,@ ind, 90-105,16:32,   3pt 3rb 1as 1to 1-4fg 1-2ft
"Noel, Nerlens",C,6.8,"$3,600",okc,@ hou, 117-112,9:55,   2pt 4rb 1-3fg
"Biyombo, Bismack",C,5.4,"$3,700",cha,@ atl, 129-120,4:23,   0pt 2rb 1bl 0-1fg
"Udoh, Ekpe",C,4.2,"$3,500",uta,v sas, 125-105,2:45,   0pt 1rb 1st
"Williams, Robert",C,0,"$3,600",bos,v lac, 112-123,1:51,   0pt 0-1fg
"O'Quinn, Kyle",C,0,"$3,500",ind,v cle, 105-90,2:20,   0pt
"Mahinmi, Ian",C,0,"$3,500",was,@ chi, 134-125,DNP,   
"Capela, Clint",C,0,"$8,800",hou,v okc, 112-117,DNP,   
"Hernangomez, Guillermo",C,0,"$3,600",cha,@ atl, 129-120,DNP,   
"Okafor, Jahlil",C,0,"$7,000",nor,@ mem, 90-99,NA,   
"Bradley, Tony",C,0,"$3,500",uta,v sas, 125-105,NA,   
"Thompson, Tristan",C,0,"$6,000",cle,@ ind, 90-105,NA,   
"Howard, Dwight",C,0,"$6,000",was,@ chi, 134-125,NA,   
"Valanciunas, Jonas",C,0,"$4,900",mem,v nor, 99-90,NA,   
"Plumlee, Miles",C,0,"$3,500",atl,v cha, 120-129,NA,   
"Mozgov, Timofey",C,0,"$3,500",orl,@ mil, 103-83,NA,   
"Delgado, Angel",C,0,"$3,500",lac,@ bos, 123-112,NA,   
"Bamba, Mohamed",C,0,"$3,700",orl,@ mil, 103-83,NA,   
"Baynes, Aron",C,0,"$3,800",bos,v lac, 112-123,NA,   
