Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Westbrook, Russell",PG,62.4,"$11,700",okc,@ bos, 129-134,37:06,   22pt 12rb 16as 2st 4to 1trey 8-19fg 5-8ft
"Conley, Mike",PG,56.1,"$9,000",mem,@ nyk, 96-84,34:07,   25pt 8rb 7as 3st 1bl 1to 2trey 9-17fg 5-5ft
"Irving, Kyrie",PG,50.3,"$10,400",bos,v okc, 134-129,36:49,   30pt 4rb 11as 1bl 4to 1trey 14-19fg 1-1ft
"Smart, Marcus",SG,39.3,"$5,000",bos,v okc, 134-129,27:56,   18pt 4rb 7as 2st 4trey 6-11fg 2-2ft
"Gilgeous-Alexander, Shai",PG,37.5,"$4,700",lac,@ tor, 103-121,26:11,   19pt 5rb 3as 1st 2bl 1to 9-15fg 1-2ft
"VanVleet, Fred",PG,32.5,"$4,500",tor,v lac, 121-103,26:00,   9pt 5rb 7as 3st 2to 1trey 4-10fg
"Schroder, Dennis",SG,31.7,"$5,300",okc,@ bos, 129-134,23:04,   16pt 6rb 3as 2st 2to 2trey 5-13fg 4-4ft
"Wright, Delon",SG,28.1,"$3,600",tor,v lac, 121-103,20:09,   14pt 3rb 3as 2st 5-10fg 4-5ft
"Holiday, Justin",SG,27,"$4,300",mem,@ nyk, 96-84,36:59,   19pt 5rb 2as 1to 5trey 7-16fg
"Smith Jr., Dennis",PG,24.6,"$6,500",nyk,v mem, 84-96,25:30,   8pt 3rb 6as 1st 1bl 2to 3-9fg 2-4ft
"Williams, Louis",SG,21.9,"$7,600",lac,@ tor, 103-121,21:16,   18pt 2rb 3as 3to 5-11fg 8-9ft
"Rozier, Terry",PG,21.4,"$7,000",bos,v okc, 134-129,16:56,   10pt 7rb 2as 1bl 3to 1trey 4-8fg 1-2ft
"Mack, Shelvin",PG,19.4,"$4,000",mem,@ nyk, 96-84,25:05,   2pt 2rb 4as 2st 1bl 1-8fg
