Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Young, Trae",PG,60.4,"$9,100",atl,v phi, 130-122,32:49,   33pt 7rb 12as 1st 2to 2trey 12-18fg 7-7ft
"Simmons, Ben",PG,57,"$9,800",phi,@ atl, 122-130,33:17,   15pt 15rb 8as 4st 1bl 3to 6-17fg 3-8ft
"Doncic, Luka",SG,49.4,"$9,400",dal,v min, 108-110,31:45,   27pt 12rb 6as 1bl 4to 2trey 11-21fg 3-3ft
"Paul, Chris",PG,48.3,"$8,100",hou,@ lac, 135-103,26:41,   29pt 4rb 7as 1st 1bl 2to 5trey 10-19fg 4-4ft
"Walker, Kemba",PG,48.1,"$9,000",cha,@ nor, 115-109,35:29,   32pt 3rb 7as 2st 4to 2trey 9-17fg 12-13ft
"Russell, D'Angelo",SG,44.4,"$9,300",bkn,v tor, 105-115,32:46,   27pt 7rb 6as 1st 3to 5trey 11-25fg
"Harden, James",SG,43.9,"$12,400",hou,@ lac, 135-103,30:21,   31pt 7rb 7as 6to 3trey 9-15fg 10-12ft
"Lillard, Damian",PG,43.4,"$10,200",por,v mem, 116-89,29:15,   20pt 7rb 10as 1st 3to 2trey 8-18fg 2-2ft
"Mitchell, Donovan",SG,43,"$9,600",uta,@ pho, 118-97,35:20,   29pt 5rb 6as 1to 4trey 9-19fg 7-7ft
"Mudiay, Emmanuel",PG,42.4,"$6,500",nyk,@ orl, 100-114,39:50,   13pt 7rb 10as 2st 1bl 3to 1trey 3-13fg 6-8ft
"Lemon Jr., Walter",SG,41.6,"$4,800",chi,@ was, 115-114,28:56,   24pt 3rb 8as 2st 4to 11-16fg 2-2ft
"Murray, Jamal",PG,40.7,"$7,200",den,v sas, 113-85,30:14,   14pt 6rb 11as 1st 1bl 3to 1trey 6-14fg 1-2ft
"Wiggins, Andrew",SG,38.1,"$7,100",min,@ dal, 110-108,35:11,   19pt 3rb 7as 2st 1to 1trey 6-15fg 6-6ft
"Ross, Terrence",SG,37.3,"$4,800",orl,v nyk, 114-100,23:36,   23pt 4rb 5as 1st 1to 5trey 9-14fg
"Beal, Bradley",SG,34.8,"$9,600",was,v chi, 114-115,22:27,   19pt 4rb 2as 1st 2bl 1to 1trey 9-18fg 0-1ft
"Waiters, Dion",SG,34.1,"$5,100",mia,v bos, 102-112,42:18,   21pt 3rb 5as 1st 1to 5trey 8-22fg
"Ellington, Wayne",SG,33.8,"$4,600",det,v ind, 89-108,35:03,   24pt 4rb 2as 1st 1to 5trey 9-16fg 1-1ft
"Gilgeous-Alexander, Shai",PG,33.8,"$6,500",lac,v hou, 103-135,32:56,   20pt 4rb 4as 2st 3to 1trey 8-16fg 3-5ft
"Harrison, Shaquille",PG,32.3,"$6,100",chi,@ was, 115-114,33:32,   15pt 4rb 1as 2st 2bl 1to 1trey 7-13fg
"Wright, Delon",SG,31.8,"$7,000",mem,@ por, 89-116,28:40,   11pt 4rb 6as 1st 2bl 2to 1trey 4-8fg 2-4ft
"Clark, Ian",SG,31.7,"$3,600",nor,v cha, 109-115,32:18,   17pt 6rb 3as 1st 3trey 7-18fg
"McRae, Jordan",SG,31.5,"$3,900",was,v chi, 114-115,28:06,   14pt 5as 3st 1bl 2to 6-11fg 2-4ft
"Irving, Kyrie",PG,31.2,"$9,400",bos,@ mia, 112-102,32:23,   23pt 1rb 4as 1st 2to 3trey 8-19fg 4-5ft
"Joseph, Cory",PG,31.2,"$3,600",ind,@ det, 108-89,34:20,   6pt 6rb 12as 1st 3to 2-8fg 2-2ft
"Wade, Dwyane",SG,30.4,"$6,200",mia,v bos, 102-112,27:12,   17pt 7rb 6as 4to 2trey 5-13fg 5-8ft
"Butler, Jimmy",SG,30.4,"$8,400",phi,@ atl, 122-130,33:34,   16pt 7rb 2as 1st 1trey 5-11fg 5-10ft
"Fournier, Evan",SG,30.3,"$5,600",orl,v nyk, 114-100,35:13,   19pt 4rb 1as 1st 1bl 1to 1trey 8-15fg 2-3ft
"Huerter, Kevin",SG,30.3,"$4,300",atl,v phi, 130-122,29:38,   15pt 4rb 5as 1st 2trey 6-12fg 1-2ft
"Morris, Monte",SG,28.1,"$3,900",den,v sas, 113-85,25:35,   19pt 3rb 3as 1st 2to 3trey 8-13fg
"Smart, Marcus",SG,26.6,"$5,200",bos,@ mia, 112-102,29:14,   8pt 3rb 4as 4st 3to 3-4fg 2-3ft
"Carter-Williams, Michael",PG,26.2,"$4,200",orl,v nyk, 114-100,23:45,   4pt 6rb 4as 1st 2bl 1-5fg 2-2ft
"Carter, Jevon",PG,26,"$3,500",mem,@ por, 89-116,24:06,   6pt 5rb 4as 2st 1bl 1to 2-6fg 2-2ft
"Lamb, Jeremy",SG,25.4,"$4,900",cha,@ nor, 115-109,29:45,   12pt 2rb 2as 3st 1to 4-13fg 4-5ft
"Dinwiddie, Spencer",PG,25.3,"$5,200",bkn,v tor, 105-115,31:44,   14pt 4rb 5as 1to 6-16fg 2-2ft
"Jones, Tyus",PG,25.2,"$6,100",min,@ dal, 110-108,33:55,   15pt 1rb 6as 3trey 6-9fg
"Holiday, Aaron",SG,24.6,"$3,700",ind,@ det, 108-89,28:53,   7pt 3rb 6as 2st 1to 1trey 3-11fg
"Williams, Louis",SG,24.5,"$7,200",lac,v hou, 103-135,22:41,   14pt 7as 1trey 3-9fg 7-11ft
"Beasley, Malik",SG,24.2,"$3,600",den,v sas, 113-85,24:39,   19pt 1rb 2as 1st 2to 3trey 7-14fg 2-3ft
"Graham, Devonte'",PG,23.9,"$3,500",cha,@ nor, 115-109,16:12,   13pt 2rb 5as 1st 2to 3trey 4-8fg 2-2ft
"DeRozan, DeMar",SG,23.7,"$8,600",sas,@ den, 85-113,23:50,   11pt 1rb 3as 1st 2bl 2to 4-7fg 3-5ft
"Jackson, Reggie",PG,23,"$5,500",det,v ind, 89-108,22:51,   16pt 5rb 4as 5to 3trey 6-13fg 1-2ft
"Rivers, Austin",SG,22.1,"$3,500",hou,@ lac, 135-103,31:58,   11pt 3rb 3as 1bl 1trey 4-9fg 2-3ft
"Lowry, Kyle",PG,22,"$7,100",tor,@ bkn, 115-105,33:26,   10pt 5rb 4as 2trey 3-11fg 2-2ft
"Dragic, Goran",PG,21.9,"$6,500",mia,v bos, 102-112,37:14,   11pt 2rb 5as 1st 2to 1trey 3-15fg 4-4ft
"Arcidiacono, Ryan",PG,21,"$3,600",chi,@ was, 115-114,19:04,   11pt 5rb 4as 2to 5-8fg 1-1ft
"Randle, Chasson",SG,20.9,"$3,500",was,v chi, 114-115,23:10,   11pt 2rb 3as 1bl 1trey 4-7fg 2-3ft
"Green, Danny",SG,20.9,"$4,500",tor,@ bkn, 115-105,24:56,   2pt 2rb 3as 3st 1bl 1-5fg
"Augustin, D.J.",PG,20.8,"$5,500",orl,v nyk, 114-100,30:46,   5pt 4rb 8as 1st 4to 1trey 2-6fg
"Shamet, Landry",PG,20.8,"$3,900",lac,v hou, 103-135,35:29,   11pt 4rb 4as 1to 2trey 4-7fg 1-2ft
"Okobo, Elie",PG,20.2,"$3,500",pho,v uta, 97-118,25:07,   15pt 1rb 2as 1bl 2to 2trey 6-11fg 1-1ft
"Melton, De'Anthony",PG,19.9,"$3,700",pho,v uta, 97-118,18:18,   5pt 2rb 5as 1st 1bl 1to 2-6fg 1-2ft
"Alkins, Rawle",SG,19.5,"$3,700",chi,@ was, 115-114,26:02,   11pt 5rb 3as 2to 1trey 4-9fg 2-4ft
"Luwawu, Timothe",SG,19.5,"$4,100",chi,@ was, 115-114,25:40,   11pt 5rb 1as 1bl 2to 1trey 4-10fg 2-2ft
"Gordon, Eric",SG,19.5,"$4,600",hou,@ lac, 135-103,30:30,   15pt 1as 1bl 5trey 5-10fg
"Neto, Raul",PG,19.4,"$3,500",uta,@ pho, 118-97,21:22,   10pt 2rb 4as 1bl 2to 1trey 3-9fg 3-4ft
"Monk, Malik",SG,19.2,"$3,600",cha,@ nor, 115-109,17:55,   9pt 6rb 1bl 1trey 4-8fg
"Anderson, Justin",SG,18.6,"$3,600",atl,v phi, 130-122,15:58,   10pt 3rb 2bl 1to 2trey 3-5fg 2-3ft
"Holiday, Justin",SG,18.5,"$4,500",mem,@ por, 89-116,30:01,   11pt 5rb 1as 1st 3to 2trey 4-11fg 1-1ft
"Walker, Lonnie",SG,18.4,"$3,500",sas,@ den, 85-113,15:41,   16pt 2rb 3trey 6-11fg 1-2ft
"VanVleet, Fred",PG,18.1,"$5,800",tor,@ bkn, 115-105,25:59,   7pt 3rb 3as 1st 2trey 2-8fg 1-2ft
"Smith, Ishmael",PG,17.9,"$3,500",det,v ind, 89-108,27:32,   3pt 2rb 7as 1bl 1to 1-7fg 1-2ft
"Fredette, Jimmer",SG,17.7,"$3,500",pho,v uta, 97-118,21:43,   10pt 1rb 1as 2st 1to 5-11fg
