Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Jokic, Nikola",NA,77.9,N/A,den,@ sas, 103-120,38:09,   43pt 12rb 9as 2st 1bl 2to 2trey 19-30fg 3-4ft
"Aldridge, LaMarcus",NA,48.5,N/A,sas,v den, 120-103,37:30,   26pt 10rb 5as 1bl 1trey 10-18fg 5-6ft
"DeRozan, DeMar",NA,42.9,N/A,sas,v den, 120-103,36:20,   25pt 7rb 7as 1to 12-16fg 1-2ft
"Gay, Rudy",NA,32.8,N/A,sas,v den, 120-103,28:15,   19pt 4rb 2as 2bl 3trey 7-11fg 2-2ft
"Murray, Jamal",NA,25.6,N/A,den,@ sas, 103-120,34:55,   16pt 3rb 6as 3to 1trey 7-18fg 1-2ft
"Mills, Patty",NA,24.4,N/A,sas,v den, 120-103,25:02,   6pt 2rb 6as 3st 2to 3-12fg
"Craig, Torrey",NA,24.2,N/A,den,@ sas, 103-120,32:42,   5pt 6rb 6as 1st 1trey 2-6fg
"Poeltl, Jakob",NA,23.8,N/A,sas,v den, 120-103,28:24,   8pt 9rb 2as 1bl 1to 4-6fg
"White, Derrick",NA,22.2,N/A,sas,v den, 120-103,27:31,   13pt 1rb 2as 2bl 1to 2trey 4-7fg 3-4ft
"Harris, Gary",NA,18.2,N/A,den,@ sas, 103-120,34:30,   14pt 1rb 2as 2trey 5-8fg 2-2ft
"Millsap, Paul",NA,16.8,N/A,den,@ sas, 103-120,33:52,   12pt 4rb 6-10fg
"Belinelli, Marco",NA,14.9,N/A,sas,v den, 120-103,20:07,   9pt 2rb 1as 1bl 1to 2trey 2-4fg 3-3ft
"Forbes, Bryn",NA,14.6,N/A,sas,v den, 120-103,30:29,   12pt 3rb 1to 2trey 5-8fg
"Plumlee, Mason",NA,11.6,N/A,den,@ sas, 103-120,8:06,   5pt 3rb 1bl 1-2fg 3-4ft
"Morris, Monte",NA,10.9,N/A,den,@ sas, 103-120,14:12,   4pt 2rb 3as 2-6fg
"Beasley, Malik",NA,7.4,N/A,den,@ sas, 103-120,19:57,   2pt 2rb 1st 1-6fg
"Barton, Will",NA,5.4,N/A,den,@ sas, 103-120,19:29,   2pt 2rb 1st 2to 1-7fg
"Vanderbilt, Jarred",NA,4.2,N/A,den,@ sas, 103-120,1:45,   0pt 1rb 1bl
"Cunningham, Dante",NA,3.6,N/A,sas,v den, 120-103,1:45,   0pt 3rb 0-1fg
"Walker, Lonnie",NA,2,N/A,sas,v den, 120-103,1:45,   2pt 1-1fg
"Lyles, Trey",NA,1.2,N/A,den,@ sas, 103-120,1:45,   0pt 1rb 0-3fg
