Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Paul, Chris",PG,60.1,"$7,800",hou,@ uta, 91-107,34:43,   23pt 8rb 7as 5st 2bl 4to 2trey 8-19fg 5-6ft
"Mitchell, Donovan",SG,44.4,"$9,200",uta,v hou, 107-91,40:07,   31pt 7rb 4as 1st 4to 3trey 11-26fg 6-6ft
"Jackson, Reggie",PG,43.1,"$6,300",det,v mil, 104-127,31:33,   26pt 3rb 7as 1st 5trey 9-20fg 3-3ft
"Rubio, Ricky",PG,41.1,"$6,900",uta,v hou, 107-91,38:38,   18pt 3rb 11as 1st 1bl 3to 1trey 6-17fg 5-6ft
"Harden, James",SG,37.6,"$11,800",hou,@ uta, 91-107,38:19,   30pt 3rb 4as 2st 8to 6trey 8-19fg 8-8ft
"Bledsoe, Eric",PG,34.1,"$7,900",mil,@ det, 127-104,27:43,   16pt 3rb 5as 2st 1bl 2to 1trey 7-12fg 1-1ft
"Brown, Sterling",SG,33.6,"$3,900",mil,@ det, 127-104,27:23,   9pt 13rb 6as 1st 3to 3-7fg 3-4ft
"Middleton, Khris",SG,23.3,"$8,000",mil,@ det, 127-104,30:01,   18pt 4rb 1as 1to 2trey 5-11fg 6-7ft
"Galloway, Langston",SG,22.9,"$3,800",det,v mil, 104-127,32:22,   10pt 2rb 3as 2st 2trey 4-11fg
"Kennard, Luke",SG,21.7,"$5,000",det,v mil, 104-127,32:28,   11pt 1rb 1as 2st 1bl 1to 1trey 5-11fg
"Gordon, Eric",SG,19.7,"$5,100",hou,@ uta, 91-107,37:55,   16pt 1rb 1as 1bl 2to 5trey 5-12fg 1-2ft
"Connaughton, Pat",SG,13.5,"$5,200",mil,@ det, 127-104,25:38,   4pt 5rb 1as 1st 1to 2-3fg
"Hill, George",PG,12.2,"$4,900",mil,@ det, 127-104,19:38,   7pt 1rb 2as 1st 2to 1trey 2-3fg 2-2ft
"Ellington, Wayne",SG,10.4,"$4,600",det,v mil, 104-127,28:32,   5pt 2rb 2as 1trey 2-6fg
"Rivers, Austin",SG,8.6,"$3,600",hou,@ uta, 91-107,20:26,   5pt 3rb 1trey 2-6fg
"Brown, Bruce",SG,8,"$3,600",det,v mil, 104-127,16:07,   2pt 5rb 1-5fg
"Smith, Ishmael",PG,7.9,"$4,200",det,v mil, 104-127,12:07,   2pt 2rb 1as 1st 1to 1-6fg
"Thomas, Khyri",SG,6.2,"$3,500",det,v mil, 104-127,4:20,   5pt 1rb 2-4fg 1-1ft
"Calderon, Jose",PG,6,"$3,500",det,v mil, 104-127,4:20,   0pt 2as 1st
"Frazier, Tim",PG,5.2,"$3,600",mil,@ det, 127-104,4:20,   2pt 1rb 2as 1to 1-1fg
"Korver, Kyle",SG,0,"$3,600",uta,v hou, 107-91,1:40,   0pt
"Snell, Tony",SG,0,"$3,500",mil,@ det, 127-104,4:20,   0pt 0-1fg
"Brogdon, Malcolm",SG,0,"$6,200",mil,@ det, 127-104,DNP,   
"Allen, Grayson",SG,0,"$3,500",uta,v hou, 107-91,DNP,   
"Lucas, Kalin",PG,0,"$3,500",det,v mil, 104-127,DNP,   
"Mitrou-Long, Nazareth",SG,0,"$3,500",uta,v hou, 107-91,DNP,   
"Duval, Trevon",PG,0,"$3,500",hou,@ uta, 91-107,DNP,   
"Neto, Raul",PG,0,"$3,500",uta,v hou, 107-91,DNP,   
"Shumpert, Iman",SG,0,"$3,500",hou,@ uta, 91-107,DNP,   
"Whitehead, Isaiah",PG,0,"$3,500",det,v mil, 104-127,DNP,   
"Exum, Dante",PG,0,"$3,500",uta,v hou, 107-91,NA,   
"DiVincenzo, Donte",SG,0,"$3,500",mil,@ det, 127-104,NA,   
"Mykhailiuk, Sviatoslav",SG,0,"$3,500",det,v mil, 104-127,NA,   
"Chiozza, Chris",PG,0,"$3,500",hou,@ uta, 91-107,NA,   
"Antetokounmpo, Giannis",SF,70.3,"$11,000",mil,@ det, 127-104,31:55,   41pt 9rb 3as 1st 4bl 1to 2trey 12-23fg 15-20ft
"Crowder, Jae",SF,34.3,"$4,100",uta,v hou, 107-91,32:43,   23pt 4rb 1as 2st 1to 3trey 8-13fg 4-5ft
"Griffin, Blake",PF,33,"$9,100",det,v mil, 104-127,27:32,   22pt 5rb 6as 4to 4trey 8-15fg 2-2ft
"Favors, Derrick",PF,32.7,"$7,400",uta,v hou, 107-91,24:13,   12pt 11rb 1as 1st 1bl 4-7fg 4-5ft
