Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Curry, Stephen",1,63.9,9700,gsw,lac,home, 115-105,36:16,38,2,11,3,0,2,9,13,24,3,3
"LaVine, Zach",2,59,8100,chi,lal,away, 115-117,38:23,38,5,6,2,0,0,4,14,22,6,6
"LeVert, Caris",2,53,6800,bkn,mem,away, 110-115,35:44,43,5,6,0,0,5,7,15,23,6,6
"Brown, Jaylen",2,51.1,8000,bos,was,home, 116-107,37:40,27,13,5,2,0,5,3,9,19,6,6
"Mitchell, Donovan",2,50.5,8000,uta,mil,away, 131-118,32:26,32,5,7,0,1,1,4,12,24,4,6
"VanVleet, Fred",2,48.1,7800,tor,sac,away, 144-123,33:14,34,3,7,1,0,3,5,13,22,3,3
"Gilgeous-Alexander, Shai",2,47.5,7900,okc,nyk,away, 101-89,34:29,25,10,7,0,1,3,3,9,14,4,6
"Beal, Bradley",2,47.1,10100,was,bos,away, 107-116,38:11,41,3,3,0,1,5,4,16,29,5,5
"Jones, Tyus",1,41.8,5200,mem,bkn,home, 115-110,30:47,11,4,10,4,0,1,1,5,12,0,0
"Harden, James",2,41.5,11400,hou,orl,home, 132-90,30:58,15,5,13,0,1,2,3,6,13,0,0
"Diallo, Hamidou",2,41.2,4100,okc,nyk,away, 101-89,29:03,23,11,2,1,0,1,1,8,13,6,8
"George, Paul",2,39.3,8800,lac,gsw,away, 105-115,39:09,25,4,7,0,1,4,5,9,13,2,2
"Rozier, Terry",1,38.3,7100,cha,nor,away, 118-110,34:45,15,4,5,3,1,1,4,5,15,1,2
"Clarkson, Jordan",2,38.2,5300,uta,mil,away, 131-118,34:45,26,6,2,0,1,1,5,10,20,1,1
"Ball, LaMelo",1,37.5,6900,cha,nor,away, 118-110,25:34,12,10,9,1,0,3,1,4,11,3,4
"Haliburton, Tyrese",2,37.4,5400,sac,tor,home, 123-144,29:01,15,2,8,2,1,1,5,5,10,0,0
"Holiday, Jrue",1,36.3,7200,mil,uta,home, 118-131,33:42,17,4,5,2,1,2,3,7,14,0,1
"Graham, Devonte'",2,35.2,5100,cha,nor,away, 118-110,36:50,17,6,8,0,0,1,2,5,13,5,5
"Fox, De'Aaron",1,33.7,7800,sac,tor,home, 123-144,24:54,23,1,3,2,1,4,0,9,11,5,7
"Conley, Mike",1,33.6,7000,uta,mil,away, 131-118,29:23,17,3,10,0,0,2,5,6,12,0,0
"Hart, Josh",2,33.6,4400,nor,cha,home, 110-118,26:43,19,8,2,1,0,1,4,6,8,3,4
"Hield, Buddy",2,32,5200,sac,tor,home, 123-144,32:27,15,5,6,1,0,1,3,6,14,0,0
